commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_4_origin_1,H_5_dest_1,0.3,10.0,2,60,lab_sample,12,2
2,H_3_origin_2,H_9_dest_2,0.5,8.0,1,40,fluids,4,1
3,H_17_origin_3,H_19_dest_3,0.5,8.0,1,40,fluids,3,2
4,H_17_origin_4,H_2_dest_4,0.3,10.0,1,60,lab_sample,1,2
5,H_19_origin_5,H_15_dest_5,0.4,10.0,1,50,medication,4,2
6,H_16_origin_6,H_15_dest_6,0.25,4.0,2,80,blood,7,1
7,H_5_origin_7,H_1_dest_7,0.4,10.0,2,50,medication,9,2
8,H_6_origin_8,H_19_dest_8,0.3,10.0,3,60,lab_sample,28,1
9,H_8_origin_9,H_10_dest_9,0.0,1.5,1,100,organ,1,2
10,H_6_origin_10,H_14_dest_10,0.5,8.0,2,40,fluids,8,1
