commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_16_origin_1,H_19_dest_1,0.0,1.5,1,100,organ,1,2
2,H_14_origin_2,H_8_dest_2,0.5,8.0,3,40,fluids,12,2
3,H_9_origin_3,H_19_dest_3,0.4,10.0,3,50,medication,14,2
4,H_12_origin_4,H_2_dest_4,0.3,10.0,2,60,lab_sample,13,2
5,H_12_origin_5,H_6_dest_5,0.5,8.0,2,40,fluids,8,2
6,H_10_origin_6,H_20_dest_6,0.5,8.0,1,40,fluids,4,1
7,H_1_origin_7,H_4_dest_7,0.4,10.0,1,50,medication,6,2
8,H_16_origin_8,H_5_dest_8,0.4,10.0,3,50,medication,18,2
9,H_9_origin_9,H_2_dest_9,0.3,10.0,3,60,lab_sample,27,2
10,H_19_origin_10,H_12_dest_10,0.3,10.0,1,60,lab_sample,6,2
11,H_19_origin_11,H_17_dest_11,0.4,10.0,3,50,medication,15,2
12,H_6_origin_12,H_16_dest_12,0.4,10.0,2,50,medication,9,1
13,H_2_origin_13,H_6_dest_13,0.4,10.0,3,50,medication,14,1
14,H_18_origin_14,H_16_dest_14,0.3,10.0,3,60,lab_sample,26,1
15,H_6_origin_15,H_3_dest_15,0.5,8.0,3,40,fluids,12,1
16,H_2_origin_16,H_5_dest_16,0.3,10.0,2,60,lab_sample,20,1
17,H_22_origin_17,H_3_dest_17,0.3,10.0,3,60,lab_sample,22,2
18,H_19_origin_18,H_9_dest_18,0.4,10.0,3,50,medication,18,2
19,H_4_origin_19,H_17_dest_19,0.25,4.0,2,80,blood,7,2
20,H_15_origin_20,H_20_dest_20,0.5,8.0,3,40,fluids,11,2
21,H_10_origin_21,H_20_dest_21,0.4,10.0,2,50,medication,12,1
22,H_16_origin_22,H_15_dest_22,0.5,8.0,3,40,fluids,10,2
23,H_3_origin_23,H_6_dest_23,0.5,8.0,1,40,fluids,4,2
24,H_14_origin_24,H_19_dest_24,0.5,8.0,2,40,fluids,7,2
25,H_13_origin_25,H_3_dest_25,0.3,10.0,2,60,lab_sample,12,1
26,H_12_origin_26,H_9_dest_26,0.3,10.0,2,60,lab_sample,16,2
27,H_20_origin_27,H_5_dest_27,0.5,8.0,2,40,fluids,6,1
28,H_7_origin_28,H_20_dest_28,0.5,8.0,2,40,fluids,6,2
29,H_9_origin_29,H_8_dest_29,0.0,1.5,1,100,organ,1,2
30,H_16_origin_30,H_3_dest_30,0.5,8.0,2,40,fluids,8,2
31,H_3_origin_31,H_4_dest_31,0.3,10.0,3,60,lab_sample,21,2
32,H_3_origin_32,H_15_dest_32,0.4,10.0,2,50,medication,9,2
33,H_14_origin_33,H_5_dest_33,0.5,8.0,2,40,fluids,7,2
34,H_13_origin_34,H_14_dest_34,0.3,10.0,3,60,lab_sample,29,1
35,H_16_origin_35,H_14_dest_35,0.25,4.0,2,80,blood,8,2
36,H_4_origin_36,H_10_dest_36,0.5,8.0,3,40,fluids,10,2
37,H_11_origin_37,H_2_dest_37,0.3,10.0,1,60,lab_sample,1,2
38,H_8_origin_38,H_16_dest_38,0.4,10.0,1,50,medication,2,1
39,H_22_origin_39,H_9_dest_39,0.4,10.0,3,50,medication,16,2
40,H_20_origin_40,H_1_dest_40,0.4,10.0,3,50,medication,14,1
41,H_5_origin_41,H_18_dest_41,0.3,10.0,3,60,lab_sample,26,1
42,H_8_origin_42,H_15_dest_42,0.5,8.0,1,40,fluids,1,1
43,H_14_origin_43,H_22_dest_43,0.5,8.0,2,40,fluids,5,2
44,H_5_origin_44,H_7_dest_44,0.3,10.0,3,60,lab_sample,23,1
45,H_4_origin_45,H_2_dest_45,0.5,8.0,1,40,fluids,1,2
46,H_20_origin_46,H_13_dest_46,0.3,10.0,2,60,lab_sample,19,1
47,H_7_origin_47,H_17_dest_47,0.5,8.0,1,40,fluids,1,2
48,H_17_origin_48,H_15_dest_48,0.4,10.0,1,50,medication,5,2
49,H_1_origin_49,H_6_dest_49,0.3,10.0,3,60,lab_sample,29,2
50,H_1_origin_50,H_20_dest_50,0.4,10.0,3,50,medication,17,2
