commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_17_origin_1,H_18_dest_1,0.3,10.0,2,60,lab_sample,18,1
2,H_21_origin_2,H_16_dest_2,0.5,8.0,1,40,fluids,1,2
3,H_6_origin_3,H_16_dest_3,0.3,10.0,3,60,lab_sample,24,1
4,H_19_origin_4,H_7_dest_4,0.5,8.0,3,40,fluids,12,1
5,H_13_origin_5,H_7_dest_5,0.0,1.5,1,100,organ,1,2
6,H_9_origin_6,H_7_dest_6,0.25,4.0,1,80,blood,4,1
7,H_19_origin_7,H_17_dest_7,0.3,10.0,2,60,lab_sample,13,1
8,H_4_origin_8,H_17_dest_8,0.25,4.0,2,80,blood,5,1
9,H_16_origin_9,H_3_dest_9,0.5,8.0,2,40,fluids,8,1
10,H_7_origin_10,H_4_dest_10,0.5,8.0,3,40,fluids,10,1
11,H_5_origin_11,H_3_dest_11,0.0,1.5,1,100,organ,1,2
12,H_21_origin_12,H_16_dest_12,0.4,10.0,3,50,medication,16,2
13,H_12_origin_13,H_11_dest_13,0.3,10.0,1,60,lab_sample,2,2
14,H_22_origin_14,H_10_dest_14,0.0,1.5,1,100,organ,1,1
15,H_5_origin_15,H_22_dest_15,0.0,1.5,1,100,organ,1,2
16,H_6_origin_16,H_19_dest_16,0.3,10.0,1,60,lab_sample,5,1
17,H_6_origin_17,H_9_dest_17,0.5,8.0,3,40,fluids,12,1
18,H_16_origin_18,H_14_dest_18,0.4,10.0,1,50,medication,6,1
19,H_12_origin_19,H_10_dest_19,0.5,8.0,2,40,fluids,7,2
20,H_15_origin_20,H_5_dest_20,0.0,1.5,1,100,organ,1,1
21,H_16_origin_21,H_12_dest_21,0.3,10.0,1,60,lab_sample,2,1
22,H_19_origin_22,H_14_dest_22,0.25,4.0,1,80,blood,2,1
23,H_14_origin_23,H_4_dest_23,0.4,10.0,2,50,medication,7,2
24,H_7_origin_24,H_13_dest_24,0.5,8.0,2,40,fluids,8,1
25,H_21_origin_25,H_13_dest_25,0.4,10.0,3,50,medication,14,2
26,H_7_origin_26,H_9_dest_26,0.25,4.0,3,80,blood,9,1
27,H_7_origin_27,H_22_dest_27,0.4,10.0,2,50,medication,7,1
28,H_22_origin_28,H_17_dest_28,0.5,8.0,2,40,fluids,8,1
29,H_21_origin_29,H_8_dest_29,0.3,10.0,1,60,lab_sample,2,2
30,H_4_origin_30,H_16_dest_30,0.3,10.0,1,60,lab_sample,3,1
