commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_17_origin_1,H_11_dest_1,0.5,8.0,1,40,fluids,4,2
2,H_7_origin_2,H_4_dest_2,0.3,10.0,3,60,lab_sample,28,2
3,H_19_origin_3,H_15_dest_3,0.5,8.0,2,40,fluids,5,2
4,H_16_origin_4,H_12_dest_4,0.3,10.0,1,60,lab_sample,5,1
5,H_4_origin_5,H_7_dest_5,0.4,10.0,3,50,medication,14,2
6,H_21_origin_6,H_19_dest_6,0.4,10.0,1,50,medication,1,2
7,H_16_origin_7,H_20_dest_7,0.5,8.0,1,40,fluids,4,1
8,H_20_origin_8,H_4_dest_8,0.5,8.0,1,40,fluids,3,1
9,H_22_origin_9,H_15_dest_9,0.4,10.0,2,50,medication,8,1
10,H_2_origin_10,H_16_dest_10,0.3,10.0,3,60,lab_sample,30,2
11,H_16_origin_11,H_6_dest_11,0.0,1.5,1,100,organ,1,1
12,H_19_origin_12,H_15_dest_12,0.5,8.0,1,40,fluids,4,2
13,H_3_origin_13,H_21_dest_13,0.3,10.0,2,60,lab_sample,18,2
14,H_4_origin_14,H_12_dest_14,0.5,8.0,3,40,fluids,9,2
15,H_2_origin_15,H_17_dest_15,0.5,8.0,1,40,fluids,1,2
16,H_16_origin_16,H_3_dest_16,0.5,8.0,1,40,fluids,1,1
17,H_1_origin_17,H_4_dest_17,0.5,8.0,3,40,fluids,12,2
18,H_2_origin_18,H_10_dest_18,0.4,10.0,3,50,medication,14,2
19,H_7_origin_19,H_5_dest_19,0.4,10.0,3,50,medication,15,2
20,H_12_origin_20,H_21_dest_20,0.4,10.0,1,50,medication,1,1
21,H_6_origin_21,H_17_dest_21,0.4,10.0,2,50,medication,9,1
22,H_6_origin_22,H_9_dest_22,0.5,8.0,2,40,fluids,6,1
23,H_15_origin_23,H_11_dest_23,0.5,8.0,1,40,fluids,4,2
24,H_16_origin_24,H_17_dest_24,0.0,1.5,1,100,organ,1,1
25,H_11_origin_25,H_7_dest_25,0.4,10.0,1,50,medication,3,2
26,H_5_origin_26,H_17_dest_26,0.4,10.0,1,50,medication,6,1
27,H_1_origin_27,H_8_dest_27,0.4,10.0,1,50,medication,3,2
28,H_3_origin_28,H_2_dest_28,0.4,10.0,2,50,medication,12,2
29,H_20_origin_29,H_16_dest_29,0.4,10.0,2,50,medication,9,1
30,H_11_origin_30,H_22_dest_30,0.4,10.0,1,50,medication,6,2
31,H_21_origin_31,H_16_dest_31,0.4,10.0,1,50,medication,1,2
32,H_6_origin_32,H_16_dest_32,0.0,1.5,1,100,organ,1,1
33,H_13_origin_33,H_21_dest_33,0.3,10.0,3,60,lab_sample,21,1
34,H_21_origin_34,H_18_dest_34,0.5,8.0,2,40,fluids,7,2
35,H_7_origin_35,H_22_dest_35,0.5,8.0,2,40,fluids,7,2
36,H_18_origin_36,H_11_dest_36,0.4,10.0,2,50,medication,8,2
37,H_22_origin_37,H_12_dest_37,0.4,10.0,1,50,medication,4,1
38,H_2_origin_38,H_11_dest_38,0.5,8.0,3,40,fluids,11,2
39,H_15_origin_39,H_22_dest_39,0.3,10.0,1,60,lab_sample,5,2
40,H_22_origin_40,H_20_dest_40,0.5,8.0,3,40,fluids,11,1
