id,name,lat,lon,type
H_1,Ospedale S. Maria di Loreto,40.8483,14.2725,hospital
H_2,Ospedale del Mare,40.8522,14.3447,hospital
H_3,Presidio Ospedaliero San Giovanni Bosco,40.8748,14.2764,hospital
H_4,ICS Hermitage Maugeri Napoli,40.8814,14.2478,hospital
H_5,Azienda Ospedaliera Universitaria Federico II - Policlinico,40.8693,14.221,hospital
H_6,Ospedale Santobono - A.O.R.N. Santobono-Pausilipon,40.8499,14.2315,hospital
H_7,Clinica Mediterranea - Ospedale e Centro Diagnostico,40.8292,14.2197,hospital
H_8,Ospedale Fatebenefratelli,40.8177,14.199,hospital
H_9,Ospedale San Paolo Asl Napoli 1,40.8312,14.1832,hospital
H_10,Azienda Ospedaliera Universitaria Luigi Vanvitelli,40.8537,14.2513,hospital
H_11,Ospedale Vincenzo Monaldi - AOS dei Colli,40.8705,14.2101,hospital
H_12,Presidio Ospedaliero San Giuseppe Moscati,40.9608,14.2097,hospital
H_13,Ospedale Civile San Giovanni di Dio,40.9519,14.2729,hospital
H_14,Ospedale di Marcianise,41.0319,14.3143,hospital
H_15,Ospedale Maddaloni,41.0442,14.38,hospital
H_16,Presidio Sanitario Napoli Est Barra,40.8467,14.3192,hospital
H_17,Presidio Ospedaliero Santa Maria delle Grazie,40.8556,14.0772,hospital
H_18,Ospedale San Giuliano,40.9239,14.2021,hospital
H_19,Presidio Ospedaliero Cavalier Raffaele Apicella,40.8588,14.3817,hospital
H_20,Presidio Sciuti ASL Napoli 1 Centro,40.8999,14.238,hospital
H_21,Ospedale Marina USA,40.9939,14.2564,hospital
H_22,Azienda Ospedaliera Sant'Anna e San Sebastiano,41.092,14.3336,hospital
F_1,Facility 1,40.842284684684685,14.088769965579152,facility
F_2,Facility 2,40.842284684684685,14.15557451159754,facility
F_3,Facility 3,40.842284684684685,14.22237905761593,facility
F_4,Facility 4,40.842284684684685,14.289183603634319,facility
F_5,Facility 5,40.842284684684685,14.355988149652708,facility
F_6,Facility 6,40.89273513513513,14.088769965579152,facility
F_7,Facility 7,40.89273513513513,14.15557451159754,facility
F_8,Facility 8,40.89273513513513,14.22237905761593,facility
F_9,Facility 9,40.89273513513513,14.289183603634319,facility
F_10,Facility 10,40.89273513513513,14.355988149652708,facility
F_11,Facility 11,40.94318558558558,14.088769965579152,facility
F_12,Facility 12,40.94318558558558,14.15557451159754,facility
F_13,Facility 13,40.94318558558558,14.22237905761593,facility
F_14,Facility 14,40.94318558558558,14.289183603634319,facility
F_15,Facility 15,40.94318558558558,14.355988149652708,facility
F_16,Facility 16,40.99363603603604,14.088769965579152,facility
F_17,Facility 17,40.99363603603604,14.15557451159754,facility
F_18,Facility 18,40.99363603603604,14.22237905761593,facility
F_19,Facility 19,40.99363603603604,14.289183603634319,facility
F_20,Facility 20,40.99363603603604,14.355988149652708,facility
F_21,Facility 21,41.044086486486485,14.088769965579152,facility
F_22,Facility 22,41.044086486486485,14.15557451159754,facility
F_23,Facility 23,41.044086486486485,14.22237905761593,facility
F_24,Facility 24,41.044086486486485,14.289183603634319,facility
F_25,Facility 25,41.044086486486485,14.355988149652708,facility
F_26,Facility 26,41.09453693693693,14.088769965579152,facility
F_27,Facility 27,41.09453693693693,14.15557451159754,facility
F_28,Facility 28,41.09453693693693,14.22237905761593,facility
F_29,Facility 29,41.09453693693693,14.289183603634319,facility
F_30,Facility 30,41.09453693693693,14.355988149652708,facility
HUB_1,Hub 1,40.87025833333333,14.20755,hub
HUB_2,Hub 2,41.02278,14.31144,hub
HUB_3,Hub 3,40.85616,14.318900000000001,hub
