commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_Parma_2_origin_1,H_Bergamo_1_dest_1,0.3,10.0,1,60,lab_sample,10,2
2,H_Milano_3_origin_2,H_Bergamo_4_dest_2,0.25,4.0,1,80,blood,4,1
3,H_Cremona_2_origin_3,H_Cremona_1_dest_3,0.0,1.5,1,100,organ,1,1
4,H_Milano_2_origin_4,H_Cremona_1_dest_4,0.3,10.0,1,60,lab_sample,7,2
5,H_Piacenza_1_origin_5,H_Bergamo_2_dest_5,0.4,10.0,3,50,medication,15,1
6,H_Bergamo_1_origin_6,H_Pavia_10_dest_6,0.5,8.0,1,40,fluids,3,2
7,H_Milano_2_origin_7,H_Bergamo_4_dest_7,0.5,8.0,1,40,fluids,2,2
8,H_Milano_3_origin_8,H_Pavia_8_dest_8,0.5,8.0,3,40,fluids,10,1
9,H_Pavia_8_origin_9,H_Cremona_1_dest_9,0.4,10.0,1,50,medication,3,2
10,H_Parma_1_origin_10,H_Bergamo_1_dest_10,0.25,4.0,1,80,blood,2,2
11,H_Bergamo_4_origin_11,H_Pavia_8_dest_11,0.3,10.0,2,60,lab_sample,19,1
12,H_Pavia_5_origin_12,H_Cremona_2_dest_12,0.4,10.0,3,50,medication,17,2
13,H_Bergamo_3_origin_13,H_Pavia_5_dest_13,0.25,4.0,3,80,blood,11,1
14,H_Cremona_1_origin_14,H_Bergamo_1_dest_14,0.4,10.0,1,50,medication,5,1
15,H_Piacenza_1_origin_15,H_Parma_1_dest_15,0.0,1.5,1,100,organ,1,1
16,H_Piacenza_1_origin_16,H_Milano_3_dest_16,0.3,10.0,2,60,lab_sample,17,1
17,H_Cremona_1_origin_17,H_Bergamo_1_dest_17,0.4,10.0,1,50,medication,5,1
18,H_Pavia_10_origin_18,H_Parma_1_dest_18,0.3,10.0,1,60,lab_sample,5,1
19,H_Parma_3_origin_19,H_Cremona_1_dest_19,0.4,10.0,1,50,medication,1,2
20,H_Cremona_1_origin_20,H_Parma_2_dest_20,0.4,10.0,2,50,medication,13,1
21,H_Cremona_2_origin_21,H_Pavia_1_dest_21,0.25,4.0,3,80,blood,9,1
22,H_Cremona_1_origin_22,H_Pavia_1_dest_22,0.25,4.0,1,80,blood,2,1
23,H_Parma_1_origin_23,H_Bergamo_1_dest_23,0.25,4.0,3,80,blood,10,2
24,H_Parma_3_origin_24,H_Pavia_9_dest_24,0.3,10.0,1,60,lab_sample,5,2
25,H_Piacenza_1_origin_25,H_Parma_1_dest_25,0.5,8.0,3,40,fluids,9,1
26,H_Bergamo_3_origin_26,H_Pavia_1_dest_26,0.5,8.0,1,40,fluids,4,1
27,H_Pavia_9_origin_27,H_Pavia_8_dest_27,0.3,10.0,2,60,lab_sample,16,1
28,H_Cremona_2_origin_28,H_Milano_1_dest_28,0.5,8.0,2,40,fluids,6,1
29,H_Pavia_8_origin_29,H_Milano_3_dest_29,0.0,1.5,1,100,organ,1,2
30,H_Piacenza_2_origin_30,H_Bergamo_3_dest_30,0.4,10.0,2,50,medication,8,2
31,H_Milano_2_origin_31,H_Pavia_8_dest_31,0.3,10.0,2,60,lab_sample,13,2
32,H_Milano_1_origin_32,H_Milano_2_dest_32,0.3,10.0,3,60,lab_sample,28,1
33,H_Bergamo_3_origin_33,H_Parma_2_dest_33,0.3,10.0,3,60,lab_sample,24,1
34,H_Milano_2_origin_34,H_Pavia_10_dest_34,0.5,8.0,1,40,fluids,3,2
35,H_Bergamo_3_origin_35,H_Pavia_8_dest_35,0.3,10.0,1,60,lab_sample,1,1
36,H_Parma_3_origin_36,H_Piacenza_1_dest_36,0.4,10.0,3,50,medication,15,2
37,H_Bergamo_3_origin_37,H_Piacenza_1_dest_37,0.3,10.0,2,60,lab_sample,18,1
38,H_Parma_2_origin_38,H_Cremona_2_dest_38,0.5,8.0,1,40,fluids,1,2
39,H_Pavia_10_origin_39,H_Piacenza_1_dest_39,0.5,8.0,2,40,fluids,8,1
40,H_Bergamo_3_origin_40,H_Pavia_5_dest_40,0.5,8.0,1,40,fluids,2,1
41,H_Bergamo_2_origin_41,H_Pavia_9_dest_41,0.5,8.0,2,40,fluids,7,2
42,H_Pavia_9_origin_42,H_Pavia_10_dest_42,0.4,10.0,1,50,medication,3,1
43,H_Cremona_2_origin_43,H_Pavia_8_dest_43,0.25,4.0,1,80,blood,4,1
44,H_Piacenza_1_origin_44,H_Milano_3_dest_44,0.4,10.0,3,50,medication,16,1
45,H_Parma_1_origin_45,H_Bergamo_4_dest_45,0.4,10.0,3,50,medication,15,2
46,H_Bergamo_4_origin_46,H_Bergamo_1_dest_46,0.25,4.0,2,80,blood,6,1
47,H_Milano_3_origin_47,H_Milano_1_dest_47,0.0,1.5,1,100,organ,1,1
48,H_Milano_1_origin_48,H_Milano_3_dest_48,0.3,10.0,2,60,lab_sample,18,1
49,H_Parma_1_origin_49,H_Piacenza_1_dest_49,0.5,8.0,3,40,fluids,12,2
50,H_Cremona_2_origin_50,H_Pavia_8_dest_50,0.4,10.0,3,50,medication,14,1
51,H_Pavia_10_origin_51,H_Parma_2_dest_51,0.4,10.0,2,50,medication,8,1
52,H_Bergamo_3_origin_52,H_Pavia_9_dest_52,0.4,10.0,2,50,medication,12,1
53,H_Parma_1_origin_53,H_Cremona_1_dest_53,0.3,10.0,1,60,lab_sample,1,2
54,H_Pavia_5_origin_54,H_Milano_3_dest_54,0.5,8.0,1,40,fluids,1,2
55,H_Parma_1_origin_55,H_Pavia_1_dest_55,0.4,10.0,2,50,medication,13,2
56,H_Parma_2_origin_56,H_Milano_3_dest_56,0.25,4.0,2,80,blood,5,2
57,H_Milano_1_origin_57,H_Cremona_1_dest_57,0.4,10.0,2,50,medication,11,1
58,H_Cremona_2_origin_58,H_Pavia_9_dest_58,0.4,10.0,3,50,medication,18,1
59,H_Pavia_5_origin_59,H_Parma_2_dest_59,0.3,10.0,1,60,lab_sample,3,2
60,H_Pavia_8_origin_60,H_Milano_2_dest_60,0.5,8.0,3,40,fluids,10,2
61,H_Bergamo_1_origin_61,H_Piacenza_1_dest_61,0.3,10.0,1,60,lab_sample,10,2
62,H_Parma_1_origin_62,H_Bergamo_2_dest_62,0.3,10.0,2,60,lab_sample,17,2
63,H_Parma_2_origin_63,H_Pavia_5_dest_63,0.3,10.0,3,60,lab_sample,22,2
64,H_Parma_2_origin_64,H_Pavia_8_dest_64,0.5,8.0,1,40,fluids,1,2
65,H_Milano_2_origin_65,H_Cremona_1_dest_65,0.3,10.0,3,60,lab_sample,26,2
66,H_Pavia_8_origin_66,H_Parma_1_dest_66,0.4,10.0,2,50,medication,7,2
67,H_Bergamo_2_origin_67,H_Pavia_8_dest_67,0.25,4.0,3,80,blood,11,2
68,H_Piacenza_1_origin_68,H_Parma_3_dest_68,0.4,10.0,1,50,medication,3,1
69,H_Pavia_5_origin_69,H_Milano_3_dest_69,0.3,10.0,3,60,lab_sample,28,2
70,H_Pavia_5_origin_70,H_Pavia_1_dest_70,0.3,10.0,2,60,lab_sample,20,2
