commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_Parma_1_origin_1,H_Bergamo_4_dest_1,0.4,10.0,3,50,medication,17,2
2,H_Pavia_5_origin_2,H_Pavia_1_dest_2,0.4,10.0,2,50,medication,11,2
3,H_Milano_2_origin_3,H_Pavia_1_dest_3,0.3,10.0,1,60,lab_sample,3,1
4,H_Piacenza_2_origin_4,H_Pavia_1_dest_4,0.3,10.0,1,60,lab_sample,7,1
5,H_Parma_3_origin_5,H_Milano_1_dest_5,0.3,10.0,2,60,lab_sample,11,2
6,H_Pavia_9_origin_6,H_Milano_1_dest_6,0.3,10.0,3,60,lab_sample,25,1
7,H_Cremona_1_origin_7,H_Piacenza_2_dest_7,0.3,10.0,2,60,lab_sample,11,1
8,H_Milano_3_origin_8,H_Cremona_1_dest_8,0.4,10.0,1,50,medication,1,1
9,H_Pavia_10_origin_9,H_Pavia_9_dest_9,0.3,10.0,3,60,lab_sample,25,1
10,H_Pavia_8_origin_10,H_Pavia_5_dest_10,0.4,10.0,3,50,medication,15,1
11,H_Milano_3_origin_11,H_Pavia_9_dest_11,0.3,10.0,3,60,lab_sample,29,1
12,H_Bergamo_2_origin_12,H_Bergamo_4_dest_12,0.4,10.0,2,50,medication,8,1
13,H_Parma_2_origin_13,H_Pavia_9_dest_13,0.3,10.0,2,60,lab_sample,14,2
14,H_Bergamo_4_origin_14,H_Milano_3_dest_14,0.4,10.0,1,50,medication,3,2
15,H_Parma_3_origin_15,H_Milano_2_dest_15,0.4,10.0,2,50,medication,10,2
16,H_Milano_3_origin_16,H_Piacenza_1_dest_16,0.3,10.0,1,60,lab_sample,10,1
17,H_Cremona_1_origin_17,H_Bergamo_3_dest_17,0.3,10.0,1,60,lab_sample,6,1
18,H_Piacenza_1_origin_18,H_Pavia_5_dest_18,0.4,10.0,3,50,medication,14,1
19,H_Parma_1_origin_19,H_Parma_2_dest_19,0.5,8.0,1,40,fluids,4,2
20,H_Milano_2_origin_20,H_Bergamo_1_dest_20,0.3,10.0,1,60,lab_sample,9,1
21,H_Bergamo_3_origin_21,H_Milano_2_dest_21,0.5,8.0,3,40,fluids,9,1
22,H_Piacenza_2_origin_22,H_Pavia_1_dest_22,0.4,10.0,3,50,medication,14,1
23,H_Parma_1_origin_23,H_Bergamo_4_dest_23,0.4,10.0,2,50,medication,8,2
24,H_Bergamo_3_origin_24,H_Pavia_9_dest_24,0.4,10.0,3,50,medication,14,1
25,H_Cremona_1_origin_25,H_Parma_1_dest_25,0.4,10.0,1,50,medication,1,1
26,H_Bergamo_2_origin_26,H_Pavia_10_dest_26,0.4,10.0,2,50,medication,10,1
27,H_Pavia_5_origin_27,H_Pavia_9_dest_27,0.5,8.0,1,40,fluids,4,2
28,H_Milano_1_origin_28,H_Cremona_1_dest_28,0.4,10.0,1,50,medication,2,1
29,H_Milano_2_origin_29,H_Parma_1_dest_29,0.3,10.0,3,60,lab_sample,22,1
30,H_Bergamo_1_origin_30,H_Bergamo_3_dest_30,0.4,10.0,2,50,medication,12,2
31,H_Parma_3_origin_31,H_Parma_2_dest_31,0.3,10.0,3,60,lab_sample,22,2
32,H_Pavia_9_origin_32,H_Parma_2_dest_32,0.3,10.0,2,60,lab_sample,13,1
33,H_Bergamo_2_origin_33,H_Milano_2_dest_33,0.4,10.0,1,50,medication,3,1
34,H_Pavia_9_origin_34,H_Cremona_2_dest_34,0.4,10.0,2,50,medication,10,1
35,H_Parma_3_origin_35,H_Parma_1_dest_35,0.5,8.0,1,40,fluids,3,2
36,H_Pavia_8_origin_36,H_Piacenza_1_dest_36,0.4,10.0,3,50,medication,16,1
37,H_Bergamo_1_origin_37,H_Pavia_9_dest_37,0.3,10.0,2,60,lab_sample,18,2
38,H_Pavia_1_origin_38,H_Parma_2_dest_38,0.5,8.0,2,40,fluids,6,1
39,H_Pavia_5_origin_39,H_Piacenza_2_dest_39,0.5,8.0,1,40,fluids,4,2
40,H_Milano_3_origin_40,H_Bergamo_4_dest_40,0.5,8.0,2,40,fluids,5,1
41,H_Parma_3_origin_41,H_Bergamo_4_dest_41,0.25,4.0,3,80,blood,12,2
42,H_Milano_3_origin_42,H_Milano_2_dest_42,0.5,8.0,1,40,fluids,4,1
43,H_Parma_3_origin_43,H_Bergamo_4_dest_43,0.4,10.0,1,50,medication,6,2
44,H_Bergamo_3_origin_44,H_Bergamo_1_dest_44,0.5,8.0,3,40,fluids,10,1
45,H_Bergamo_3_origin_45,H_Parma_1_dest_45,0.5,8.0,3,40,fluids,10,1
46,H_Pavia_8_origin_46,H_Parma_1_dest_46,0.3,10.0,3,60,lab_sample,29,1
