commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_Piacenza_1_origin_1,H_Parma_1_dest_1,0.4,10.0,1,50,medication,2,1
2,H_Pavia_1_origin_2,H_Bergamo_4_dest_2,0.5,8.0,1,40,fluids,2,2
3,H_Pavia_5_origin_3,H_Bergamo_2_dest_3,0.3,10.0,1,60,lab_sample,4,2
4,H_Cremona_2_origin_4,H_Parma_1_dest_4,0.4,10.0,3,50,medication,15,1
5,H_Bergamo_2_origin_5,H_Bergamo_4_dest_5,0.4,10.0,2,50,medication,7,2
6,H_Pavia_1_origin_6,H_Parma_3_dest_6,0.3,10.0,1,60,lab_sample,2,2
7,H_Piacenza_1_origin_7,H_Milano_3_dest_7,0.4,10.0,1,50,medication,1,2
8,H_Bergamo_3_origin_8,H_Piacenza_1_dest_8,0.3,10.0,2,60,lab_sample,19,1
9,H_Bergamo_4_origin_9,H_Pavia_5_dest_9,0.5,8.0,1,40,fluids,2,1
10,H_Pavia_10_origin_10,H_Milano_2_dest_10,0.5,8.0,1,40,fluids,1,1
11,H_Bergamo_3_origin_11,H_Pavia_1_dest_11,0.3,10.0,3,60,lab_sample,25,2
12,H_Bergamo_1_origin_12,H_Milano_1_dest_12,0.4,10.0,3,50,medication,18,2
13,H_Milano_1_origin_13,H_Pavia_10_dest_13,0.4,10.0,2,50,medication,11,1
14,H_Piacenza_2_origin_14,H_Pavia_9_dest_14,0.4,10.0,1,50,medication,2,2
15,H_Bergamo_1_origin_15,H_Milano_2_dest_15,0.5,8.0,2,40,fluids,7,1
