commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_6_origin_1,H_1_dest_1,0.3,10.0,1,60,lab_sample,2,1
2,H_8_origin_2,H_2_dest_2,0.5,8.0,3,40,fluids,11,1
3,H_16_origin_3,H_6_dest_3,0.5,8.0,2,40,fluids,7,2
4,H_5_origin_4,H_10_dest_4,0.5,8.0,2,40,fluids,6,1
5,H_8_origin_5,H_6_dest_5,0.3,10.0,3,60,lab_sample,22,1
6,H_9_origin_6,H_18_dest_6,0.3,10.0,3,60,lab_sample,30,2
7,H_12_origin_7,H_5_dest_7,0.5,8.0,1,40,fluids,3,1
8,H_9_origin_8,H_1_dest_8,0.4,10.0,3,50,medication,16,2
9,H_6_origin_9,H_4_dest_9,0.4,10.0,2,50,medication,12,1
10,H_11_origin_10,H_8_dest_10,0.3,10.0,2,60,lab_sample,18,1
