commodity_id,origin,destination,ready_time,due_time,drone_req,penalty,supply_type,quantity,origin_drones
1,H_5_origin_1,H_11_dest_1,0.4,10.0,2,50,medication,13,2
2,H_8_origin_2,H_4_dest_2,0.5,8.0,1,40,fluids,2,2
3,H_12_origin_3,H_17_dest_3,0.25,4.0,3,80,blood,10,2
4,H_13_origin_4,H_1_dest_4,0.3,10.0,1,60,lab_sample,10,1
5,H_9_origin_5,H_17_dest_5,0.4,10.0,3,50,medication,18,1
6,H_16_origin_6,H_13_dest_6,0.0,1.5,1,100,organ,1,2
7,H_2_origin_7,H_9_dest_7,0.3,10.0,1,60,lab_sample,7,2
8,H_19_origin_8,H_11_dest_8,0.3,10.0,3,60,lab_sample,27,1
9,H_11_origin_9,H_14_dest_9,0.3,10.0,1,60,lab_sample,7,1
10,H_13_origin_10,H_5_dest_10,0.25,4.0,2,80,blood,8,1
