id,name,lat,lon,type
H_1,Policlinico Umberto I,41.9054,12.5109,hospital
H_2,Policlinico Gemelli,41.9319,12.4279,hospital
H_3,Ospedale San Camillo,41.8697,12.4654,hospital
H_4,Ospedale Fatebenefratelli Isola Tiberina,41.891,12.4775,hospital
H_5,Ospedale Sant'Andrea,41.9512,12.4918,hospital
H_6,Ospedale Pertini,41.9189,12.5561,hospital
H_7,Ospedale Sant'Eugenio,41.8317,12.4908,hospital
H_8,Istituto Regina Elena IFO,41.8256,12.4253,hospital
H_9,Tiberia Hospital,41.9533,12.5591,hospital
H_10,Aurelia Hospital,41.8887,12.3976,hospital
H_11,Policlinico Tor Vergata,41.860618822062264,12.631796354157585,hospital
H_12,Policlinico Casilino,41.8758,12.5758,hospital
H_13,Campus Bio-Medico,41.7767,12.4694,hospital
H_14,Ospedale Grassi - Ostia,41.7328,12.2778,hospital
H_16,Poliambulatorio Acilia,41.7553,12.3547,hospital
H_17,Ospedale San Sebastiano Frascati,41.8089,12.6806,hospital
H_18,Ospedale di Marino,41.7703,12.6614,hospital
H_19,Poliambulatorio Ciampino,41.8003,12.6044,hospital
F_1,Facility 1,41.728025225225224,12.329360033073824,facility
F_2,Facility 2,41.728025225225224,12.397144367478647,facility
F_3,Facility 3,41.728025225225224,12.464928701883473,facility
F_4,Facility 4,41.728025225225224,12.532713036288298,facility
F_5,Facility 5,41.728025225225224,12.600497370693123,facility
F_6,Facility 6,41.728025225225224,12.668281705097948,facility
F_7,Facility 7,41.77847567567568,12.261575698668999,facility
F_8,Facility 8,41.77847567567568,12.329360033073824,facility
F_9,Facility 9,41.77847567567568,12.397144367478647,facility
F_10,Facility 10,41.77847567567568,12.464928701883473,facility
F_11,Facility 11,41.77847567567568,12.532713036288298,facility
F_12,Facility 12,41.77847567567568,12.600497370693123,facility
F_13,Facility 13,41.77847567567568,12.668281705097948,facility
F_14,Facility 14,41.82892612612613,12.261575698668999,facility
F_15,Facility 15,41.82892612612613,12.329360033073824,facility
F_16,Facility 16,41.82892612612613,12.397144367478647,facility
F_17,Facility 17,41.82892612612613,12.464928701883473,facility
F_18,Facility 18,41.82892612612613,12.532713036288298,facility
F_19,Facility 19,41.82892612612613,12.600497370693123,facility
F_20,Facility 20,41.82892612612613,12.668281705097948,facility
F_21,Facility 21,41.879376576576576,12.261575698668999,facility
F_22,Facility 22,41.879376576576576,12.329360033073824,facility
F_23,Facility 23,41.879376576576576,12.397144367478647,facility
F_24,Facility 24,41.879376576576576,12.464928701883473,facility
F_25,Facility 25,41.879376576576576,12.532713036288298,facility
F_26,Facility 26,41.879376576576576,12.600497370693123,facility
F_27,Facility 27,41.879376576576576,12.668281705097948,facility
F_28,Facility 28,41.92982702702703,12.261575698668999,facility
F_29,Facility 29,41.92982702702703,12.329360033073824,facility
F_30,Facility 30,41.92982702702703,12.397144367478647,facility
F_31,Facility 31,41.92982702702703,12.464928701883473,facility
F_32,Facility 32,41.92982702702703,12.532713036288298,facility
F_33,Facility 33,41.92982702702703,12.600497370693123,facility
F_34,Facility 34,41.92982702702703,12.668281705097948,facility
F_35,Facility 35,41.98027747747748,12.261575698668999,facility
F_36,Facility 36,41.98027747747748,12.329360033073824,facility
F_37,Facility 37,41.98027747747748,12.397144367478647,facility
F_38,Facility 38,41.98027747747748,12.464928701883473,facility
F_39,Facility 39,41.98027747747748,12.532713036288298,facility
F_40,Facility 40,41.98027747747748,12.600497370693123,facility
F_41,Facility 41,41.98027747747748,12.668281705097948,facility
HUB_1,Hub 1,41.88582727272727,12.479254545454545,hub
HUB_2,Hub 2,41.823183764412455,12.630799270831517,hub
HUB_3,Hub 3,41.74405,12.31625,hub
