NODES: 25
ARCS: 319

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          45.496583       9.140375        HUB            
HUB_3                                    Hub 3                          45.536733       9.261567        HUB            
H_10_origin_3                            ASST Nord Milano - Ospedale Città di Sesto San Giovanni 45.540800       9.226300        H_ORIGIN       
H_13_origin_7                            IRCCS Policlinico San Donato   45.412400       9.277200        H_ORIGIN       
H_15_origin_4                            Ospedale di Rho                45.530600       9.036700        H_ORIGIN       
H_16_origin_6                            Ospedale di Garbagnate         45.587000       9.094000        H_ORIGIN       
H_17_origin_2                            Ospedale di Cernusco sul Naviglio 45.525000       9.332200        H_ORIGIN       
H_2_origin_10                            Ospedale di Garbagnate Milanese 'Guido Salvini' - ASST Rhodense 45.587400       9.094000        H_ORIGIN       
H_3_origin_5                             ASST Grande Ospedale Metropolitano Niguarda 45.514300       9.187900        H_ORIGIN       
H_6_origin_1                             Ospedale Fatebenefratelli      45.472500       9.184400        H_ORIGIN       
H_6_origin_8                             Ospedale Fatebenefratelli      45.472500       9.184400        H_ORIGIN       
H_6_origin_9                             Ospedale Fatebenefratelli      45.472500       9.184400        H_ORIGIN       
H_10_dest_1                              ASST Nord Milano - Ospedale Città di Sesto San Giovanni 45.540800       9.226300        H_DESTINATION  
H_16_dest_2                              Ospedale di Garbagnate         45.587000       9.094000        H_DESTINATION  
H_1_dest_7                               IRCCS Ospedale Galeazzi - Sant'Ambrogio 45.527500       9.097100        H_DESTINATION  
H_22_dest_8                              Ospedale di Desio              45.622200       9.210600        H_DESTINATION  
H_3_dest_9                               ASST Grande Ospedale Metropolitano Niguarda 45.514300       9.187900        H_DESTINATION  
H_7_dest_3                               Ospedale San Carlo Borromeo    45.470700       9.114500        H_DESTINATION  
H_8_dest_10                              Ospedale San Paolo             45.437900       9.159200        H_DESTINATION  
H_8_dest_6                               Ospedale San Paolo             45.437900       9.159200        H_DESTINATION  
H_9_dest_4                               Ospedale dei Bambini Vittore Buzzi 45.490200       9.166200        H_DESTINATION  
H_9_dest_5                               Ospedale dei Bambini Vittore Buzzi 45.490200       9.166200        H_DESTINATION  
F_18                                     Facility 18                    45.504027       9.136595        FACILITY       
F_26                                     Facility 26                    45.554477       9.208544        FACILITY       
F_33                                     Facility 33                    45.604928       9.208544        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        H_10_origin_3                            H_7_dest_3                               23.38                USED      
47       H_6_origin_8                             F_33                                     29.69                USED      
53       H_6_origin_1                             H_10_dest_1                              16.53                USED      
84       H_13_origin_7                            F_18                                     29.94                USED      
99       H_16_origin_6                            F_18                                     19.61                USED      
109      H_6_origin_9                             H_3_dest_9                               9.31                 USED      
130      HUB_3                                    H_10_origin_3                            5.57                 USED      
164      HUB_1                                    H_16_origin_6                            21.37                USED      
165      HUB_1                                    H_6_origin_9                             8.71                 USED      
188      H_17_origin_2                            F_26                                     20.35                USED      
206      F_18                                     H_8_dest_10                              15.12                USED      
208      F_18                                     H_1_dest_7                               8.07                 USED      
211      F_18                                     H_8_dest_6                               15.12                USED      
223      H_15_origin_4                            H_9_dest_4                               22.09                USED      
238      F_26                                     H_16_dest_2                              19.24                USED      
264      H_3_origin_5                             H_9_dest_5                               6.34                 USED      
294      H_2_origin_10                            F_18                                     19.69                USED      
318      F_33                                     H_22_dest_8                              3.85                 USED      
2        H_10_origin_3                            H_3_dest_9                               8.40                 NOT USED  
3        H_10_origin_3                            H_6_origin_8                             16.53                NOT USED  
4        H_10_origin_3                            H_16_dest_2                              23.02                NOT USED  
5        H_10_origin_3                            H_6_origin_1                             16.53                NOT USED  
6        H_10_origin_3                            H_10_dest_1                              0.00                 NOT USED  
7        H_10_origin_3                            H_9_dest_5                               14.64                NOT USED  
8        H_10_origin_3                            H_13_origin_7                            29.64                NOT USED  
9        H_10_origin_3                            H_9_dest_4                               14.64                NOT USED  
10       H_10_origin_3                            H_16_origin_6                            23.02                NOT USED  
11       H_10_origin_3                            H_6_origin_9                             16.53                NOT USED  
12       H_10_origin_3                            HUB_3                                    5.57                 NOT USED  
13       H_10_origin_3                            HUB_1                                    16.61                NOT USED  
14       H_10_origin_3                            H_8_dest_10                              25.16                NOT USED  
15       H_10_origin_3                            H_17_origin_2                            16.87                NOT USED  
16       H_10_origin_3                            F_18                                     16.19                NOT USED  
17       H_10_origin_3                            H_15_origin_4                            29.62                NOT USED  
18       H_10_origin_3                            H_1_dest_7                               20.34                NOT USED  
19       H_10_origin_3                            F_26                                     4.11                 NOT USED  
20       H_10_origin_3                            H_3_origin_5                             8.40                 NOT USED  
21       H_10_origin_3                            H_8_dest_6                               25.16                NOT USED  
22       H_10_origin_3                            H_22_dest_8                              18.27                NOT USED  
23       H_10_origin_3                            H_2_origin_10                            23.06                NOT USED  
24       H_10_origin_3                            F_33                                     14.53                NOT USED  
25       H_6_origin_8                             H_10_origin_3                            16.53                NOT USED  
26       H_6_origin_8                             H_7_dest_3                               10.91                NOT USED  
27       H_6_origin_8                             H_3_dest_9                               9.31                 NOT USED  
28       H_6_origin_8                             H_16_dest_2                              29.10                NOT USED  
29       H_6_origin_8                             H_6_origin_1                             0.00                 NOT USED  
30       H_6_origin_8                             H_10_dest_1                              16.53                NOT USED  
31       H_6_origin_8                             H_9_dest_5                               4.85                 NOT USED  
32       H_6_origin_8                             H_13_origin_7                            19.71                NOT USED  
33       H_6_origin_8                             H_9_dest_4                               4.85                 NOT USED  
34       H_6_origin_8                             H_16_origin_6                            29.10                NOT USED  
35       H_6_origin_8                             H_6_origin_9                             0.00                 NOT USED  
36       H_6_origin_8                             HUB_3                                    18.67                NOT USED  
37       H_6_origin_8                             HUB_1                                    8.71                 NOT USED  
38       H_6_origin_8                             H_8_dest_10                              8.64                 NOT USED  
39       H_6_origin_8                             H_17_origin_2                            25.83                NOT USED  
40       H_6_origin_8                             F_18                                     10.23                NOT USED  
41       H_6_origin_8                             H_15_origin_4                            26.40                NOT USED  
42       H_6_origin_8                             H_1_dest_7                               18.30                NOT USED  
43       H_6_origin_8                             F_26                                     18.62                NOT USED  
