NODES: 26
ARCS: 280

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          45.496583       9.140375        HUB            
HUB_2                                    Hub 2                          45.485933       8.906400        HUB            
H_11_origin_3                            Humanitas San Pio X Ospedale e Poliambulatorio 45.498700       9.189600        H_ORIGIN       
H_15_origin_2                            Ospedale di Rho                45.530600       9.036700        H_ORIGIN       
H_18_origin_7                            Ospedale di Abbiategrasso      45.398900       8.919700        H_ORIGIN       
H_1_origin_9                             IRCCS Ospedale Galeazzi - Sant'Ambrogio 45.527500       9.097100        H_ORIGIN       
H_3_origin_1                             ASST Grande Ospedale Metropolitano Niguarda 45.514300       9.187900        H_ORIGIN       
H_3_origin_4                             ASST Grande Ospedale Metropolitano Niguarda 45.514300       9.187900        H_ORIGIN       
H_4_origin_6                             Ospedale Maggiore Policlinico di Milano 45.464200       9.194700        H_ORIGIN       
H_4_origin_8                             Ospedale Maggiore Policlinico di Milano 45.464200       9.194700        H_ORIGIN       
H_5_origin_10                            IRCCS Ospedale San Raffaele    45.512900       9.264400        H_ORIGIN       
H_8_origin_5                             Ospedale San Paolo             45.437900       9.159200        H_ORIGIN       
H_10_dest_4                              ASST Nord Milano - Ospedale Città di Sesto San Giovanni 45.540800       9.226300        H_DESTINATION  
H_18_dest_1                              Ospedale di Abbiategrasso      45.398900       8.919700        H_DESTINATION  
H_18_dest_9                              Ospedale di Abbiategrasso      45.398900       8.919700        H_DESTINATION  
H_19_dest_10                             Ospedale di Legnano            45.594200       8.915600        H_DESTINATION  
H_19_dest_8                              Ospedale di Legnano            45.594200       8.915600        H_DESTINATION  
H_1_dest_2                               IRCCS Ospedale Galeazzi - Sant'Ambrogio 45.527500       9.097100        H_DESTINATION  
H_1_dest_6                               IRCCS Ospedale Galeazzi - Sant'Ambrogio 45.527500       9.097100        H_DESTINATION  
H_3_dest_5                               ASST Grande Ospedale Metropolitano Niguarda 45.514300       9.187900        H_DESTINATION  
H_8_dest_3                               Ospedale San Paolo             45.437900       9.159200        H_DESTINATION  
H_9_dest_7                               Ospedale dei Bambini Vittore Buzzi 45.490200       9.166200        H_DESTINATION  
F_10                                     Facility 10                    45.453577       9.064646        FACILITY       
F_24                                     Facility 24                    45.554477       9.064646        FACILITY       
F_25                                     Facility 25                    45.554477       9.136595        FACILITY       
F_9                                      Facility 9                     45.453577       8.992697        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        F_9                                      H_18_dest_9                              16.66                USED      
19       H_18_origin_7                            F_10                                     25.68                USED      
20       H_3_origin_4                             H_10_dest_4                              8.40                 USED      
39       HUB_2                                    H_18_origin_7                            19.47                USED      
66       H_11_origin_3                            H_8_dest_3                               14.33                USED      
88       H_3_origin_1                             F_10                                     23.49                USED      
103      H_4_origin_8                             F_24                                     28.53                USED      
109      H_1_origin_9                             F_9                                      23.13                USED      
135      H_4_origin_6                             H_1_dest_6                               20.73                USED      
150      HUB_1                                    H_3_origin_4                             8.39                 USED      
152      HUB_1                                    H_11_origin_3                            7.69                 USED      
154      HUB_1                                    H_3_origin_1                             8.39                 USED      
156      HUB_1                                    H_4_origin_8                             11.12                USED      
157      HUB_1                                    H_1_origin_9                             9.63                 USED      
158      HUB_1                                    H_4_origin_6                             11.12                USED      
161      HUB_1                                    H_15_origin_2                            17.84                USED      
180      F_24                                     H_19_dest_8                              24.83                USED      
182      F_24                                     H_19_dest_10                             24.83                USED      
194      H_15_origin_2                            H_1_dest_2                               9.44                 USED      
210      H_8_origin_5                             H_3_dest_5                               17.57                USED      
232      F_10                                     H_9_dest_7                               17.81                USED      
240      F_10                                     H_18_dest_1                              25.68                USED      
261      F_25                                     F_24                                     11.20                USED      
280      H_5_origin_10                            F_25                                     21.95                USED      
1        F_9                                      H_18_origin_7                            16.66                NOT USED  
3        F_9                                      H_9_dest_7                               28.26                NOT USED  
4        F_9                                      HUB_2                                    15.26                NOT USED  
5        F_9                                      H_1_dest_2                               23.13                NOT USED  
6        F_9                                      H_1_dest_6                               23.13                NOT USED  
7        F_9                                      H_1_origin_9                             23.13                NOT USED  
8        F_9                                      H_18_dest_1                              16.66                NOT USED  
9        F_9                                      HUB_1                                    24.94                NOT USED  
10       F_9                                      H_8_dest_3                               26.21                NOT USED  
11       F_9                                      F_24                                     25.09                NOT USED  
12       F_9                                      H_15_origin_2                            18.45                NOT USED  
13       F_9                                      H_8_origin_5                             26.21                NOT USED  
14       F_9                                      F_10                                     11.22                NOT USED  
15       H_18_origin_7                            F_9                                      16.66                NOT USED  
16       H_18_origin_7                            H_18_dest_9                              0.00                 NOT USED  
17       H_18_origin_7                            HUB_2                                    19.47                NOT USED  
18       H_18_origin_7                            H_18_dest_1                              0.00                 NOT USED  
21       H_3_origin_4                             H_3_dest_5                               0.00                 NOT USED  
22       H_3_origin_4                             H_9_dest_7                               6.34                 NOT USED  
23       H_3_origin_4                             H_11_origin_3                            3.48                 NOT USED  
24       H_3_origin_4                             H_1_dest_2                               14.45                NOT USED  
25       H_3_origin_4                             H_3_origin_1                             0.00                 NOT USED  
26       H_3_origin_4                             H_1_dest_6                               14.45                NOT USED  
27       H_3_origin_4                             H_4_origin_8                             11.19                NOT USED  
28       H_3_origin_4                             H_1_origin_9                             14.45                NOT USED  
29       H_3_origin_4                             H_4_origin_6                             11.19                NOT USED  
30       H_3_origin_4                             HUB_1                                    8.39                 NOT USED  
31       H_3_origin_4                             H_8_dest_3                               17.57                NOT USED  
32       H_3_origin_4                             F_24                                     21.18                NOT USED  
33       H_3_origin_4                             H_15_origin_2                            23.84                NOT USED  
34       H_3_origin_4                             H_8_origin_5                             17.57                NOT USED  
35       H_3_origin_4                             F_10                                     23.49                NOT USED  
36       H_3_origin_4                             F_25                                     11.99                NOT USED  
37       H_3_origin_4                             H_5_origin_10                            11.93                NOT USED  
38       HUB_2                                    F_9                                      15.26                NOT USED  
40       HUB_2                                    H_18_dest_9                              19.47                NOT USED  
41       HUB_2                                    H_3_origin_4                             44.33                NOT USED  
42       HUB_2                                    H_11_origin_3                            44.24                NOT USED  
43       HUB_2                                    H_3_origin_1                             44.33                NOT USED  
44       HUB_2                                    H_4_origin_8                             45.22                NOT USED  
45       HUB_2                                    H_1_origin_9                             31.13                NOT USED  
46       HUB_2                                    H_18_dest_1                              19.47                NOT USED  
47       HUB_2                                    H_4_origin_6                             45.22                NOT USED  
48       HUB_2                                    H_19_dest_8                              24.12                NOT USED  
49       HUB_2                                    H_19_dest_10                             24.12                NOT USED  
50       HUB_2                                    F_24                                     28.99                NOT USED  
51       HUB_2                                    H_15_origin_2                            22.61                NOT USED  
52       HUB_2                                    H_8_origin_5                             40.85                NOT USED  
53       HUB_2                                    F_10                                     25.71                NOT USED  
54       HUB_2                                    H_5_origin_10                            56.13                NOT USED  
55       H_11_origin_3                            H_10_dest_4                              10.97                NOT USED  
56       H_11_origin_3                            H_3_dest_5                               3.48                 NOT USED  
57       H_11_origin_3                            H_3_origin_4                             3.48                 NOT USED  
58       H_11_origin_3                            H_9_dest_7                               4.11                 NOT USED  
59       H_11_origin_3                            H_1_dest_2                               15.77                NOT USED  
60       H_11_origin_3                            H_3_origin_1                             3.48                 NOT USED  
61       H_11_origin_3                            H_1_dest_6                               15.77                NOT USED  
62       H_11_origin_3                            H_4_origin_8                             7.71                 NOT USED  
63       H_11_origin_3                            H_1_origin_9                             15.77                NOT USED  
64       H_11_origin_3                            H_4_origin_6                             7.71                 NOT USED  
65       H_11_origin_3                            HUB_1                                    7.69                 NOT USED  
67       H_11_origin_3                            F_24                                     23.08                NOT USED  
68       H_11_origin_3                            H_15_origin_2                            24.86                NOT USED  
69       H_11_origin_3                            H_8_origin_5                             14.33                NOT USED  
70       H_11_origin_3                            F_10                                     21.92                NOT USED  
71       H_11_origin_3                            F_25                                     14.90                NOT USED  
72       H_11_origin_3                            H_5_origin_10                            12.08                NOT USED  
73       H_3_origin_1                             H_10_dest_4                              8.40                 NOT USED  
74       H_3_origin_1                             H_3_dest_5                               0.00                 NOT USED  
75       H_3_origin_1                             H_3_origin_4                             0.00                 NOT USED  
76       H_3_origin_1                             H_9_dest_7                               6.34                 NOT USED  
77       H_3_origin_1                             H_11_origin_3                            3.48                 NOT USED  
78       H_3_origin_1                             H_1_dest_2                               14.45                NOT USED  
79       H_3_origin_1                             H_1_dest_6                               14.45                NOT USED  
80       H_3_origin_1                             H_4_origin_8                             11.19                NOT USED  
81       H_3_origin_1                             H_1_origin_9                             14.45                NOT USED  
82       H_3_origin_1                             H_4_origin_6                             11.19                NOT USED  
83       H_3_origin_1                             HUB_1                                    8.39                 NOT USED  
84       H_3_origin_1                             H_8_dest_3                               17.57                NOT USED  
85       H_3_origin_1                             F_24                                     21.18                NOT USED  
86       H_3_origin_1                             H_15_origin_2                            23.84                NOT USED  
87       H_3_origin_1                             H_8_origin_5                             17.57                NOT USED  
89       H_3_origin_1                             F_25                                     11.99                NOT USED  
90       H_3_origin_1                             H_5_origin_10                            11.93                NOT USED  
91       H_4_origin_8                             H_10_dest_4                              17.73                NOT USED  
92       H_4_origin_8                             H_3_dest_5                               11.19                NOT USED  
93       H_4_origin_8                             H_3_origin_4                             11.19                NOT USED  
94       H_4_origin_8                             H_9_dest_7                               7.29                 NOT USED  
95       H_4_origin_8                             H_11_origin_3                            7.71                 NOT USED  
96       H_4_origin_8                             H_1_dest_2                               20.73                NOT USED  
97       H_4_origin_8                             H_3_origin_1                             11.19                NOT USED  
98       H_4_origin_8                             H_1_dest_6                               20.73                NOT USED  
99       H_4_origin_8                             H_1_origin_9                             20.73                NOT USED  
100      H_4_origin_8                             H_4_origin_6                             0.00                 NOT USED  
101      H_4_origin_8                             HUB_1                                    11.12                NOT USED  
102      H_4_origin_8                             H_8_dest_3                               8.05                 NOT USED  
104      H_4_origin_8                             H_15_origin_2                            28.72                NOT USED  
105      H_4_origin_8                             H_8_origin_5                             8.05                 NOT USED  
106      H_4_origin_8                             F_10                                     20.42                NOT USED  
107      H_4_origin_8                             F_25                                     22.02                NOT USED  
108      H_4_origin_8                             H_5_origin_10                            15.34                NOT USED  
110      H_1_origin_9                             H_10_dest_4                              20.34                NOT USED  
111      H_1_origin_9                             H_3_dest_5                               14.45                NOT USED  
112      H_1_origin_9                             H_3_origin_4                             14.45                NOT USED  
113      H_1_origin_9                             H_9_dest_7                               13.59                NOT USED  
114      H_1_origin_9                             H_11_origin_3                            15.77                NOT USED  
115      H_1_origin_9                             H_1_dest_2                               0.00                 NOT USED  
116      H_1_origin_9                             H_3_origin_1                             14.45                NOT USED  
117      H_1_origin_9                             H_1_dest_6                               0.00                 NOT USED  
118      H_1_origin_9                             H_4_origin_8                             20.73                NOT USED  
119      H_1_origin_9                             H_4_origin_6                             20.73                NOT USED  
120      H_1_origin_9                             HUB_1                                    9.63                 NOT USED  
121      H_1_origin_9                             H_8_dest_3                               22.15                NOT USED  
122      H_1_origin_9                             F_24                                     7.85                 NOT USED  
123      H_1_origin_9                             H_15_origin_2                            9.44                 NOT USED  
124      H_1_origin_9                             H_8_origin_5                             22.15                NOT USED  
125      H_1_origin_9                             F_10                                     17.20                NOT USED  
126      H_1_origin_9                             F_25                                     8.59                 NOT USED  
127      H_1_origin_9                             H_5_origin_10                            26.27                NOT USED  
128      H_4_origin_6                             H_10_dest_4                              17.73                NOT USED  
129      H_4_origin_6                             H_3_dest_5                               11.19                NOT USED  
130      H_4_origin_6                             H_3_origin_4                             11.19                NOT USED  
131      H_4_origin_6                             H_9_dest_7                               7.29                 NOT USED  
132      H_4_origin_6                             H_11_origin_3                            7.71                 NOT USED  
133      H_4_origin_6                             H_1_dest_2                               20.73                NOT USED  
134      H_4_origin_6                             H_3_origin_1                             11.19                NOT USED  
136      H_4_origin_6                             H_4_origin_8                             0.00                 NOT USED  
137      H_4_origin_6                             H_1_origin_9                             20.73                NOT USED  
138      H_4_origin_6                             HUB_1                                    11.12                NOT USED  
139      H_4_origin_6                             H_8_dest_3                               8.05                 NOT USED  
140      H_4_origin_6                             F_24                                     28.53                NOT USED  
141      H_4_origin_6                             H_15_origin_2                            28.72                NOT USED  
142      H_4_origin_6                             H_8_origin_5                             8.05                 NOT USED  
143      H_4_origin_6                             F_10                                     20.42                NOT USED  
144      H_4_origin_6                             F_25                                     22.02                NOT USED  
145      H_4_origin_6                             H_5_origin_10                            15.34                NOT USED  
146      HUB_1                                    F_9                                      24.94                NOT USED  
147      HUB_1                                    H_18_origin_7                            40.71                NOT USED  
148      HUB_1                                    H_10_dest_4                              16.61                NOT USED  
149      HUB_1                                    H_3_dest_5                               8.39                 NOT USED  
151      HUB_1                                    H_9_dest_7                               4.27                 NOT USED  
153      HUB_1                                    H_1_dest_2                               9.63                 NOT USED  
155      HUB_1                                    H_1_dest_6                               9.63                 NOT USED  
159      HUB_1                                    H_8_dest_3                               13.38                NOT USED  
160      HUB_1                                    F_24                                     17.46                NOT USED  
162      HUB_1                                    H_8_origin_5                             13.38                NOT USED  
163      HUB_1                                    F_10                                     15.20                NOT USED  
