NODES: 23
ARCS: 211

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          40.870258       14.207550       HUB            
HUB_2                                    Hub 2                          41.022780       14.311440       HUB            
H_12_origin_7                            Presidio Ospedaliero San Giuseppe Moscati 40.960800       14.209700       H_ORIGIN       
H_15_origin_9                            Ospedale Maddaloni             41.044200       14.380000       H_ORIGIN       
H_19_origin_5                            Presidio Ospedaliero Cavalier Raffaele Apicella 40.858800       14.381700       H_ORIGIN       
H_21_origin_1                            Ospedale Marina USA            40.993900       14.256400       H_ORIGIN       
H_3_origin_8                             Presidio Ospedaliero San Giovanni Bosco 40.874800       14.276400       H_ORIGIN       
H_4_origin_4                             ICS Hermitage Maugeri Napoli   40.881400       14.247800       H_ORIGIN       
H_7_origin_10                            Clinica Mediterranea - Ospedale e Centro Diagnostico 40.829200       14.219700       H_ORIGIN       
H_9_origin_2                             Ospedale San Paolo Asl Napoli 1 40.831200       14.183200       H_ORIGIN       
H_9_origin_3                             Ospedale San Paolo Asl Napoli 1 40.831200       14.183200       H_ORIGIN       
H_9_origin_6                             Ospedale San Paolo Asl Napoli 1 40.831200       14.183200       H_ORIGIN       
H_10_dest_7                              Azienda Ospedaliera Universitaria Luigi Vanvitelli 40.853700       14.251300       H_DESTINATION  
H_11_dest_10                             Ospedale Vincenzo Monaldi - AOS dei Colli 40.870500       14.210100       H_DESTINATION  
H_11_dest_2                              Ospedale Vincenzo Monaldi - AOS dei Colli 40.870500       14.210100       H_DESTINATION  
H_20_dest_3                              Presidio Sciuti ASL Napoli 1 Centro 40.899900       14.238000       H_DESTINATION  
H_21_dest_4                              Ospedale Marina USA            40.993900       14.256400       H_DESTINATION  
H_2_dest_6                               Ospedale del Mare              40.852200       14.344700       H_DESTINATION  
H_4_dest_1                               ICS Hermitage Maugeri Napoli   40.881400       14.247800       H_DESTINATION  
H_4_dest_5                               ICS Hermitage Maugeri Napoli   40.881400       14.247800       H_DESTINATION  
H_4_dest_8                               ICS Hermitage Maugeri Napoli   40.881400       14.247800       H_DESTINATION  
H_4_dest_9                               ICS Hermitage Maugeri Napoli   40.881400       14.247800       H_DESTINATION  
F_14                                     Facility 14                    40.943186       14.289184       FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
10       H_9_origin_6                             H_2_dest_6                               27.57                USED      
28       H_7_origin_10                            H_11_dest_10                             9.33                 USED      
52       H_3_origin_8                             H_4_dest_8                               5.03                 USED      
57       H_4_origin_4                             H_21_dest_4                              25.06                USED      
89       H_9_origin_2                             H_11_dest_2                              9.84                 USED      
102      H_12_origin_7                            H_10_dest_7                              24.82                USED      
121      H_9_origin_3                             H_20_dest_3                              17.84                USED      
141      F_14                                     H_4_dest_9                               15.40                USED      
147      H_21_origin_1                            H_4_dest_1                               25.06                USED      
161      H_15_origin_9                            F_14                                     27.15                USED      
174      HUB_2                                    H_15_origin_9                            12.45                USED      
177      H_19_origin_5                            H_4_dest_5                               23.07                USED      
196      HUB_1                                    H_3_origin_8                             11.62                USED      
198      HUB_1                                    H_9_origin_2                             9.60                 USED      
200      HUB_1                                    H_9_origin_3                             9.60                 USED      
208      HUB_1                                    H_19_origin_5                            29.40                USED      
1        H_9_origin_6                             H_4_dest_5                               15.58                NOT USED  
2        H_9_origin_6                             H_4_dest_1                               15.58                NOT USED  
3        H_9_origin_6                             H_7_origin_10                            6.16                 NOT USED  
4        H_9_origin_6                             H_3_origin_8                             18.43                NOT USED  
5        H_9_origin_6                             H_4_origin_4                             15.58                NOT USED  
