NODES: 36
ARCS: 224

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_2                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_8                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_9                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_1                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_6                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_10                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_3                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_5                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_7                       44.694109       10.104399       H_ORIGIN       
H_Bergamo_1_dest_2                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_5                       45.792479       9.659418        H_DESTINATION  
H_Milano_1_dest_1                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_4                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_6                         44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_3                      44.916617       9.789650        H_DESTINATION  
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_16                                     H_Pavia_10_dest_7                        28.58                USED      
5        F_19                                     F_12                                     41.22                USED      
18       H_Milano_2_origin_10                     H_Milano_3_dest_10                       3.73                 USED      
24       F_12                                     H_Parma_1_dest_8                         38.36                USED      
27       F_12                                     F_18                                     50.49                USED      
33       F_31                                     H_Bergamo_2_origin_8                     41.54                USED      
43       F_31                                     F_38                                     41.22                USED      
45       F_31                                     H_Milano_1_dest_4                        45.24                USED      
46       F_31                                     H_Milano_1_dest_1                        45.24                USED      
54       H_Bergamo_2_origin_8                     F_32                                     37.11                USED      
56       F_25                                     F_31                                     50.36                USED      
63       HUB_2                                    H_Milano_2_origin_10                     29.86                USED      
64       HUB_2                                    F_31                                     21.41                USED      
70       HUB_2                                    H_Milano_3_origin_5                      33.59                USED      
71       HUB_2                                    H_Milano_2_origin_3                      29.86                USED      
76       HUB_2                                    F_32                                     46.89                USED      
81       H_Parma_1_origin_7                       F_12                                     38.36                USED      
89       F_18                                     F_17                                     29.11                USED      
97       H_Bergamo_4_origin_1                     F_32                                     31.81                USED      
102      F_20                                     F_13                                     41.22                USED      
110      F_30                                     F_23                                     41.22                USED      
111      F_30                                     F_38                                     50.30                USED      
114      F_26                                     F_19                                     41.22                USED      
119      F_26                                     H_Cremona_2_origin_4                     11.04                USED      
122      F_17                                     F_16                                     29.11                USED      
125      F_17                                     H_Piacenza_2_dest_3                      48.55                USED      
130      H_Milano_3_origin_5                      F_30                                     20.38                USED      
142      HUB_1                                    F_26                                     46.36                USED      
145      HUB_1                                    F_13                                     49.04                USED      
156      H_Milano_2_origin_3                      F_23                                     37.28                USED      
162      F_13                                     H_Parma_1_origin_7                       31.82                USED      
166      F_13                                     H_Parma_1_dest_6                         31.82                USED      
172      H_Bergamo_3_origin_9                     F_38                                     24.44                USED      
176      H_Bergamo_2_origin_2                     H_Bergamo_1_dest_2                       2.64                 USED      
182      H_Cremona_2_origin_4                     F_25                                     17.96                USED      
189      F_23                                     H_Pavia_9_dest_9                         26.60                USED      
194      F_23                                     F_17                                     50.42                USED      
200      F_38                                     H_Bergamo_3_dest_5                       24.44                USED      
204      F_38                                     F_30                                     50.30                USED      
205      F_38                                     H_Bergamo_3_origin_9                     24.44                USED      
