NODES: 36
ARCS: 241

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_9                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_2                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_7                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_8                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_1                     45.145060       10.012796       H_ORIGIN       
H_Parma_1_origin_4                       44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_5                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_3                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_6                      45.183361       9.145183        H_ORIGIN       
H_Piacenza_2_origin_10                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_10                      45.687747       9.675601        H_DESTINATION  
H_Cremona_1_dest_2                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_9                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_5                       45.289308       9.855996        H_DESTINATION  
H_Parma_1_dest_1                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_6                         44.856799       10.071196       H_DESTINATION  
H_Pavia_10_dest_3                        45.183361       9.145183        H_DESTINATION  
H_Pavia_9_dest_7                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_4                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_8                      44.716745       9.791689        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     H_Pavia_10_dest_3                        28.58                USED      
4        F_16                                     F_17                                     29.11                USED      
6        F_19                                     F_12                                     41.22                USED      
14       F_19                                     H_Cremona_2_dest_5                       42.61                USED      
21       F_12                                     F_19                                     41.22                USED      
28       F_12                                     H_Piacenza_1_dest_8                      33.32                USED      
34       H_Bergamo_2_origin_7                     F_31                                     41.54                USED      
40       F_31                                     H_Bergamo_2_origin_7                     41.54                USED      
45       F_31                                     F_23                                     50.36                USED      
58       F_25                                     F_32                                     41.22                USED      
60       H_Pavia_10_origin_6                      F_16                                     28.58                USED      
66       H_Cremona_1_origin_1                     F_20                                     23.45                USED      
74       H_Piacenza_2_origin_10                   F_18                                     31.25                USED      
83       HUB_2                                    F_31                                     21.41                USED      
91       HUB_2                                    F_23                                     29.74                USED      
97       F_18                                     F_25                                     41.22                USED      
106      H_Parma_1_origin_5                       F_12                                     38.36                USED      
121      F_20                                     F_13                                     41.22                USED      
126      F_33                                     F_26                                     41.22                USED      
131      F_26                                     F_19                                     41.22                USED      
137      F_26                                     H_Cremona_1_dest_2                       29.32                USED      
139      F_26                                     H_Cremona_1_dest_9                       29.32                USED      
142      F_17                                     F_16                                     29.11                USED      
146      F_17                                     F_11                                     50.49                USED      
159      HUB_1                                    F_13                                     49.04                USED      
172      H_Parma_1_origin_4                       H_Piacenza_1_dest_4                      42.59                USED      
175      F_13                                     H_Parma_1_dest_1                         31.82                USED      
177      F_13                                     H_Parma_1_origin_5                       31.82                USED      
180      F_13                                     H_Parma_1_origin_4                       31.82                USED      
187      F_11                                     F_17                                     50.49                USED      
190      F_11                                     H_Parma_2_dest_6                         47.18                USED      
202      H_Parma_2_origin_3                       F_11                                     47.18                USED      
208      H_Bergamo_2_origin_2                     F_32                                     37.11                USED      
213      F_23                                     H_Pavia_9_dest_7                         26.60                USED      
215      F_23                                     H_Pavia_10_origin_6                      28.04                USED      
222      F_32                                     H_Bergamo_1_dest_10                      35.22                USED      
224      F_32                                     F_26                                     50.36                USED      
234      H_Bergamo_1_origin_9                     F_32                                     35.22                USED      
238      H_Bergamo_4_origin_8                     F_33                                     26.20                USED      
2        F_16                                     H_Pavia_9_dest_7                         29.26                NOT USED  
3        F_16                                     H_Pavia_10_origin_6                      28.58                NOT USED  
5        F_16                                     F_23                                     41.22                NOT USED  
7        F_19                                     F_25                                     50.42                NOT USED  
8        F_19                                     H_Cremona_1_origin_1                     16.94                NOT USED  
9        F_19                                     H_Piacenza_2_origin_10                   35.98                NOT USED  
10       F_19                                     F_18                                     29.11                NOT USED  
11       F_19                                     F_20                                     29.11                NOT USED  
12       F_19                                     H_Cremona_1_dest_2                       16.94                NOT USED  
13       F_19                                     F_26                                     41.22                NOT USED  
15       F_19                                     H_Cremona_1_dest_9                       16.94                NOT USED  
16       F_19                                     HUB_1                                    33.04                NOT USED  
17       F_19                                     F_13                                     50.49                NOT USED  
18       F_19                                     F_11                                     50.49                NOT USED  
19       F_19                                     H_Parma_2_origin_3                       45.01                NOT USED  
20       F_19                                     H_Parma_2_dest_6                         45.01                NOT USED  
22       F_12                                     H_Parma_1_dest_1                         38.36                NOT USED  
23       F_12                                     H_Piacenza_2_origin_10                   23.05                NOT USED  
24       F_12                                     F_18                                     50.49                NOT USED  
25       F_12                                     H_Parma_1_origin_5                       38.36                NOT USED  
26       F_12                                     F_20                                     50.49                NOT USED  
27       F_12                                     H_Parma_1_origin_4                       38.36                NOT USED  
29       F_12                                     F_13                                     29.22                NOT USED  
30       F_12                                     F_11                                     29.22                NOT USED  
31       F_12                                     H_Parma_2_origin_3                       17.96                NOT USED  
32       F_12                                     H_Parma_2_dest_6                         17.96                NOT USED  
33       F_12                                     H_Piacenza_1_dest_4                      33.32                NOT USED  
35       H_Bergamo_2_origin_7                     H_Bergamo_1_dest_10                      2.64                 NOT USED  
