NODES: 34
ARCS: 191

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_3_origin_3                     45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_8                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_7                     45.289308       9.855996        H_ORIGIN       
H_Milano_3_origin_10                     45.471898       9.145035        H_ORIGIN       
H_Parma_2_origin_6                       44.856799       10.071196       H_ORIGIN       
H_Pavia_1_origin_1                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_9                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_5                       45.066405       9.324603        H_ORIGIN       
H_Pavia_9_origin_2                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_4                       45.190881       9.149624        H_ORIGIN       
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_1                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_8                       45.635359       9.872452        H_DESTINATION  
H_Milano_1_dest_2                        45.499807       9.167334        H_DESTINATION  
H_Parma_2_dest_10                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_3                         44.856799       10.071196       H_DESTINATION  
H_Pavia_5_dest_9                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_5                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_7                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_6                      44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
10       F_19                                     H_Parma_2_dest_3                         45.01                USED      
12       H_Bergamo_3_origin_3                     F_39                                     15.80                USED      
21       F_31                                     H_Bergamo_1_dest_4                       41.41                USED      
22       F_31                                     F_38                                     41.22                USED      
24       H_Pavia_1_origin_9                       H_Pavia_5_dest_9                         8.42                 USED      
34       H_Pavia_9_origin_2                       F_22                                     21.42                USED      
41       H_Cremona_2_origin_7                     F_18                                     44.92                USED      
46       HUB_2                                    F_31                                     21.41                USED      
57       HUB_2                                    F_23                                     29.74                USED      
65       F_18                                     F_11                                     41.22                USED      
72       H_Milano_3_origin_10                     F_23                                     39.77                USED      
78       F_30                                     F_38                                     50.30                USED      
81       F_33                                     F_26                                     41.22                USED      
83       F_33                                     H_Bergamo_4_dest_8                       26.20                USED      
89       F_22                                     H_Milano_1_dest_2                        41.99                USED      
93       F_26                                     F_19                                     41.22                USED      
96       F_26                                     F_33                                     41.22                USED      
104      F_17                                     F_11                                     50.49                USED      
110      F_39                                     F_33                                     50.30                USED      
118      H_Pavia_5_origin_5                       H_Pavia_9_dest_5                         33.42                USED      
125      H_Cremona_1_origin_8                     F_26                                     29.32                USED      
133      H_Pavia_1_origin_1                       F_23                                     49.10                USED      
143      HUB_1                                    H_Cremona_1_origin_8                     22.87                USED      
147      HUB_1                                    H_Parma_2_origin_6                       51.05                USED      
152      F_11                                     H_Piacenza_1_dest_7                      28.38                USED      
153      F_11                                     H_Parma_2_dest_10                        47.18                USED      
157      F_38                                     H_Bergamo_3_origin_3                     24.44                USED      
158      F_38                                     H_Bergamo_3_dest_1                       24.44                USED      
163      F_23                                     F_31                                     50.36                USED      
164      F_23                                     H_Pavia_1_origin_9                       49.10                USED      
169      F_23                                     F_30                                     41.22                USED      
172      F_23                                     F_17                                     50.42                USED      
176      F_23                                     H_Pavia_9_origin_4                       26.60                USED      
184      H_Pavia_9_origin_4                       F_23                                     26.60                USED      
190      H_Parma_2_origin_6                       H_Piacenza_2_dest_6                      39.70                USED      
1        F_19                                     H_Cremona_2_origin_7                     42.61                NOT USED  
2        F_19                                     F_18                                     29.11                NOT USED  
3        F_19                                     F_26                                     41.22                NOT USED  
