NODES: 34
ARCS: 229

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_1                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_9                     45.635359       9.872452        H_ORIGIN       
H_Parma_1_origin_6                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_4                       44.856799       10.071196       H_ORIGIN       
H_Pavia_8_origin_10                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_8                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_2                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_3                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_5                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_7                       45.190881       9.149624        H_ORIGIN       
H_Cremona_1_dest_7                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_8                       45.145060       10.012796       H_DESTINATION  
H_Milano_3_dest_1                        45.471898       9.145035        H_DESTINATION  
H_Pavia_5_dest_3                         45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_4                         45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_6                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_2                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_10                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_5                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     F_10                                     50.49                USED      
4        F_16                                     H_Pavia_8_dest_6                         30.62                USED      
9        F_16                                     F_17                                     29.11                USED      
11       F_16                                     H_Pavia_8_dest_4                         30.62                USED      
15       H_Bergamo_2_origin_1                     F_31                                     41.54                USED      
21       F_10                                     H_Piacenza_1_dest_2                      47.03                USED      
26       F_12                                     F_18                                     50.49                USED      
38       H_Pavia_9_origin_7                       F_24                                     51.39                USED      
52       F_31                                     H_Milano_3_dest_1                        48.65                USED      
58       F_25                                     H_Cremona_1_dest_7                       47.78                USED      
62       F_24                                     H_Pavia_9_dest_9                         51.39                USED      
65       F_24                                     F_25                                     29.00                USED      
74       H_Pavia_9_origin_2                       F_16                                     29.26                USED      
96       HUB_2                                    F_23                                     29.74                USED      
99       HUB_2                                    F_32                                     46.89                USED      
102      H_Bergamo_4_origin_9                     F_32                                     31.81                USED      
107      F_18                                     F_17                                     29.11                USED      
112      F_18                                     H_Cremona_1_dest_8                       41.43                USED      
113      H_Pavia_8_origin_10                      F_16                                     30.62                USED      
124      F_17                                     F_16                                     29.11                USED      
129      F_17                                     F_18                                     29.11                USED      
130      F_17                                     H_Piacenza_2_dest_10                     48.55                USED      
131      F_17                                     H_Piacenza_2_dest_5                      48.55                USED      
134      H_Pavia_9_origin_5                       F_16                                     29.26                USED      
153      HUB_1                                    F_13                                     49.04                USED      
154      HUB_1                                    H_Parma_2_origin_4                       51.05                USED      
159      H_Pavia_8_origin_8                       F_16                                     30.62                USED      
175      F_13                                     H_Parma_1_origin_6                       31.82                USED      
180      F_11                                     F_17                                     50.49                USED      
190      H_Parma_2_origin_4                       F_11                                     47.18                USED      
196      F_23                                     H_Pavia_9_origin_7                       26.60                USED      
203      F_23                                     H_Pavia_9_origin_5                       26.60                USED      
208      H_Parma_1_origin_6                       F_12                                     38.36                USED      
213      H_Pavia_9_origin_3                       H_Pavia_5_dest_3                         33.42                USED      
227      F_32                                     F_24                                     50.36                USED      
229      F_32                                     H_Bergamo_4_origin_9                     31.81                USED      
2        F_16                                     H_Pavia_5_dest_3                         4.89                 NOT USED  
3        F_16                                     H_Pavia_9_dest_9                         29.26                NOT USED  
5        F_16                                     H_Pavia_9_origin_7                       29.26                NOT USED  
6        F_16                                     F_24                                     50.42                NOT USED  
7        F_16                                     H_Pavia_9_origin_2                       29.26                NOT USED  
8        F_16                                     H_Pavia_8_origin_10                      30.62                NOT USED  
10       F_16                                     H_Pavia_9_origin_5                       29.26                NOT USED  
12       F_16                                     H_Pavia_8_origin_8                       30.62                NOT USED  
13       F_16                                     F_23                                     41.22                NOT USED  
14       F_16                                     H_Pavia_9_origin_3                       29.26                NOT USED  
16       H_Bergamo_2_origin_1                     H_Bergamo_4_origin_9                     30.63                NOT USED  
17       H_Bergamo_2_origin_1                     F_32                                     37.11                NOT USED  
18       F_10                                     F_16                                     50.49                NOT USED  
19       F_10                                     H_Pavia_5_dest_3                         46.78                NOT USED  
20       F_10                                     F_18                                     50.49                NOT USED  
22       F_10                                     F_17                                     41.22                NOT USED  
23       F_10                                     H_Piacenza_2_dest_10                     39.97                NOT USED  
24       F_10                                     H_Piacenza_2_dest_5                      39.97                NOT USED  
25       F_10                                     F_11                                     29.22                NOT USED  
27       F_12                                     H_Piacenza_1_dest_2                      33.32                NOT USED  
28       F_12                                     H_Piacenza_2_dest_10                     23.05                NOT USED  
29       F_12                                     H_Piacenza_2_dest_5                      23.05                NOT USED  
30       F_12                                     F_13                                     29.22                NOT USED  
31       F_12                                     F_11                                     29.22                NOT USED  
32       F_12                                     H_Parma_2_origin_4                       17.96                NOT USED  
