NODES: 34
ARCS: 211

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_4                     45.695518       9.659230        H_ORIGIN       
H_Milano_2_origin_3                      45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_5                      45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_8                      45.466862       9.172003        H_ORIGIN       
H_Parma_1_origin_1                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_9                      45.183361       9.145183        H_ORIGIN       
H_Pavia_5_origin_10                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_2                       45.066405       9.324603        H_ORIGIN       
H_Piacenza_2_origin_6                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_9                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Milano_1_dest_1                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_5                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_10                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_7                        45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_8                        45.471898       9.145035        H_DESTINATION  
H_Parma_3_dest_2                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        H_Pavia_5_origin_2                       F_17                                     24.44                USED      
7        F_12                                     F_18                                     50.49                USED      
8        F_12                                     H_Parma_3_dest_2                         47.65                USED      
13       F_12                                     H_Parma_3_dest_3                         47.65                USED      
17       H_Pavia_5_origin_10                      F_23                                     42.81                USED      
20       H_Piacenza_2_origin_6                    F_18                                     31.25                USED      
25       H_Milano_2_origin_8                      H_Milano_3_dest_8                        3.73                 USED      
43       F_31                                     H_Bergamo_1_dest_9                       41.41                USED      
47       F_31                                     H_Bergamo_2_origin_4                     41.54                USED      
58       F_25                                     F_32                                     41.22                USED      
64       F_24                                     F_18                                     50.42                USED      
65       F_24                                     F_30                                     50.36                USED      
73       HUB_2                                    H_Milano_2_origin_8                      29.86                USED      
74       HUB_2                                    F_31                                     21.41                USED      
82       HUB_2                                    H_Milano_2_origin_3                      29.86                USED      
85       HUB_2                                    F_23                                     29.74                USED      
89       F_18                                     F_12                                     50.49                USED      
91       F_18                                     F_25                                     41.22                USED      
92       F_18                                     F_24                                     50.42                USED      
106      F_30                                     H_Milano_1_dest_1                        16.38                USED      
112      F_17                                     F_18                                     29.11                USED      
114      F_17                                     F_23                                     50.42                USED      
119      F_39                                     H_Bergamo_3_dest_6                       15.80                USED      
124      H_Bergamo_2_origin_4                     H_Bergamo_1_dest_4                       2.64                 USED      
130      H_Milano_2_origin_5                      H_Milano_1_dest_5                        6.31                 USED      
146      HUB_1                                    F_13                                     49.04                USED      
158      H_Milano_2_origin_3                      F_23                                     37.28                USED      
165      H_Parma_2_origin_7                       F_11                                     47.18                USED      
173      F_13                                     H_Parma_1_origin_1                       31.82                USED      
178      F_11                                     F_17                                     50.49                USED      
180      H_Parma_1_origin_1                       F_12                                     38.36                USED      
189      F_23                                     F_31                                     50.36                USED      
190      F_23                                     F_24                                     29.00                USED      
192      F_23                                     H_Milano_2_dest_10                       37.28                USED      
195      F_23                                     H_Milano_3_dest_7                        39.77                USED      
200      F_23                                     H_Pavia_10_origin_9                      28.04                USED      
206      F_32                                     F_39                                     41.22                USED      
211      H_Pavia_10_origin_9                      F_23                                     28.04                USED      
1        H_Pavia_5_origin_2                       H_Pavia_5_origin_10                      0.00                 NOT USED  
2        H_Pavia_5_origin_2                       F_24                                     49.03                NOT USED  
4        H_Pavia_5_origin_2                       F_23                                     42.81                NOT USED  
5        H_Pavia_5_origin_2                       H_Pavia_10_origin_9                      32.85                NOT USED  
6        F_12                                     H_Piacenza_2_origin_6                    23.05                NOT USED  
9        F_12                                     H_Parma_2_origin_7                       17.96                NOT USED  
10       F_12                                     F_13                                     29.22                NOT USED  
