NODES: 33
ARCS: 193

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_9                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_3                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_4                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_6                     45.792479       9.659418        H_ORIGIN       
H_Milano_3_origin_7                      45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_8                      45.471898       9.145035        H_ORIGIN       
H_Parma_2_origin_1                       44.856799       10.071196       H_ORIGIN       
H_Pavia_1_origin_10                      45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_2                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_2_origin_5                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_10                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_8                       45.687747       9.675601        H_DESTINATION  
H_Cremona_1_dest_1                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_2                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_4                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_3                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_6                         44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_9                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_5                         44.717104       10.229990       H_DESTINATION  
H_Pavia_5_dest_7                         45.066405       9.324603        H_DESTINATION  
F_12                                     44.857198       9.938288        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
6        H_Bergamo_3_origin_4                     F_38                                     24.44                USED      
8        F_19                                     F_12                                     41.22                USED      
10       F_19                                     H_Cremona_1_dest_1                       16.94                USED      
16       F_12                                     H_Parma_3_dest_5                         47.65                USED      
18       F_12                                     H_Parma_1_dest_9                         38.36                USED      
20       F_12                                     H_Parma_1_dest_6                         38.36                USED      
22       F_31                                     H_Bergamo_2_origin_3                     41.54                USED      
24       F_31                                     H_Bergamo_1_dest_8                       41.41                USED      
26       F_31                                     H_Bergamo_1_dest_10                      41.41                USED      
30       F_31                                     H_Milano_3_dest_3                        48.65                USED      
37       F_24                                     H_Cremona_2_dest_2                       46.96                USED      
44       H_Pavia_1_origin_10                      F_23                                     49.10                USED      
47       H_Bergamo_2_origin_3                     F_31                                     41.54                USED      
56       HUB_2                                    F_31                                     21.41                USED      
60       HUB_2                                    H_Milano_3_origin_7                      33.59                USED      
63       HUB_2                                    H_Milano_3_origin_8                      33.59                USED      
77       H_Milano_3_origin_7                      F_23                                     39.77                USED      
87       F_30                                     H_Milano_1_dest_4                        16.38                USED      
89       H_Piacenza_2_origin_5                    F_12                                     23.05                USED      
94       F_33                                     F_26                                     41.22                USED      
98       F_26                                     F_19                                     41.22                USED      
109      F_39                                     F_33                                     50.30                USED      
114      H_Milano_3_origin_8                      F_31                                     48.65                USED      
122      H_Pavia_8_origin_2                       F_23                                     26.99                USED      
128      H_Bergamo_3_origin_6                     F_39                                     15.80                USED      
142      HUB_1                                    H_Parma_2_origin_1                       51.05                USED      
144      H_Parma_2_origin_1                       F_19                                     45.01                USED      
151      F_23                                     F_31                                     50.36                USED      
152      F_23                                     F_24                                     29.00                USED      
161      F_23                                     H_Pavia_5_dest_7                         42.81                USED      
167      F_38                                     F_30                                     50.30                USED      
180      F_32                                     F_26                                     50.36                USED      
193      H_Bergamo_1_origin_9                     F_32                                     35.22                USED      
1        H_Bergamo_3_origin_4                     H_Bergamo_2_origin_3                     18.48                NOT USED  
2        H_Bergamo_3_origin_4                     H_Bergamo_1_dest_8                       20.08                NOT USED  
