NODES: 36
ARCS: 226

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_3_origin_8                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_10                    45.635359       9.872452        H_ORIGIN       
H_Milano_1_origin_2                      45.499807       9.167334        H_ORIGIN       
H_Parma_1_origin_4                       44.694109       10.104399       H_ORIGIN       
H_Parma_3_origin_5                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_7                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_9                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_6                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_3                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_2_origin_1                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_1                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_9                       45.792479       9.659418        H_DESTINATION  
H_Milano_3_dest_7                        45.471898       9.145035        H_DESTINATION  
H_Parma_3_dest_6                         44.717104       10.229990       H_DESTINATION  
H_Pavia_5_dest_3                         45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_10                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_8                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_5                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_2                      44.916617       9.789650        H_DESTINATION  
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
5        F_19                                     F_26                                     41.22                USED      
12       F_16                                     F_17                                     29.11                USED      
14       F_16                                     H_Pavia_9_dest_5                         29.26                USED      
20       F_12                                     F_19                                     41.22                USED      
22       F_12                                     F_18                                     50.49                USED      
23       F_12                                     H_Parma_3_dest_6                         47.65                USED      
31       H_Bergamo_3_origin_8                     F_38                                     24.44                USED      
40       F_31                                     F_23                                     50.36                USED      
41       F_31                                     F_38                                     41.22                USED      
50       F_25                                     F_32                                     41.22                USED      
53       F_24                                     F_31                                     41.22                USED      
65       HUB_2                                    F_31                                     21.41                USED      
73       HUB_2                                    F_23                                     29.74                USED      
74       HUB_2                                    H_Milano_1_origin_2                      32.51                USED      
76       HUB_2                                    F_32                                     46.89                USED      
81       F_18                                     F_12                                     50.49                USED      
82       F_18                                     F_25                                     41.22                USED      
86       F_18                                     F_17                                     29.11                USED      
92       F_30                                     F_23                                     41.22                USED      
99       F_26                                     F_32                                     50.36                USED      
101      F_17                                     F_16                                     29.11                USED      
104      F_17                                     H_Piacenza_2_dest_2                      48.55                USED      
105      F_17                                     F_18                                     29.11                USED      
116      H_Pavia_1_origin_7                       F_23                                     49.10                USED      
120      H_Parma_3_origin_5                       F_12                                     47.65                USED      
127      H_Piacenza_2_origin_1                    F_18                                     31.25                USED      
137      HUB_1                                    F_13                                     49.04                USED      
143      H_Parma_1_origin_4                       F_12                                     38.36                USED      
151      F_13                                     H_Parma_3_origin_5                       28.59                USED      
154      F_13                                     H_Parma_1_origin_4                       31.82                USED      
160      F_23                                     H_Pavia_8_dest_8                         26.99                USED      
162      F_23                                     H_Milano_3_dest_7                        39.77                USED      
163      F_23                                     F_17                                     50.42                USED      
166      F_23                                     H_Pavia_8_dest_10                        26.99                USED      
170      F_23                                     H_Pavia_8_origin_6                       26.99                USED      
171      F_38                                     H_Bergamo_3_origin_8                     24.44                USED      
174      F_38                                     H_Bergamo_3_dest_9                       24.44                USED      
175      F_38                                     F_30                                     50.30                USED      
182      H_Milano_1_origin_2                      F_23                                     43.28                USED      
183      H_Pavia_9_origin_3                       H_Pavia_5_dest_3                         33.42                USED      
193      F_32                                     H_Bergamo_2_dest_1                       37.11                USED      
194      F_32                                     F_31                                     28.89                USED      
199      F_32                                     H_Bergamo_1_dest_4                       35.22                USED      
201      F_32                                     H_Bergamo_4_origin_10                    31.81                USED      
204      H_Pavia_5_origin_9                       F_24                                     49.03                USED      
217      H_Bergamo_4_origin_10                    F_32                                     31.81                USED      
219      H_Pavia_8_origin_6                       F_16                                     30.62                USED      
1        F_19                                     F_12                                     41.22                NOT USED  
2        F_19                                     F_25                                     50.42                NOT USED  
3        F_19                                     H_Piacenza_2_dest_2                      35.98                NOT USED  
4        F_19                                     F_18                                     29.11                NOT USED  
6        F_19                                     H_Piacenza_2_origin_1                    35.98                NOT USED  
7        F_19                                     HUB_1                                    33.04                NOT USED  
8        F_19                                     F_13                                     50.49                NOT USED  
9        F_16                                     H_Pavia_5_dest_3                         4.89                 NOT USED  
10       F_16                                     F_24                                     50.42                NOT USED  
11       F_16                                     H_Pavia_8_dest_8                         30.62                NOT USED  
13       F_16                                     H_Pavia_1_origin_7                       7.90                 NOT USED  
15       F_16                                     H_Pavia_8_dest_10                        30.62                NOT USED  
16       F_16                                     F_23                                     41.22                NOT USED  
17       F_16                                     H_Pavia_9_origin_3                       29.26                NOT USED  
18       F_16                                     H_Pavia_5_origin_9                       4.89                 NOT USED  
19       F_16                                     H_Pavia_8_origin_6                       30.62                NOT USED  
21       F_12                                     H_Piacenza_2_dest_2                      23.05                NOT USED  
24       F_12                                     H_Parma_3_origin_5                       47.65                NOT USED  
25       F_12                                     H_Piacenza_2_origin_1                    23.05                NOT USED  
26       F_12                                     H_Parma_1_origin_4                       38.36                NOT USED  
27       F_12                                     F_13                                     29.22                NOT USED  
28       H_Bergamo_3_origin_8                     H_Bergamo_2_dest_1                       18.48                NOT USED  
29       H_Bergamo_3_origin_8                     H_Bergamo_3_dest_9                       0.00                 NOT USED  
30       H_Bergamo_3_origin_8                     H_Bergamo_1_dest_4                       20.08                NOT USED  
