NODES: 40
ARCS: 267

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_8                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_2                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_3                     45.792479       9.659418        H_ORIGIN       
H_Cremona_2_origin_1                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_4                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_9                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_10                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_5                       44.694109       10.104399       H_ORIGIN       
H_Parma_3_origin_6                       44.717104       10.229990       H_ORIGIN       
H_Pavia_8_origin_7                       45.194742       9.140386        H_ORIGIN       
H_Bergamo_3_dest_4                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_9                       45.792479       9.659418        H_DESTINATION  
H_Cremona_2_dest_7                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_5                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_1                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_2                         44.856799       10.071196       H_DESTINATION  
H_Pavia_8_dest_10                        45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_3                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_6                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_8                      44.716745       9.791689        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
4        F_16                                     H_Pavia_8_dest_10                        30.62                USED      
7        F_19                                     H_Parma_2_dest_2                         45.01                USED      
19       F_12                                     F_18                                     50.49                USED      
31       H_Milano_3_origin_9                      F_30                                     20.38                USED      
38       H_Bergamo_3_origin_3                     F_39                                     15.80                USED      
42       F_31                                     H_Bergamo_2_origin_8                     41.54                USED      
51       F_31                                     F_38                                     41.22                USED      
61       H_Bergamo_2_origin_8                     F_32                                     37.11                USED      
68       F_24                                     F_30                                     50.36                USED      
70       F_24                                     H_Cremona_2_dest_7                       46.96                USED      
71       F_24                                     F_23                                     29.00                USED      
77       F_25                                     F_18                                     41.22                USED      
86       H_Parma_3_origin_6                       F_5                                      42.12                USED      
90       H_Cremona_2_origin_1                     F_24                                     46.96                USED      
97       HUB_2                                    H_Milano_3_origin_9                      33.59                USED      
99       HUB_2                                    F_31                                     21.41                USED      
116      F_18                                     F_24                                     50.42                USED      
120      F_18                                     F_17                                     29.11                USED      
122      F_18                                     F_11                                     41.22                USED      
123      H_Parma_1_origin_5                       F_12                                     38.36                USED      
135      F_30                                     H_Milano_1_dest_5                        16.38                USED      
139      F_30                                     F_38                                     50.30                USED      
143      F_33                                     F_26                                     41.22                USED      
147      F_26                                     F_19                                     41.22                USED      
155      F_17                                     F_16                                     29.11                USED      
166      F_39                                     F_33                                     50.30                USED      
169      F_39                                     F_32                                     41.22                USED      
172      H_Pavia_8_origin_7                       F_23                                     26.99                USED      
177      H_Bergamo_3_origin_2                     F_39                                     15.80                USED      
183      H_Milano_2_origin_4                      F_30                                     17.39                USED      
198      HUB_1                                    F_13                                     49.04                USED      
205      F_5                                      H_Piacenza_1_dest_6                      24.56                USED      
214      F_13                                     H_Parma_1_origin_5                       31.82                USED      
223      F_11                                     H_Piacenza_1_dest_3                      28.38                USED      
226      F_11                                     H_Piacenza_1_dest_8                      28.38                USED      
230      F_23                                     F_24                                     29.00                USED      
238      F_23                                     H_Milano_3_dest_1                        39.77                USED      
239      F_38                                     H_Bergamo_3_origin_3                     24.44                USED      
241      F_38                                     H_Bergamo_3_dest_9                       24.44                USED      
242      F_38                                     H_Bergamo_3_dest_4                       24.44                USED      
246      F_38                                     H_Bergamo_3_origin_2                     24.44                USED      
251      F_32                                     F_25                                     41.22                USED      
259      H_Parma_1_origin_10                      F_12                                     38.36                USED      
1        F_16                                     F_24                                     50.42                NOT USED  
2        F_16                                     F_17                                     29.11                NOT USED  
3        F_16                                     H_Pavia_8_origin_7                       30.62                NOT USED  
5        F_16                                     F_23                                     41.22                NOT USED  
6        F_19                                     F_12                                     41.22                NOT USED  
8        F_19                                     F_25                                     50.42                NOT USED  
9        F_19                                     H_Cremona_2_origin_1                     42.61                NOT USED  
10       F_19                                     F_18                                     29.11                NOT USED  
11       F_19                                     F_26                                     41.22                NOT USED  
12       F_19                                     H_Cremona_2_dest_7                       42.61                NOT USED  
13       F_19                                     HUB_1                                    33.04                NOT USED  
14       F_19                                     F_13                                     50.49                NOT USED  
15       F_19                                     F_11                                     50.49                NOT USED  
16       F_12                                     F_19                                     41.22                NOT USED  
17       F_12                                     H_Parma_2_dest_2                         17.96                NOT USED  
18       F_12                                     H_Parma_3_origin_6                       47.65                NOT USED  
20       F_12                                     H_Parma_1_origin_5                       38.36                NOT USED  
21       F_12                                     H_Piacenza_1_dest_3                      33.32                NOT USED  
22       F_12                                     H_Piacenza_1_dest_6                      33.32                NOT USED  
23       F_12                                     F_5                                      41.22                NOT USED  
24       F_12                                     H_Piacenza_1_dest_8                      33.32                NOT USED  
25       F_12                                     F_13                                     29.22                NOT USED  
26       F_12                                     F_11                                     29.22                NOT USED  
27       F_12                                     H_Parma_1_origin_10                      38.36                NOT USED  
28       H_Milano_3_origin_9                      F_31                                     48.65                NOT USED  
29       H_Milano_3_origin_9                      H_Milano_1_dest_5                        6.10                 NOT USED  
30       H_Milano_3_origin_9                      HUB_2                                    33.59                NOT USED  
32       H_Milano_3_origin_9                      H_Milano_2_origin_4                      3.73                 NOT USED  
33       H_Milano_3_origin_9                      F_23                                     39.77                NOT USED  
34       H_Milano_3_origin_9                      H_Milano_3_dest_1                        0.00                 NOT USED  
