NODES: 36
ARCS: 214

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_2_origin_3                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_9                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Milano_2_origin_10                     45.466862       9.172003        H_ORIGIN       
H_Pavia_10_origin_7                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_8                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_1                       45.066405       9.324603        H_ORIGIN       
H_Pavia_9_origin_2                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_6                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_4                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_10                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_5                       45.695518       9.659230        H_DESTINATION  
H_Milano_1_dest_7                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_4                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_1                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_6                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_8                         44.717104       10.229990       H_DESTINATION  
H_Pavia_5_dest_2                         45.066405       9.324603        H_DESTINATION  
H_Piacenza_1_dest_3                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_9                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        H_Milano_2_origin_10                     F_31                                     45.23                USED      
7        F_19                                     F_12                                     41.22                USED      
19       F_10                                     H_Piacenza_2_origin_4                    39.97                USED      
22       F_10                                     F_11                                     29.22                USED      
26       F_12                                     H_Parma_1_dest_1                         38.36                USED      
34       F_12                                     H_Parma_3_dest_8                         47.65                USED      
35       F_12                                     H_Piacenza_1_dest_9                      33.32                USED      
39       F_31                                     H_Bergamo_2_origin_3                     41.54                USED      
41       F_31                                     H_Bergamo_2_dest_10                      41.54                USED      
48       F_25                                     F_18                                     41.22                USED      
54       H_Pavia_1_origin_8                       F_10                                     44.69                USED      
66       H_Bergamo_2_origin_3                     F_32                                     37.11                USED      
71       H_Pavia_9_origin_2                       H_Pavia_5_dest_2                         33.42                USED      
74       HUB_2                                    F_31                                     21.41                USED      
88       HUB_2                                    F_32                                     46.89                USED      
91       H_Bergamo_4_origin_9                     F_33                                     26.20                USED      
96       F_18                                     F_12                                     50.49                USED      
102      F_18                                     F_11                                     41.22                USED      
107      H_Pavia_5_origin_1                       F_17                                     24.44                USED      
113      H_Pavia_10_origin_7                      F_22                                     22.43                USED      
118      F_33                                     F_26                                     41.22                USED      
126      F_22                                     H_Milano_1_dest_7                        41.99                USED      
127      F_26                                     F_19                                     41.22                USED      
132      F_26                                     F_32                                     50.36                USED      
136      F_17                                     F_18                                     29.11                USED      
141      F_17                                     F_23                                     50.42                USED      
146      H_Piacenza_2_origin_4                    F_17                                     48.55                USED      
156      H_Piacenza_1_origin_6                    F_5                                      24.56                USED      
161      F_5                                      H_Parma_3_dest_6                         42.12                USED      
168      HUB_3                                    F_10                                     19.37                USED      
182      H_Cremona_1_origin_5                     F_26                                     29.32                USED      
185      F_11                                     F_12                                     29.22                USED      
188      F_11                                     H_Piacenza_1_dest_3                      28.38                USED      
196      F_23                                     H_Milano_3_dest_4                        39.77                USED      
207      F_32                                     F_25                                     41.22                USED      
210      F_32                                     H_Bergamo_4_origin_9                     31.81                USED      
214      F_32                                     H_Bergamo_2_dest_5                       37.11                USED      
2        H_Milano_2_origin_10                     H_Milano_3_dest_4                        3.73                 NOT USED  
3        H_Milano_2_origin_10                     HUB_2                                    29.86                NOT USED  
4        H_Milano_2_origin_10                     F_22                                     36.27                NOT USED  
5        H_Milano_2_origin_10                     F_23                                     37.28                NOT USED  
6        H_Milano_2_origin_10                     H_Milano_1_dest_7                        6.31                 NOT USED  
8        F_19                                     F_25                                     50.42                NOT USED  
9        F_19                                     F_18                                     29.11                NOT USED  
10       F_19                                     F_26                                     41.22                NOT USED  
11       F_19                                     H_Piacenza_2_origin_4                    35.98                NOT USED  
12       F_19                                     H_Cremona_1_origin_5                     16.94                NOT USED  
13       F_19                                     F_11                                     50.49                NOT USED  
14       F_10                                     H_Pavia_1_origin_8                       44.69                NOT USED  
15       F_10                                     F_18                                     50.49                NOT USED  
16       F_10                                     H_Pavia_5_origin_1                       46.78                NOT USED  
17       F_10                                     F_17                                     41.22                NOT USED  
18       F_10                                     H_Piacenza_1_dest_3                      47.03                NOT USED  
20       F_10                                     H_Piacenza_1_origin_6                    47.03                NOT USED  
21       F_10                                     HUB_3                                    19.37                NOT USED  
23       F_10                                     H_Pavia_5_dest_2                         46.78                NOT USED  
24       F_10                                     H_Piacenza_1_dest_9                      47.03                NOT USED  
25       F_12                                     F_19                                     41.22                NOT USED  
27       F_12                                     F_18                                     50.49                NOT USED  
28       F_12                                     H_Parma_3_dest_6                         47.65                NOT USED  
29       F_12                                     H_Piacenza_1_dest_3                      33.32                NOT USED  
30       F_12                                     H_Piacenza_2_origin_4                    23.05                NOT USED  
31       F_12                                     H_Piacenza_1_origin_6                    33.32                NOT USED  
32       F_12                                     F_5                                      41.22                NOT USED  
33       F_12                                     F_11                                     29.22                NOT USED  
36       F_31                                     H_Milano_2_origin_10                     45.23                NOT USED  
37       F_31                                     F_25                                     50.36                NOT USED  
38       F_31                                     H_Milano_3_dest_4                        48.65                NOT USED  
40       F_31                                     HUB_2                                    21.41                NOT USED  
42       F_31                                     H_Bergamo_2_dest_5                       41.54                NOT USED  
43       F_31                                     F_23                                     50.36                NOT USED  
44       F_31                                     H_Milano_1_dest_7                        45.24                NOT USED  
45       F_31                                     F_32                                     28.89                NOT USED  
46       F_25                                     F_19                                     50.42                NOT USED  
47       F_25                                     F_31                                     50.36                NOT USED  
49       F_25                                     F_33                                     50.36                NOT USED  
50       F_25                                     F_26                                     29.00                NOT USED  
51       F_25                                     F_17                                     50.42                NOT USED  
52       F_25                                     H_Cremona_1_origin_5                     47.78                NOT USED  
53       F_25                                     F_32                                     41.22                NOT USED  
55       H_Pavia_1_origin_8                       H_Pavia_9_origin_2                       35.34                NOT USED  
56       H_Pavia_1_origin_8                       H_Pavia_5_origin_1                       8.42                 NOT USED  
57       H_Pavia_1_origin_8                       H_Pavia_10_origin_7                      34.45                NOT USED  
58       H_Pavia_1_origin_8                       F_17                                     30.74                NOT USED  
59       H_Pavia_1_origin_8                       HUB_3                                    46.64                NOT USED  
60       H_Pavia_1_origin_8                       H_Pavia_5_dest_2                         8.42                 NOT USED  
61       H_Pavia_1_origin_8                       F_23                                     49.10                NOT USED  
62       H_Bergamo_2_origin_3                     F_31                                     41.54                NOT USED  
63       H_Bergamo_2_origin_3                     H_Bergamo_4_origin_9                     30.63                NOT USED  
64       H_Bergamo_2_origin_3                     H_Bergamo_2_dest_10                      0.00                 NOT USED  
65       H_Bergamo_2_origin_3                     H_Bergamo_2_dest_5                       0.00                 NOT USED  
