NODES: 31
ARCS: 169

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_8                     45.687747       9.675601        H_ORIGIN       
H_Cremona_2_origin_9                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_4                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_1                      45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_6                      45.466862       9.172003        H_ORIGIN       
H_Parma_2_origin_3                       44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Pavia_8_origin_10                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_5                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_2_origin_2                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_8                       45.792479       9.659418        H_DESTINATION  
H_Cremona_1_dest_1                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_6                        45.499807       9.167334        H_DESTINATION  
H_Parma_2_dest_2                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_5                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
H_Pavia_5_dest_10                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_9                         45.194742       9.140386        H_DESTINATION  
H_Piacenza_2_dest_7                      44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
5        F_16                                     F_17                                     29.11                USED      
11       F_19                                     H_Piacenza_2_origin_2                    35.98                USED      
20       F_31                                     F_25                                     50.36                USED      
22       F_31                                     H_Bergamo_1_origin_8                     41.41                USED      
24       F_31                                     H_Bergamo_1_dest_4                       41.41                USED      
33       F_25                                     H_Cremona_1_dest_1                       47.78                USED      
44       F_24                                     F_23                                     29.00                USED      
47       H_Bergamo_1_origin_8                     H_Bergamo_3_dest_8                       20.08                USED      
48       HUB_2                                    F_31                                     21.41                USED      
58       HUB_2                                    H_Milano_1_origin_4                      32.51                USED      
59       HUB_2                                    H_Milano_2_origin_6                      29.86                USED      
60       HUB_2                                    F_23                                     29.74                USED      
63       H_Piacenza_2_origin_2                    H_Parma_2_dest_2                         39.70                USED      
73       H_Pavia_8_origin_10                      H_Pavia_5_dest_10                        34.82                USED      
75       H_Pavia_8_origin_5                       F_16                                     30.62                USED      
83       F_26                                     H_Cremona_2_origin_9                     11.04                USED      
90       F_17                                     F_11                                     50.49                USED      
95       H_Cremona_2_origin_9                     F_24                                     46.96                USED      
98       HUB_1                                    F_19                                     33.04                USED      
105      HUB_1                                    F_26                                     46.36                USED      
107      HUB_1                                    H_Parma_2_origin_7                       51.05                USED      
108      HUB_1                                    H_Parma_2_origin_3                       51.05                USED      
117      H_Parma_2_origin_7                       H_Piacenza_2_dest_7                      39.70                USED      
130      H_Parma_2_origin_3                       H_Parma_3_dest_3                         34.21                USED      
138      F_11                                     H_Parma_2_dest_5                         47.18                USED      
139      H_Milano_1_origin_4                      F_31                                     45.24                USED      
147      H_Milano_2_origin_6                      H_Milano_1_dest_6                        6.31                 USED      
155      F_23                                     H_Pavia_8_dest_9                         26.99                USED      
157      F_23                                     H_Pavia_8_origin_5                       26.99                USED      
164      H_Milano_2_origin_1                      F_31                                     45.23                USED      
1        F_16                                     F_24                                     50.42                NOT USED  
2        F_16                                     H_Pavia_8_dest_9                         30.62                NOT USED  
3        F_16                                     H_Pavia_8_origin_10                      30.62                NOT USED  
