NODES: 31
ARCS: 163

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_1                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_8                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_10                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Parma_1_origin_7                       44.694109       10.104399       H_ORIGIN       
H_Pavia_8_origin_6                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_3                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_9                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_2                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_10                      45.695518       9.659230        H_DESTINATION  
H_Cremona_1_dest_6                       45.145060       10.012796       H_DESTINATION  
H_Milano_2_dest_3                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_8                        45.466862       9.172003        H_DESTINATION  
H_Pavia_10_dest_2                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_9                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_5                         45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_7                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_4                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_1                         45.190881       9.149624        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_16                                     H_Pavia_10_dest_9                        28.58                USED      
6        F_16                                     F_17                                     29.11                USED      
8        F_16                                     H_Pavia_10_dest_2                        28.58                USED      
12       F_10                                     F_16                                     50.49                USED      
13       F_10                                     H_Pavia_1_dest_7                         44.69                USED      
14       F_10                                     H_Piacenza_1_origin_9                    47.03                USED      
17       F_10                                     H_Piacenza_2_origin_2                    39.97                USED      
27       F_12                                     F_11                                     29.22                USED      
33       F_31                                     F_23                                     50.36                USED      
34       F_31                                     H_Milano_2_dest_8                        45.23                USED      
36       F_31                                     H_Bergamo_1_origin_1                     41.41                USED      
37       H_Bergamo_2_origin_8                     F_31                                     41.54                USED      
43       F_24                                     H_Pavia_5_dest_4                         49.03                USED      
50       H_Piacenza_1_origin_9                    F_10                                     47.03                USED      
56       HUB_2                                    F_31                                     21.41                USED      
71       H_Parma_1_origin_7                       F_12                                     38.36                USED      
78       F_18                                     F_17                                     29.11                USED      
82       F_18                                     H_Cremona_1_dest_6                       41.43                USED      
87       H_Piacenza_2_origin_2                    F_17                                     48.55                USED      
90       F_17                                     F_16                                     29.11                USED      
95       F_17                                     F_18                                     29.11                USED      
97       F_17                                     H_Pavia_1_dest_5                         30.74                USED      
99       F_17                                     F_23                                     50.42                USED      
100      HUB_3                                    F_10                                     19.37                USED      
114      H_Cremona_1_origin_5                     F_18                                     41.43                USED      
117      F_11                                     F_10                                     29.22                USED      
122      F_11                                     F_17                                     50.49                USED      
125      H_Cremona_2_origin_4                     F_24                                     46.96                USED      
140      F_23                                     H_Milano_2_dest_3                        37.28                USED      
142      F_23                                     H_Pavia_9_dest_1                         26.60                USED      
148      H_Piacenza_1_origin_3                    F_11                                     28.38                USED      
149      H_Bergamo_1_origin_1                     F_31                                     41.41                USED      
154      H_Bergamo_4_origin_10                    H_Bergamo_2_dest_10                      30.63                USED      
156      H_Pavia_8_origin_6                       F_16                                     30.62                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_1_dest_7                         7.90                 NOT USED  
4        F_16                                     F_24                                     50.42                NOT USED  
5        F_16                                     H_Pavia_5_dest_4                         4.89                 NOT USED  
7        F_16                                     H_Pavia_1_dest_5                         7.90                 NOT USED  
9        F_16                                     F_23                                     41.22                NOT USED  
10       F_16                                     H_Pavia_8_origin_6                       30.62                NOT USED  
