NODES: 35
ARCS: 234

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_8                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_10                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_1                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_6                     45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_9                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_3                     45.289308       9.855996        H_ORIGIN       
H_Piacenza_1_origin_2                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_4                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_7                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_2                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_3                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_7                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_8                       45.792479       9.659418        H_DESTINATION  
H_Milano_2_dest_5                        45.466862       9.172003        H_DESTINATION  
H_Parma_3_dest_4                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_9                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_10                        45.066405       9.324603        H_DESTINATION  
H_Piacenza_1_dest_6                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_1                      44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     H_Pavia_10_dest_9                        28.58                USED      
5        F_19                                     F_12                                     41.22                USED      
7        F_19                                     H_Piacenza_2_dest_1                      35.98                USED      
9        F_19                                     H_Piacenza_2_origin_7                    35.98                USED      
22       F_12                                     H_Parma_3_dest_4                         47.65                USED      
25       F_12                                     H_Piacenza_1_dest_6                      33.32                USED      
27       F_31                                     H_Bergamo_2_origin_8                     41.54                USED      
29       F_31                                     F_24                                     41.22                USED      
33       F_31                                     H_Milano_2_dest_5                        45.23                USED      
45       H_Bergamo_2_origin_8                     H_Bergamo_3_dest_8                       18.48                USED      
47       F_25                                     F_31                                     50.36                USED      
56       F_25                                     F_32                                     41.22                USED      
65       F_24                                     H_Pavia_5_dest_10                        49.03                USED      
69       H_Cremona_1_origin_9                     F_18                                     41.43                USED      
75       HUB_2                                    F_31                                     21.41                USED      
87       HUB_2                                    F_32                                     46.89                USED      
92       H_Piacenza_2_origin_7                    F_18                                     31.25                USED      
100      F_18                                     F_25                                     41.22                USED      
106      F_18                                     F_17                                     29.11                USED      
114      H_Bergamo_4_origin_1                     F_33                                     26.20                USED      
123      F_33                                     F_26                                     41.22                USED      
126      F_26                                     F_19                                     41.22                USED      
136      F_17                                     F_16                                     29.11                USED      
146      H_Piacenza_2_origin_4                    F_12                                     23.05                USED      
162      H_Cremona_2_origin_3                     F_32                                     45.00                USED      
164      HUB_1                                    F_19                                     33.04                USED      
174      HUB_1                                    H_Cremona_1_origin_5                     22.87                USED      
175      HUB_1                                    H_Cremona_1_origin_6                     22.87                USED      
181      H_Piacenza_1_origin_2                    F_11                                     28.38                USED      
187      H_Bergamo_3_origin_10                    F_38                                     24.44                USED      
190      H_Cremona_1_origin_5                     F_25                                     47.78                USED      
201      F_11                                     F_18                                     41.22                USED      
206      F_38                                     F_31                                     41.22                USED      
218      F_32                                     H_Bergamo_1_dest_2                       35.22                USED      
220      F_32                                     H_Bergamo_4_origin_1                     31.81                USED      
223      F_32                                     H_Bergamo_2_dest_3                       37.11                USED      
224      F_32                                     H_Bergamo_2_dest_7                       37.11                USED      
227      H_Cremona_1_origin_6                     F_19                                     16.94                USED      
2        F_16                                     F_24                                     50.42                NOT USED  
