NODES: 44
ARCS: 324

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_15                    45.687747       9.675601        H_ORIGIN       
H_Cremona_2_origin_12                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_9                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_4                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_8                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_11                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_3                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_5                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_6                       44.694109       10.104399       H_ORIGIN       
H_Pavia_10_origin_1                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_2                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_14                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_7                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_13                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_10                      45.190881       9.149624        H_ORIGIN       
H_Bergamo_4_dest_10                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_13                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_5                       45.635359       9.872452        H_DESTINATION  
H_Milano_3_dest_15                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_9                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_2                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_1                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_11                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_6                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_7                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_14                       45.183361       9.145183        H_DESTINATION  
H_Pavia_8_dest_4                         45.194742       9.140386        H_DESTINATION  
H_Piacenza_2_dest_12                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_3                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
10       H_Pavia_8_origin_13                      F_23                                     26.99                USED      
17       F_16                                     F_17                                     29.11                USED      
31       F_10                                     F_11                                     29.22                USED      
33       F_12                                     H_Parma_1_dest_8                         38.36                USED      
36       F_12                                     H_Parma_3_dest_1                         47.65                USED      
39       F_12                                     H_Parma_3_dest_11                        47.65                USED      
41       F_12                                     H_Parma_3_dest_7                         47.65                USED      
44       F_31                                     H_Milano_3_dest_15                       48.65                USED      
56       F_31                                     F_32                                     28.89                USED      
60       F_24                                     F_18                                     50.42                USED      
63       F_24                                     H_Cremona_2_origin_9                     46.96                USED      
65       F_24                                     F_23                                     29.00                USED      
67       F_24                                     F_32                                     50.36                USED      
69       H_Pavia_10_origin_2                      F_16                                     28.58                USED      
81       HUB_2                                    F_24                                     30.90                USED      
87       HUB_2                                    H_Milano_2_origin_11                     29.86                USED      
88       HUB_2                                    H_Milano_3_origin_5                      33.59                USED      
92       HUB_2                                    H_Milano_2_origin_3                      29.86                USED      
95       HUB_2                                    H_Milano_1_origin_4                      32.51                USED      
98       HUB_2                                    H_Milano_1_origin_8                      32.51                USED      
102      F_18                                     F_12                                     50.49                USED      
109      F_18                                     H_Piacenza_2_dest_12                     31.25                USED      
112      F_30                                     F_24                                     50.36                USED      
131      H_Pavia_1_origin_14                      H_Pavia_10_dest_14                       34.45                USED      
143      F_22                                     H_Pavia_8_dest_4                         20.20                USED      
160      H_Milano_2_origin_11                     F_23                                     37.28                USED      
165      F_17                                     F_18                                     29.11                USED      
166      F_17                                     H_Piacenza_2_dest_3                      48.55                USED      
169      F_17                                     F_11                                     50.49                USED      
173      H_Milano_3_origin_5                      F_31                                     48.65                USED      
183      H_Cremona_2_origin_9                     F_24                                     46.96                USED      
189      H_Pavia_1_origin_7                       F_10                                     44.69                USED      
200      H_Pavia_10_origin_1                      F_16                                     28.58                USED      
218      H_Milano_2_origin_3                      F_23                                     37.28                USED      
223      HUB_3                                    H_Pavia_1_origin_14                      46.64                USED      
238      F_11                                     F_12                                     29.22                USED      
239      F_11                                     H_Parma_2_dest_2                         47.18                USED      
247      H_Pavia_9_origin_10                      F_24                                     51.39                USED      
257      H_Bergamo_1_origin_15                    F_31                                     41.41                USED      
266      H_Milano_1_origin_4                      F_22                                     41.99                USED      
275      F_23                                     F_31                                     50.36                USED      
276      F_23                                     F_24                                     29.00                USED      
279      F_23                                     H_Milano_3_dest_9                        39.77                USED      
284      F_23                                     F_17                                     50.42                USED      
298      H_Parma_1_origin_6                       H_Parma_3_dest_6                         17.57                USED      
305      H_Milano_1_origin_8                      F_30                                     16.38                USED      
313      H_Cremona_2_origin_12                    F_18                                     44.92                USED      
316      F_32                                     H_Bergamo_4_dest_10                      31.81                USED      
319      F_32                                     H_Bergamo_4_dest_5                       31.81                USED      
324      F_32                                     H_Bergamo_4_dest_13                      31.81                USED      
