NODES: 49
ARCS: 370

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_12                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_5                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_3                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_6                     45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_2                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Milano_3_origin_13                     45.471898       9.145035        H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_4                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_10                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_11                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_1                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_14                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_7                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_6                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_15                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_5                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_9                       45.792479       9.659418        H_DESTINATION  
H_Cremona_2_dest_14                      45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_7                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_11                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_3                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_1                         44.856799       10.071196       H_DESTINATION  
H_Pavia_1_dest_13                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_2                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_4                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_10                        45.190881       9.149624        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
8        F_16                                     F_17                                     29.11                USED      
13       F_19                                     F_12                                     41.22                USED      
20       F_19                                     H_Piacenza_2_origin_9                    35.98                USED      
26       F_12                                     H_Parma_1_dest_3                         38.36                USED      
28       F_12                                     F_18                                     50.49                USED      
38       H_Bergamo_3_origin_3                     F_39                                     15.80                USED      
51       H_Cremona_2_origin_15                    F_32                                     45.00                USED      
56       H_Pavia_5_origin_10                      H_Pavia_9_dest_10                        33.42                USED      
63       H_Parma_3_origin_8                       F_12                                     47.65                USED      
72       F_31                                     H_Milano_2_dest_12                       45.23                USED      
79       F_31                                     H_Bergamo_1_origin_12                    41.41                USED      
93       F_25                                     F_32                                     41.22                USED      
103      F_24                                     F_30                                     50.36                USED      
110      H_Bergamo_2_origin_5                     H_Bergamo_3_dest_5                       18.48                USED      
123      HUB_2                                    F_31                                     21.41                USED      
129      HUB_2                                    H_Milano_3_origin_13                     33.59                USED      
136      HUB_2                                    F_23                                     29.74                USED      
147      F_18                                     F_25                                     41.22                USED      
148      F_18                                     F_24                                     50.42                USED      
150      F_18                                     F_17                                     29.11                USED      
153      F_18                                     H_Cremona_2_dest_14                      44.92                USED      
159      H_Pavia_8_origin_11                      F_22                                     20.20                USED      
174      F_30                                     H_Milano_1_dest_8                        16.38                USED      
180      H_Milano_3_origin_13                     F_23                                     39.77                USED      
186      F_33                                     F_26                                     41.22                USED      
192      F_26                                     F_19                                     41.22                USED      
210      F_22                                     H_Milano_3_dest_11                       36.04                USED      
221      F_17                                     F_11                                     50.49                USED      
222      F_17                                     H_Pavia_1_dest_2                         30.74                USED      
223      F_17                                     F_23                                     50.42                USED      
227      F_39                                     H_Bergamo_3_dest_9                       15.80                USED      
230      F_39                                     F_33                                     50.30                USED      
239      H_Cremona_1_origin_2                     F_18                                     41.43                USED      
245      H_Piacenza_2_origin_9                    F_18                                     31.25                USED      
258      H_Bergamo_3_origin_6                     H_Bergamo_1_dest_6                       20.08                USED      
265      H_Piacenza_1_origin_7                    F_11                                     28.38                USED      
266      HUB_1                                    F_19                                     33.04                USED      
281      HUB_1                                    F_13                                     49.04                USED      
290      H_Piacenza_1_origin_14                   F_11                                     28.38                USED      
294      F_13                                     H_Parma_3_origin_8                       28.59                USED      
300      F_11                                     F_18                                     41.22                USED      
301      F_11                                     F_17                                     50.49                USED      
302      F_11                                     H_Parma_2_dest_1                         47.18                USED      
307      F_23                                     H_Pavia_5_origin_10                      42.81                USED      
318      F_23                                     H_Pavia_1_dest_13                        49.10                USED      
321      F_23                                     H_Milano_1_dest_7                        43.28                USED      
329      H_Bergamo_1_origin_12                    F_31                                     41.41                USED      
345      F_32                                     F_39                                     41.22                USED      
346      F_32                                     H_Bergamo_2_dest_15                      37.11                USED      
352      H_Pavia_1_origin_4                       H_Pavia_5_dest_4                         8.42                 USED      
360      H_Pavia_9_origin_1                       F_16                                     29.26                USED      
1        F_16                                     H_Pavia_5_origin_10                      4.89                 NOT USED  
2        F_16                                     F_24                                     50.42                NOT USED  
3        F_16                                     H_Pavia_5_dest_4                         4.89                 NOT USED  
4        F_16                                     H_Pavia_8_origin_11                      30.62                NOT USED  
5        F_16                                     H_Pavia_9_dest_10                        29.26                NOT USED  
6        F_16                                     F_22                                     50.42                NOT USED  
7        F_16                                     H_Pavia_1_dest_13                        7.90                 NOT USED  
9        F_16                                     H_Pavia_1_dest_2                         7.90                 NOT USED  
10       F_16                                     F_23                                     41.22                NOT USED  
11       F_16                                     H_Pavia_1_origin_4                       7.90                 NOT USED  
12       F_16                                     H_Pavia_9_origin_1                       29.26                NOT USED  
14       F_19                                     H_Cremona_2_origin_15                    42.61                NOT USED  
15       F_19                                     F_25                                     50.42                NOT USED  
16       F_19                                     F_18                                     29.11                NOT USED  
17       F_19                                     F_26                                     41.22                NOT USED  
18       F_19                                     H_Cremona_1_origin_2                     16.94                NOT USED  
19       F_19                                     H_Parma_2_dest_1                         45.01                NOT USED  
