NODES: 50
ARCS: 362

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_3_origin_10                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_7                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_3                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_14                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_8                      45.499807       9.167334        H_ORIGIN       
H_Milano_3_origin_15                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_13                      44.694109       10.104399       H_ORIGIN       
H_Pavia_9_origin_1                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_12                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_2                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_6                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_2                       45.687747       9.675601        H_DESTINATION  
H_Cremona_2_dest_8                       45.289308       9.855996        H_DESTINATION  
H_Milano_2_dest_7                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_11                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_3                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_9                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_5                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_6                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_14                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_4                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_12                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_13                        45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_1                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_27                                     45.289630       10.154504       FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     F_10                                     50.49                USED      
8        F_16                                     H_Pavia_8_dest_13                        30.62                USED      
14       F_10                                     H_Piacenza_2_origin_6                    39.97                USED      
19       F_10                                     H_Piacenza_1_origin_2                    47.03                USED      
23       F_10                                     H_Piacenza_1_dest_1                      47.03                USED      
27       F_12                                     F_18                                     50.49                USED      
29       F_12                                     H_Parma_3_dest_6                         47.65                USED      
37       H_Piacenza_2_origin_6                    F_12                                     23.05                USED      
50       H_Bergamo_4_origin_11                    F_32                                     31.81                USED      
52       F_31                                     F_25                                     50.36                USED      
58       F_31                                     H_Milano_2_dest_7                        45.23                USED      
64       F_31                                     H_Milano_3_dest_11                       48.65                USED      
72       H_Milano_3_origin_15                     F_23                                     39.77                USED      
83       F_25                                     F_32                                     41.22                USED      
84       F_25                                     H_Cremona_2_dest_8                       17.96                USED      
96       F_24                                     F_23                                     29.00                USED      
103      H_Milano_1_origin_14                     F_22                                     41.99                USED      
113      H_Bergamo_4_origin_7                     F_32                                     31.81                USED      
117      F_18                                     F_25                                     41.22                USED      
119      F_18                                     F_17                                     29.11                USED      
130      F_20                                     F_13                                     41.22                USED      
136      F_30                                     H_Milano_3_dest_10                       20.38                USED      
144      F_33                                     H_Bergamo_4_origin_11                    26.20                USED      
162      F_22                                     H_Pavia_10_dest_14                       22.43                USED      
168      F_17                                     F_16                                     29.11                USED      
182      H_Piacenza_2_origin_9                    H_Parma_2_dest_9                         39.70                USED      
189      H_Pavia_9_origin_1                       F_16                                     29.26                USED      
200      H_Cremona_2_origin_3                     F_24                                     46.96                USED      
220      HUB_1                                    H_Cremona_1_origin_5                     22.87                USED      
226      HUB_1                                    F_27                                     33.62                USED      
232      H_Piacenza_1_origin_2                    F_11                                     28.38                USED      
235      HUB_3                                    F_10                                     19.37                USED      
256      H_Bergamo_3_origin_10                    F_38                                     24.44                USED      
259      H_Cremona_1_origin_5                     F_20                                     23.45                USED      
267      F_13                                     H_Parma_3_dest_5                         28.59                USED      
278      F_11                                     F_18                                     41.22                USED      
285      H_Cremona_2_origin_4                     F_24                                     46.96                USED      
293      H_Parma_1_origin_13                      F_12                                     38.36                USED      
305      H_Pavia_9_origin_12                      H_Pavia_5_dest_12                        33.42                USED      
315      F_23                                     H_Pavia_10_dest_4                        28.04                USED      
325      F_23                                     H_Milano_3_dest_3                        39.77                USED      
328      F_23                                     H_Pavia_1_dest_15                        49.10                USED      
332      F_38                                     F_30                                     50.30                USED      
335      H_Milano_1_origin_8                      F_31                                     45.24                USED      
346      F_32                                     F_31                                     28.89                USED      
349      F_32                                     H_Bergamo_1_dest_2                       35.22                USED      
357      F_27                                     F_33                                     50.36                USED      
2        F_16                                     F_24                                     50.42                NOT USED  
3        F_16                                     H_Pavia_10_dest_4                        28.58                NOT USED  
4        F_16                                     F_22                                     50.42                NOT USED  
5        F_16                                     F_17                                     29.11                NOT USED  
6        F_16                                     H_Pavia_9_origin_1                       29.26                NOT USED  
7        F_16                                     H_Pavia_5_dest_12                        4.89                 NOT USED  
9        F_16                                     H_Pavia_10_dest_14                       28.58                NOT USED  
