NODES: 48
ARCS: 366

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_11                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_2                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_7                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_14                    45.635359       9.872452        H_ORIGIN       
H_Milano_2_origin_13                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_9                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_8                      45.471898       9.145035        H_ORIGIN       
H_Parma_2_origin_3                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_6                      45.183361       9.145183        H_ORIGIN       
H_Pavia_5_origin_1                       45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_5                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_12                      45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_4                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_10                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_15                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_10                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_8                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_13                      45.792479       9.659418        H_DESTINATION  
H_Milano_1_dest_2                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_3                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_4                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_9                         44.694109       10.104399       H_DESTINATION  
H_Pavia_10_dest_1                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_11                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_5                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_12                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_9_dest_6                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_7                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_14                     44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_19                                     H_Piacenza_2_dest_14                     35.98                USED      
4        F_19                                     H_Piacenza_2_origin_10                   35.98                USED      
15       F_12                                     F_18                                     50.49                USED      
17       F_12                                     H_Piacenza_1_origin_4                    33.32                USED      
18       F_12                                     H_Parma_1_dest_9                         38.36                USED      
27       F_31                                     H_Bergamo_1_dest_8                       41.41                USED      
29       F_31                                     H_Milano_1_dest_2                        45.24                USED      
37       F_31                                     F_23                                     50.36                USED      
44       F_25                                     F_18                                     41.22                USED      
48       F_25                                     F_32                                     41.22                USED      
52       F_24                                     F_18                                     50.42                USED      
54       F_24                                     F_30                                     50.36                USED      
64       H_Pavia_10_origin_6                      H_Pavia_9_dest_6                         1.55                 USED      
73       H_Piacenza_2_origin_10                   F_18                                     31.25                USED      
88       HUB_2                                    H_Milano_2_origin_9                      29.86                USED      
92       HUB_2                                    H_Milano_3_origin_8                      33.59                USED      
100      HUB_2                                    F_23                                     29.74                USED      
102      HUB_2                                    F_32                                     46.89                USED      
104      F_18                                     F_12                                     50.49                USED      
105      F_18                                     F_25                                     41.22                USED      
106      F_18                                     F_24                                     50.42                USED      
112      F_18                                     F_11                                     41.22                USED      
114      F_20                                     F_12                                     50.49                USED      
127      H_Pavia_5_origin_1                       H_Pavia_10_dest_1                        32.85                USED      
139      F_30                                     F_38                                     50.30                USED      
140      F_30                                     H_Milano_1_dest_3                        16.38                USED      
148      H_Milano_2_origin_9                      F_23                                     37.28                USED      
156      H_Pavia_8_origin_12                      H_Pavia_1_dest_12                        36.62                USED      
164      H_Milano_2_origin_13                     F_30                                     17.39                USED      
172      F_33                                     F_26                                     41.22                USED      
177      F_26                                     F_19                                     41.22                USED      
193      F_17                                     F_23                                     50.42                USED      
195      F_17                                     H_Pavia_1_dest_15                        30.74                USED      
206      F_39                                     F_32                                     41.22                USED      
213      H_Piacenza_1_origin_4                    F_11                                     28.38                USED      
215      H_Milano_3_origin_8                      F_31                                     48.65                USED      
227      H_Bergamo_4_origin_14                    F_33                                     26.20                USED      
244      H_Pavia_5_origin_5                       H_Pavia_10_dest_5                        32.85                USED      
245      HUB_1                                    F_19                                     33.04                USED      
248      HUB_1                                    F_20                                     8.30                 USED      
261      HUB_1                                    H_Parma_2_origin_3                       51.05                USED      
263      H_Bergamo_1_origin_11                    F_31                                     41.41                USED      
277      H_Bergamo_3_origin_7                     F_39                                     15.80                USED      
287      H_Piacenza_2_origin_15                   F_17                                     48.55                USED      
297      F_11                                     F_17                                     50.49                USED      
299      F_11                                     H_Piacenza_1_dest_7                      28.38                USED      
303      H_Parma_2_origin_3                       F_12                                     17.96                USED      
313      H_Bergamo_2_origin_2                     F_31                                     41.54                USED      
324      F_23                                     F_24                                     29.00                USED      
325      F_23                                     H_Milano_2_dest_4                        37.28                USED      
326      F_23                                     H_Pavia_10_origin_6                      28.04                USED      
332      F_23                                     H_Pavia_10_dest_11                       28.04                USED      
333      F_23                                     H_Pavia_8_origin_12                      26.99                USED      
337      F_23                                     H_Pavia_5_origin_5                       42.81                USED      
348      F_38                                     H_Bergamo_3_dest_13                      24.44                USED      
355      F_32                                     F_25                                     41.22                USED      
359      F_32                                     H_Bergamo_1_dest_10                      35.22                USED      
363      F_32                                     H_Bergamo_4_origin_14                    31.81                USED      
1        F_19                                     F_12                                     41.22                NOT USED  
2        F_19                                     F_25                                     50.42                NOT USED  
5        F_19                                     F_18                                     29.11                NOT USED  
6        F_19                                     F_20                                     29.11                NOT USED  
7        F_19                                     F_26                                     41.22                NOT USED  
8        F_19                                     HUB_1                                    33.04                NOT USED  
9        F_19                                     H_Piacenza_2_origin_15                   35.98                NOT USED  
10       F_19                                     F_11                                     50.49                NOT USED  
11       F_19                                     H_Parma_2_origin_3                       45.01                NOT USED  
12       F_12                                     F_19                                     41.22                NOT USED  
13       F_12                                     H_Piacenza_2_dest_14                     23.05                NOT USED  
14       F_12                                     H_Piacenza_2_origin_10                   23.05                NOT USED  
16       F_12                                     F_20                                     50.49                NOT USED  
19       F_12                                     H_Piacenza_1_dest_7                      33.32                NOT USED  
20       F_12                                     H_Piacenza_2_origin_15                   23.05                NOT USED  
21       F_12                                     F_11                                     29.22                NOT USED  
22       F_12                                     H_Parma_2_origin_3                       17.96                NOT USED  
23       F_31                                     F_25                                     50.36                NOT USED  
24       F_31                                     F_24                                     41.22                NOT USED  
25       F_31                                     H_Milano_2_dest_4                        45.23                NOT USED  
26       F_31                                     HUB_2                                    21.41                NOT USED  
28       F_31                                     H_Bergamo_1_dest_10                      41.41                NOT USED  
30       F_31                                     F_30                                     28.89                NOT USED  
31       F_31                                     H_Milano_2_origin_9                      45.23                NOT USED  
32       F_31                                     H_Milano_2_origin_13                     45.23                NOT USED  
33       F_31                                     F_39                                     50.30                NOT USED  
34       F_31                                     H_Milano_3_origin_8                      48.65                NOT USED  
35       F_31                                     H_Bergamo_1_origin_11                    41.41                NOT USED  
36       F_31                                     H_Bergamo_2_origin_2                     41.54                NOT USED  
38       F_31                                     F_38                                     41.22                NOT USED  
39       F_31                                     H_Milano_1_dest_3                        45.24                NOT USED  
40       F_31                                     F_32                                     28.89                NOT USED  
41       F_25                                     F_19                                     50.42                NOT USED  
42       F_25                                     F_31                                     50.36                NOT USED  
43       F_25                                     F_24                                     29.00                NOT USED  
45       F_25                                     F_33                                     50.36                NOT USED  
46       F_25                                     F_26                                     29.00                NOT USED  
47       F_25                                     F_17                                     50.42                NOT USED  
49       F_24                                     F_31                                     41.22                NOT USED  
50       F_24                                     F_25                                     29.00                NOT USED  
51       F_24                                     HUB_2                                    30.90                NOT USED  
53       F_24                                     H_Pavia_5_origin_1                       49.03                NOT USED  
55       F_24                                     F_17                                     41.22                NOT USED  
56       F_24                                     H_Pavia_5_origin_5                       49.03                NOT USED  
57       F_24                                     H_Pavia_9_dest_6                         51.39                NOT USED  
58       F_24                                     F_23                                     29.00                NOT USED  
59       F_24                                     F_32                                     50.36                NOT USED  
60       H_Pavia_10_origin_6                      H_Pavia_5_origin_1                       32.85                NOT USED  
61       H_Pavia_10_origin_6                      H_Pavia_10_dest_11                       0.00                 NOT USED  
62       H_Pavia_10_origin_6                      H_Pavia_8_origin_12                      2.26                 NOT USED  
63       H_Pavia_10_origin_6                      H_Pavia_5_origin_5                       32.85                NOT USED  
65       H_Pavia_10_origin_6                      F_23                                     28.04                NOT USED  
66       H_Pavia_10_origin_6                      H_Pavia_1_dest_12                        34.45                NOT USED  
67       H_Pavia_10_origin_6                      H_Pavia_10_dest_1                        0.00                 NOT USED  
68       H_Pavia_10_origin_6                      H_Pavia_1_dest_15                        34.45                NOT USED  
69       H_Pavia_10_origin_6                      H_Pavia_10_dest_5                        0.00                 NOT USED  
70       H_Piacenza_2_origin_10                   F_19                                     35.98                NOT USED  
71       H_Piacenza_2_origin_10                   F_12                                     23.05                NOT USED  
72       H_Piacenza_2_origin_10                   H_Piacenza_2_dest_14                     0.00                 NOT USED  
74       H_Piacenza_2_origin_10                   F_17                                     48.55                NOT USED  
75       H_Piacenza_2_origin_10                   H_Piacenza_1_origin_4                    38.10                NOT USED  
76       H_Piacenza_2_origin_10                   H_Piacenza_1_dest_7                      38.10                NOT USED  
77       H_Piacenza_2_origin_10                   H_Piacenza_2_origin_15                   0.00                 NOT USED  
78       H_Piacenza_2_origin_10                   F_11                                     14.55                NOT USED  
79       H_Piacenza_2_origin_10                   H_Parma_2_origin_3                       39.70                NOT USED  
80       HUB_2                                    F_31                                     21.41                NOT USED  
81       HUB_2                                    F_24                                     30.90                NOT USED  
82       HUB_2                                    H_Milano_2_dest_4                        29.86                NOT USED  
83       HUB_2                                    H_Pavia_10_origin_6                      57.13                NOT USED  
84       HUB_2                                    H_Piacenza_2_origin_10                   111.59               NOT USED  
85       HUB_2                                    H_Pavia_5_origin_1                       69.70                NOT USED  
86       HUB_2                                    H_Milano_1_dest_2                        32.51                NOT USED  
87       HUB_2                                    F_30                                     19.71                NOT USED  
89       HUB_2                                    H_Pavia_8_origin_12                      55.74                NOT USED  
90       HUB_2                                    H_Milano_2_origin_13                     29.86                NOT USED  
91       HUB_2                                    H_Piacenza_1_origin_4                    146.25               NOT USED  
93       HUB_2                                    H_Bergamo_4_origin_14                    75.60                NOT USED  
94       HUB_2                                    H_Pavia_5_origin_5                       69.70                NOT USED  
95       HUB_2                                    H_Bergamo_1_origin_11                    62.40                NOT USED  
96       HUB_2                                    H_Bergamo_3_origin_7                     78.08                NOT USED  
97       HUB_2                                    H_Piacenza_2_origin_15                   111.59               NOT USED  
98       HUB_2                                    H_Parma_2_origin_3                       142.57               NOT USED  
99       HUB_2                                    H_Bergamo_2_origin_2                     62.28                NOT USED  
101      HUB_2                                    H_Milano_1_dest_3                        32.51                NOT USED  
103      F_18                                     F_19                                     29.11                NOT USED  
107      F_18                                     H_Piacenza_2_dest_14                     31.25                NOT USED  
108      F_18                                     H_Piacenza_2_origin_10                   31.25                NOT USED  
109      F_18                                     F_26                                     50.42                NOT USED  
110      F_18                                     F_17                                     29.11                NOT USED  
111      F_18                                     H_Piacenza_2_origin_15                   31.25                NOT USED  
113      F_20                                     F_19                                     29.11                NOT USED  
115      F_20                                     F_26                                     50.42                NOT USED  
116      F_20                                     HUB_1                                    8.30                 NOT USED  
117      F_20                                     H_Parma_2_origin_3                       42.79                NOT USED  
118      H_Pavia_5_origin_1                       F_24                                     49.03                NOT USED  
119      H_Pavia_5_origin_1                       H_Pavia_10_origin_6                      32.85                NOT USED  
120      H_Pavia_5_origin_1                       H_Pavia_10_dest_11                       32.85                NOT USED  
121      H_Pavia_5_origin_1                       H_Pavia_8_origin_12                      34.82                NOT USED  
122      H_Pavia_5_origin_1                       F_17                                     24.44                NOT USED  
