NODES: 48
ARCS: 359

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_2_origin_13                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_6                     45.635359       9.872452        H_ORIGIN       
H_Milano_1_origin_1                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_12                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_8                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_14                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_9                      45.466862       9.172003        H_ORIGIN       
H_Parma_1_origin_15                      44.694109       10.104399       H_ORIGIN       
H_Pavia_10_origin_3                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_5                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_7                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_10                      45.032079       9.285239        H_ORIGIN       
H_Piacenza_1_origin_2                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_4                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_3_dest_10                      45.792479       9.659418        H_DESTINATION  
H_Cremona_1_dest_1                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_9                       45.289308       9.855996        H_DESTINATION  
H_Milano_2_dest_2                        45.466862       9.172003        H_DESTINATION  
H_Parma_2_dest_6                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_7                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_4                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_15                        45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_8                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_5                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_14                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_11                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_12                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_13                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
6        F_16                                     H_Pavia_10_dest_4                        28.58                USED      
10       F_16                                     F_17                                     29.11                USED      
23       F_19                                     H_Piacenza_2_dest_11                     35.98                USED      
25       F_19                                     H_Parma_2_dest_6                         45.01                USED      
28       F_12                                     F_18                                     50.49                USED      
36       F_12                                     H_Parma_3_dest_3                         47.65                USED      
48       F_10                                     H_Piacenza_1_origin_2                    47.03                USED      
54       H_Milano_1_origin_1                      F_31                                     45.24                USED      
68       H_Milano_1_origin_12                     F_23                                     43.28                USED      
71       H_Pavia_10_origin_3                      F_16                                     28.58                USED      
82       H_Bergamo_4_origin_11                    F_33                                     26.20                USED      
87       F_31                                     F_25                                     50.36                USED      
93       F_31                                     H_Bergamo_2_origin_13                    41.54                USED      
103      F_25                                     H_Cremona_1_dest_1                       47.78                USED      
104      F_25                                     F_18                                     41.22                USED      
116      H_Pavia_10_origin_5                      H_Pavia_9_dest_5                         1.55                 USED      
120      H_Bergamo_4_origin_6                     F_33                                     26.20                USED      
128      F_24                                     H_Cremona_2_dest_9                       46.96                USED      
147      H_Pavia_1_origin_10                      F_23                                     49.10                USED      
149      HUB_2                                    H_Milano_1_origin_12                     32.51                USED      
152      HUB_2                                    F_31                                     21.41                USED      
158      HUB_2                                    H_Milano_2_origin_9                      29.86                USED      
161      HUB_2                                    H_Milano_2_origin_14                     29.86                USED      
165      HUB_2                                    F_23                                     29.74                USED      
167      HUB_2                                    F_32                                     46.89                USED      
170      F_18                                     F_12                                     50.49                USED      
172      F_18                                     H_Piacenza_2_dest_13                     31.25                USED      
178      F_18                                     F_17                                     29.11                USED      
183      H_Pavia_10_origin_7                      F_16                                     28.58                USED      
198      H_Milano_2_origin_9                      F_23                                     37.28                USED      
209      F_30                                     F_38                                     50.30                USED      
216      F_33                                     F_26                                     41.22                USED      
218      F_26                                     F_19                                     41.22                USED      
225      F_17                                     F_16                                     29.11                USED      
226      F_17                                     H_Pavia_5_dest_15                        24.44                USED      
233      F_17                                     F_18                                     29.11                USED      
235      F_17                                     F_11                                     50.49                USED      
237      F_17                                     F_23                                     50.42                USED      
238      F_17                                     H_Piacenza_2_dest_12                     48.55                USED      
244      H_Piacenza_2_origin_4                    F_17                                     48.55                USED      
258      H_Milano_2_origin_14                     F_23                                     37.28                USED      
267      H_Piacenza_1_origin_2                    F_11                                     28.38                USED      
272      HUB_3                                    F_10                                     19.37                USED      
279      HUB_3                                    H_Pavia_1_origin_10                      46.64                USED      
294      H_Bergamo_2_origin_13                    F_32                                     37.11                USED      
300      F_11                                     F_17                                     50.49                USED      
301      F_11                                     H_Piacenza_1_dest_14                     28.38                USED      
302      F_11                                     H_Parma_2_dest_7                         47.18                USED      
309      H_Parma_1_origin_15                      F_12                                     38.36                USED      
319      F_23                                     H_Pavia_10_origin_3                      28.04                USED      
322      F_23                                     F_24                                     29.00                USED      
325      F_23                                     H_Pavia_5_dest_8                         42.81                USED      
327      F_23                                     H_Pavia_10_origin_7                      28.04                USED      
329      F_23                                     F_30                                     41.22                USED      
