NODES: 47
ARCS: 373

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_2                     45.687747       9.675601        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Milano_1_origin_10                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_8                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_11                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_7                      45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_9                      45.466862       9.172003        H_ORIGIN       
H_Parma_1_origin_3                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_12                      44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_14                      44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_13                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_4                       45.066405       9.324603        H_ORIGIN       
H_Piacenza_2_origin_1                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_15                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_6                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_12                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_1                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_13                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_15                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_3                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Milano_1_dest_7                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_4                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_5                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_11                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_8                         44.717104       10.229990       H_DESTINATION  
H_Pavia_5_dest_14                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_2                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_19                                     H_Piacenza_2_origin_6                    35.98                USED      
6        F_19                                     F_26                                     41.22                USED      
14       F_12                                     F_19                                     41.22                USED      
17       F_12                                     F_18                                     50.49                USED      
24       F_12                                     H_Parma_3_dest_8                         47.65                USED      
29       H_Piacenza_2_origin_6                    F_18                                     31.25                USED      
47       F_31                                     H_Bergamo_2_dest_13                      41.54                USED      
52       F_31                                     H_Milano_3_dest_5                        48.65                USED      
53       F_31                                     F_23                                     50.36                USED      
69       H_Milano_2_origin_7                      H_Milano_1_dest_7                        6.31                 USED      
74       H_Pavia_1_origin_13                      F_23                                     49.10                USED      
78       F_25                                     F_31                                     50.36                USED      
84       F_25                                     F_32                                     41.22                USED      
89       F_24                                     F_18                                     50.42                USED      
98       HUB_2                                    H_Milano_2_origin_7                      29.86                USED      
103      HUB_2                                    H_Milano_2_origin_9                      29.86                USED      
116      HUB_2                                    H_Milano_1_origin_8                      32.51                USED      
122      F_18                                     F_12                                     50.49                USED      
124      F_18                                     F_25                                     41.22                USED      
127      F_18                                     F_17                                     29.11                USED      
134      F_30                                     F_24                                     50.36                USED      
153      H_Milano_2_origin_9                      F_22                                     36.27                USED      
169      H_Milano_2_origin_11                     F_23                                     37.28                USED      
177      F_26                                     F_32                                     50.36                USED      
178      H_Parma_2_origin_12                      F_19                                     45.01                USED      
197      F_17                                     F_11                                     50.49                USED      
198      F_17                                     H_Pavia_5_dest_14                        24.44                USED      
207      F_39                                     H_Bergamo_3_dest_6                       15.80                USED      
210      F_22                                     H_Pavia_9_dest_9                         21.42                USED      
224      H_Parma_3_origin_14                      F_12                                     47.65                USED      
236      H_Milano_1_origin_10                     H_Milano_3_dest_10                       6.10                 USED      
247      H_Piacenza_2_origin_1                    F_18                                     31.25                USED      
253      HUB_1                                    F_19                                     33.04                USED      
265      HUB_1                                    H_Cremona_1_origin_5                     22.87                USED      
267      HUB_1                                    F_13                                     49.04                USED      
273      H_Cremona_1_origin_5                     F_25                                     47.78                USED      
281      H_Piacenza_2_origin_15                   F_18                                     31.25                USED      
292      F_13                                     H_Parma_3_origin_14                      28.59                USED      
297      F_13                                     H_Parma_1_origin_3                       31.82                USED      
300      F_11                                     H_Parma_2_dest_11                        47.18                USED      
308      F_23                                     F_31                                     50.36                USED      
312      F_23                                     H_Milano_2_dest_4                        37.28                USED      
318      F_23                                     F_17                                     50.42                USED      
326      F_23                                     H_Pavia_8_dest_2                         26.99                USED      
331      H_Milano_1_origin_8                      F_30                                     16.38                USED      
340      F_32                                     H_Bergamo_2_dest_1                       37.11                USED      
345      F_32                                     H_Bergamo_1_dest_12                      35.22                USED      
348      F_32                                     H_Bergamo_2_dest_15                      37.11                USED      
349      F_32                                     H_Bergamo_2_dest_3                       37.11                USED      
350      F_32                                     F_39                                     41.22                USED      
352      H_Parma_1_origin_3                       F_12                                     38.36                USED      
363      H_Pavia_5_origin_4                       F_23                                     42.81                USED      
366      H_Bergamo_1_origin_2                     F_31                                     41.41                USED      
