NODES: 49
ARCS: 392

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_12                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_15                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_5                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_11                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_8                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_9                     45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_13                     45.499807       9.167334        H_ORIGIN       
H_Pavia_10_origin_10                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_2                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_3                       45.066405       9.324603        H_ORIGIN       
H_Piacenza_1_origin_1                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_7                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_14                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_3                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_2                       45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_5                       45.635359       9.872452        H_DESTINATION  
H_Milano_1_dest_12                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_10                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_15                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_7                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_1                         44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_4                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_6                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_13                       45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_11                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_9                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_14                        45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_8                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        F_16                                     F_24                                     50.42                USED      
9        F_16                                     H_Pavia_9_dest_14                        29.26                USED      
14       F_19                                     F_12                                     41.22                USED      
33       F_10                                     F_11                                     29.22                USED      
40       F_12                                     H_Parma_3_dest_6                         47.65                USED      
44       F_12                                     H_Parma_1_dest_4                         38.36                USED      
52       H_Milano_1_origin_13                     F_22                                     41.99                USED      
58       H_Bergamo_3_origin_8                     F_39                                     15.80                USED      
65       F_31                                     H_Milano_2_dest_15                       45.23                USED      
73       F_31                                     H_Milano_1_dest_12                       45.24                USED      
74       F_31                                     H_Bergamo_2_dest_3                       41.54                USED      
76       F_31                                     H_Bergamo_1_origin_15                    41.41                USED      
78       F_31                                     F_38                                     41.22                USED      
79       F_31                                     H_Bergamo_1_origin_12                    41.41                USED      
84       F_25                                     F_18                                     41.22                USED      
90       F_24                                     F_31                                     41.22                USED      
92       F_24                                     H_Pavia_5_dest_9                         49.03                USED      
101      F_24                                     F_32                                     50.36                USED      
104      H_Bergamo_2_origin_5                     H_Bergamo_4_dest_5                       30.63                USED      
115      H_Pavia_1_origin_6                       F_10                                     44.69                USED      
125      HUB_2                                    H_Milano_1_origin_13                     32.51                USED      
127      HUB_2                                    F_31                                     21.41                USED      
159      H_Bergamo_4_origin_9                     F_32                                     31.81                USED      
168      F_18                                     F_11                                     41.22                USED      
179      F_30                                     F_23                                     41.22                USED      
185      H_Pavia_10_origin_10                     F_22                                     22.43                USED      
194      F_22                                     H_Milano_2_dest_10                       36.27                USED      
201      F_22                                     H_Pavia_10_dest_13                       22.43                USED      
207      F_26                                     H_Cremona_2_origin_4                     11.04                USED      
209      F_17                                     F_16                                     29.11                USED      
221      F_17                                     F_23                                     50.42                USED      
233      F_39                                     F_32                                     41.22                USED      
238      H_Piacenza_2_origin_14                   F_17                                     48.55                USED      
245      H_Piacenza_1_origin_1                    H_Parma_1_dest_1                         42.59                USED      
251      H_Pavia_1_origin_2                       F_16                                     7.90                 USED      
268      H_Piacenza_1_origin_7                    F_11                                     28.38                USED      
277      HUB_1                                    F_26                                     46.36                USED      
294      H_Bergamo_3_origin_11                    F_38                                     24.44                USED      
299      F_11                                     F_12                                     29.22                USED      
301      F_11                                     F_17                                     50.49                USED      
305      F_11                                     H_Piacenza_1_dest_8                      28.38                USED      
306      H_Cremona_2_origin_4                     F_19                                     42.61                USED      
313      H_Bergamo_1_origin_15                    F_31                                     41.41                USED      
326      H_Pavia_5_origin_3                       F_24                                     49.03                USED      
341      F_23                                     H_Pavia_1_dest_11                        49.10                USED      
348      F_23                                     H_Milano_3_dest_7                        39.77                USED      
356      F_38                                     H_Bergamo_3_origin_8                     24.44                USED      
359      F_38                                     F_30                                     50.30                USED      
362      F_38                                     H_Bergamo_3_origin_11                    24.44                USED      
367      H_Bergamo_1_origin_12                    F_31                                     41.41                USED      
379      F_32                                     F_25                                     41.22                USED      
380      F_32                                     F_24                                     50.36                USED      
392      F_32                                     H_Bergamo_4_dest_2                       31.81                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
3        F_16                                     H_Pavia_1_dest_11                        7.90                 NOT USED  
