NODES: 45
ARCS: 347

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_2_origin_12                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_5                     45.695518       9.659230        H_ORIGIN       
H_Milano_1_origin_4                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_8                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_11                     45.471898       9.145035        H_ORIGIN       
H_Parma_2_origin_2                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_1                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_14                     45.183361       9.145183        H_ORIGIN       
H_Pavia_5_origin_6                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_10                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_7                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_3                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_13                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_15                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_14                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_11                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_1                       45.635359       9.872452        H_DESTINATION  
H_Milano_1_dest_5                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_6                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_3                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_2                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_4                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_15                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_7                         44.717104       10.229990       H_DESTINATION  
H_Pavia_1_dest_13                        45.032079       9.285239        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_10                     44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     F_10                                     50.49                USED      
2        F_16                                     H_Pavia_9_dest_9                         29.26                USED      
7        F_16                                     F_17                                     29.11                USED      
17       F_10                                     H_Pavia_1_dest_13                        44.69                USED      
19       F_10                                     H_Piacenza_2_origin_9                    39.97                USED      
21       F_10                                     H_Piacenza_1_dest_10                     47.03                USED      
28       F_12                                     H_Parma_2_dest_4                         17.96                USED      
33       F_12                                     H_Parma_3_dest_7                         47.65                USED      
44       H_Parma_2_origin_2                       H_Parma_1_dest_2                         31.34                USED      
56       H_Milano_2_origin_8                      H_Milano_1_dest_8                        6.31                 USED      
59       F_31                                     H_Milano_1_dest_5                        45.24                USED      
60       F_31                                     H_Bergamo_2_origin_5                     41.54                USED      
63       F_31                                     H_Milano_2_dest_12                       45.23                USED      
64       F_31                                     H_Bergamo_2_dest_14                      41.54                USED      
72       F_31                                     F_32                                     28.89                USED      
78       F_24                                     F_18                                     50.42                USED      
85       H_Bergamo_2_origin_5                     F_31                                     41.54                USED      
94       HUB_2                                    F_31                                     21.41                USED      
112      HUB_2                                    F_23                                     29.74                USED      
115      HUB_2                                    H_Milano_3_origin_11                     33.59                USED      
119      F_18                                     F_12                                     50.49                USED      
123      H_Piacenza_1_origin_13                   F_10                                     47.03                USED      
140      H_Pavia_10_origin_14                     F_23                                     28.04                USED      
144      F_30                                     F_24                                     50.36                USED      
153      F_30                                     F_38                                     50.30                USED      
169      F_22                                     H_Milano_3_dest_3                        36.04                USED      
174      F_17                                     F_16                                     29.11                USED      
177      F_17                                     F_18                                     29.11                USED      
182      H_Pavia_8_origin_10                      F_16                                     30.62                USED      
192      H_Pavia_8_origin_7                       F_16                                     30.62                USED      
207      H_Piacenza_2_origin_9                    F_17                                     48.55                USED      
219      H_Pavia_10_origin_1                      F_23                                     28.04                USED      
225      F_5                                      H_Parma_3_dest_15                        42.12                USED      
230      HUB_3                                    F_10                                     19.37                USED      
251      H_Milano_1_origin_4                      F_30                                     16.38                USED      
269      H_Pavia_5_origin_6                       F_23                                     42.81                USED      
277      H_Piacenza_1_origin_15                   F_5                                      24.56                USED      
283      F_23                                     F_31                                     50.36                USED      
293      F_23                                     H_Pavia_8_origin_10                      26.99                USED      
294      F_23                                     H_Pavia_8_origin_7                       26.99                USED      
295      F_23                                     H_Milano_1_dest_6                        43.28                USED      
306      F_38                                     H_Bergamo_3_dest_11                      24.44                USED      
310      H_Bergamo_2_origin_12                    F_31                                     41.54                USED      
321      H_Pavia_9_origin_3                       F_22                                     21.42                USED      
332      H_Milano_3_origin_11                     F_30                                     20.38                USED      
344      F_32                                     H_Bergamo_4_dest_1                       31.81                USED      
3        F_16                                     F_24                                     50.42                NOT USED  
4        F_16                                     H_Pavia_10_origin_14                     28.58                NOT USED  
5        F_16                                     F_22                                     50.42                NOT USED  
6        F_16                                     H_Pavia_1_dest_13                        7.90                 NOT USED  
8        F_16                                     H_Pavia_8_origin_10                      30.62                NOT USED  
9        F_16                                     H_Pavia_8_origin_7                       30.62                NOT USED  
10       F_16                                     H_Pavia_10_origin_1                      28.58                NOT USED  
11       F_16                                     H_Pavia_5_origin_6                       4.89                 NOT USED  
12       F_16                                     F_23                                     41.22                NOT USED  
13       F_16                                     H_Pavia_9_origin_3                       29.26                NOT USED  
14       F_10                                     F_16                                     50.49                NOT USED  
15       F_10                                     F_18                                     50.49                NOT USED  
16       F_10                                     H_Piacenza_1_origin_13                   47.03                NOT USED  
18       F_10                                     F_17                                     41.22                NOT USED  
20       F_10                                     HUB_3                                    19.37                NOT USED  
22       F_10                                     H_Pavia_5_origin_6                       46.78                NOT USED  
23       F_10                                     H_Piacenza_1_origin_15                   47.03                NOT USED  
24       F_12                                     H_Parma_2_origin_2                       17.96                NOT USED  
25       F_12                                     F_18                                     50.49                NOT USED  
