NODES: 49
ARCS: 368

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_8                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_4                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_10                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_6                     45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_7                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_1                     45.289308       9.855996        H_ORIGIN       
H_Parma_2_origin_12                      44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_14                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_3                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_5                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_13                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_2                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_15                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_9                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_12                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_1                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_14                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_10                      45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_4                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_15                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_7                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_2                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_13                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_8                         44.717104       10.229990       H_DESTINATION  
H_Pavia_9_dest_5                         45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_11                     44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        H_Pavia_8_origin_13                      F_16                                     30.62                USED      
12       F_16                                     H_Pavia_9_dest_9                         29.26                USED      
15       F_16                                     F_17                                     29.11                USED      
22       H_Pavia_1_origin_3                       F_10                                     44.69                USED      
31       F_10                                     F_16                                     50.49                USED      
33       F_10                                     H_Piacenza_1_origin_9                    47.03                USED      
38       F_10                                     F_11                                     29.22                USED      
42       F_12                                     H_Parma_3_dest_13                        47.65                USED      
46       F_12                                     H_Piacenza_1_dest_11                     33.32                USED      
52       F_12                                     H_Parma_1_dest_2                         38.36                USED      
53       F_12                                     H_Parma_3_dest_3                         47.65                USED      
54       F_19                                     F_12                                     41.22                USED      
60       F_19                                     F_26                                     41.22                USED      
69       H_Bergamo_4_origin_11                    F_33                                     26.20                USED      
82       F_31                                     H_Milano_2_dest_7                        45.23                USED      
84       F_31                                     H_Bergamo_2_origin_4                     41.54                USED      
87       F_31                                     F_32                                     28.89                USED      
89       F_25                                     F_31                                     50.36                USED      
105      F_24                                     H_Cremona_2_origin_1                     46.96                USED      
113      H_Piacenza_1_origin_9                    F_10                                     47.03                USED      
130      H_Bergamo_1_origin_8                     F_32                                     35.22                USED      
139      H_Cremona_2_origin_1                     F_32                                     45.00                USED      
145      HUB_2                                    F_31                                     21.41                USED      
146      HUB_2                                    F_24                                     30.90                USED      
158      HUB_2                                    F_23                                     29.74                USED      
160      HUB_2                                    F_32                                     46.89                USED      
164      F_18                                     F_12                                     50.49                USED      
181      F_20                                     F_13                                     41.22                USED      
190      H_Pavia_10_origin_14                     F_23                                     28.04                USED      
196      F_33                                     F_26                                     41.22                USED      
197      F_33                                     F_39                                     50.30                USED      
201      F_26                                     F_19                                     41.22                USED      
202      F_26                                     H_Cremona_1_dest_10                      29.32                USED      
206      F_26                                     F_20                                     50.42                USED      
207      F_26                                     F_33                                     41.22                USED      
209      F_26                                     F_32                                     50.36                USED      
217      F_17                                     F_18                                     29.11                USED      
219      F_17                                     F_23                                     50.42                USED      
221      F_39                                     H_Bergamo_3_dest_1                       15.80                USED      
225      F_39                                     F_33                                     50.30                USED      
229      F_39                                     H_Bergamo_3_dest_6                       15.80                USED      
233      H_Parma_2_origin_12                      F_19                                     45.01                USED      
245      H_Pavia_8_origin_2                       F_16                                     30.62                USED      
261      H_Bergamo_2_origin_4                     F_32                                     37.11                USED      
263      HUB_3                                    H_Pavia_1_origin_3                       46.64                USED      
264      HUB_3                                    F_10                                     19.37                USED      
274      HUB_3                                    F_11                                     46.43                USED      
276      HUB_3                                    H_Pavia_1_origin_5                       46.64                USED      
282      H_Bergamo_3_origin_10                    F_39                                     15.80                USED      
292      F_13                                     H_Parma_3_dest_8                         28.59                USED      
296      F_11                                     F_12                                     29.22                USED      
301      F_11                                     F_17                                     50.49                USED      
302      F_11                                     H_Parma_2_origin_12                      47.18                USED      
310      H_Piacenza_1_origin_15                   F_11                                     28.38                USED      
316      F_23                                     F_31                                     50.36                USED      
322      F_23                                     H_Pavia_8_origin_2                       26.99                USED      
324      F_23                                     H_Milano_1_dest_15                       43.28                USED      
334      H_Pavia_1_origin_5                       H_Pavia_9_dest_5                         35.34                USED      
337      F_32                                     H_Bergamo_4_origin_11                    31.81                USED      
345      F_32                                     F_26                                     50.36                USED      
346      F_32                                     F_39                                     41.22                USED      
347      F_32                                     H_Cremona_2_dest_4                       45.00                USED      
348      F_32                                     H_Bergamo_4_dest_14                      31.81                USED      
349      F_32                                     H_Bergamo_2_dest_12                      37.11                USED      
357      H_Cremona_1_origin_6                     F_26                                     29.32                USED      
362      H_Cremona_1_origin_7                     F_25                                     47.78                USED      
2        H_Pavia_8_origin_13                      H_Pavia_1_origin_3                       36.62                NOT USED  
3        H_Pavia_8_origin_13                      H_Pavia_9_dest_9                         1.44                 NOT USED  
4        H_Pavia_8_origin_13                      H_Pavia_10_origin_14                     2.26                 NOT USED  
5        H_Pavia_8_origin_13                      H_Pavia_8_origin_2                       0.00                 NOT USED  
6        H_Pavia_8_origin_13                      H_Pavia_9_dest_5                         1.44                 NOT USED  
7        H_Pavia_8_origin_13                      F_23                                     26.99                NOT USED  
8        H_Pavia_8_origin_13                      H_Pavia_1_origin_5                       36.62                NOT USED  
9        F_16                                     H_Pavia_8_origin_13                      30.62                NOT USED  
10       F_16                                     H_Pavia_1_origin_3                       7.90                 NOT USED  
