NODES: 49
ARCS: 366

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_1                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_2                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_8                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_9                     45.792479       9.659418        H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_3                      45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_5                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_14                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_13                      44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_10                      44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_12                      44.717104       10.229990       H_ORIGIN       
H_Pavia_8_origin_6                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_11                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_15                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_7                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_5                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_4_dest_13                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_9                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_3                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_2                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_6                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_1                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_14                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_11                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_15                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_10                        45.032079       9.285239        H_DESTINATION  
H_Pavia_8_dest_12                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_8                         45.194742       9.140386        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        F_16                                     H_Pavia_8_dest_12                        30.62                USED      
6        F_16                                     H_Pavia_10_dest_7                        28.58                USED      
10       F_19                                     F_12                                     41.22                USED      
12       F_19                                     H_Piacenza_2_origin_7                    35.98                USED      
15       F_19                                     F_26                                     41.22                USED      
28       F_10                                     H_Pavia_1_dest_10                        44.69                USED      
29       F_12                                     F_19                                     41.22                USED      
30       F_12                                     H_Parma_1_dest_1                         38.36                USED      
33       F_12                                     F_18                                     50.49                USED      
41       F_12                                     H_Piacenza_1_origin_15                   33.32                USED      
44       F_31                                     H_Bergamo_1_dest_5                       41.41                USED      
45       F_31                                     H_Bergamo_2_origin_8                     41.54                USED      
54       F_31                                     F_23                                     50.36                USED      
55       F_31                                     F_38                                     41.22                USED      
59       F_31                                     H_Milano_2_dest_2                        45.23                USED      
61       H_Bergamo_2_origin_8                     F_31                                     41.54                USED      
80       H_Parma_2_origin_10                      F_11                                     47.18                USED      
91       H_Milano_3_origin_14                     F_23                                     39.77                USED      
94       HUB_2                                    F_31                                     21.41                USED      
97       HUB_2                                    H_Milano_3_origin_14                     33.59                USED      
104      HUB_2                                    H_Milano_2_origin_3                      29.86                USED      
110      HUB_2                                    F_23                                     29.74                USED      
122      H_Piacenza_2_origin_7                    F_17                                     48.55                USED      
131      F_18                                     F_17                                     29.11                USED      
140      H_Piacenza_1_origin_11                   F_5                                      24.56                USED      
146      F_20                                     F_12                                     50.49                USED      
153      F_33                                     F_26                                     41.22                USED      
158      F_33                                     H_Bergamo_4_dest_13                      26.20                USED      
160      F_26                                     F_19                                     41.22                USED      
163      F_26                                     F_33                                     41.22                USED      
164      F_26                                     H_Cremona_1_dest_9                       29.32                USED      
172      F_22                                     H_Milano_2_dest_6                        36.27                USED      
181      F_17                                     F_16                                     29.11                USED      
185      F_17                                     F_11                                     50.49                USED      
191      F_39                                     F_33                                     50.30                USED      
199      H_Parma_3_origin_12                      F_12                                     47.65                USED      
207      H_Milano_2_origin_5                      F_31                                     45.23                USED      
216      HUB_1                                    F_19                                     33.04                USED      
218      HUB_1                                    H_Parma_2_origin_10                      51.05                USED      
222      HUB_1                                    F_20                                     8.30                 USED      
241      F_5                                      H_Parma_3_dest_11                        42.12                USED      
243      F_5                                      H_Parma_3_dest_15                        42.12                USED      
254      H_Milano_2_origin_3                      H_Milano_1_dest_3                        6.31                 USED      
258      H_Bergamo_3_origin_9                     F_39                                     15.80                USED      
265      F_11                                     F_10                                     29.22                USED      
274      F_11                                     H_Parma_2_dest_14                        47.18                USED      
276      H_Bergamo_2_origin_2                     F_31                                     41.54                USED      
290      H_Cremona_2_origin_4                     F_32                                     45.00                USED      
297      H_Piacenza_1_origin_15                   F_5                                      24.56                USED      
301      H_Parma_1_origin_13                      F_12                                     38.36                USED      
317      F_23                                     H_Pavia_8_dest_8                         26.99                USED      
319      F_23                                     F_17                                     50.42                USED      
326      F_23                                     H_Pavia_8_origin_6                       26.99                USED      
332      F_38                                     H_Bergamo_3_origin_9                     24.44                USED      
341      F_32                                     F_26                                     50.36                USED      
343      F_32                                     H_Bergamo_1_dest_4                       35.22                USED      
358      H_Bergamo_1_origin_1                     F_32                                     35.22                USED      
363      H_Pavia_8_origin_6                       F_22                                     20.20                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
3        F_16                                     H_Pavia_8_dest_8                         30.62                NOT USED  
