NODES: 48
ARCS: 378

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_2_origin_9                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_1                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_11                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_2                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_5                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_7                      45.499807       9.167334        H_ORIGIN       
H_Parma_1_origin_6                       44.694109       10.104399       H_ORIGIN       
H_Pavia_10_origin_3                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_14                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_8                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_4                       45.066405       9.324603        H_ORIGIN       
H_Pavia_9_origin_10                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_12                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_2_origin_13                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_7                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_15                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_5                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_12                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_6                       45.635359       9.872452        H_DESTINATION  
H_Cremona_2_dest_3                       45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_4                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_10                       45.499807       9.167334        H_DESTINATION  
H_Parma_1_dest_11                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_13                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_8                         44.856799       10.071196       H_DESTINATION  
H_Pavia_1_dest_2                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_1                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_14                        45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_9                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        H_Cremona_2_origin_2                     F_25                                     17.96                USED      
21       F_19                                     F_26                                     41.22                USED      
28       F_12                                     F_19                                     41.22                USED      
33       F_12                                     H_Parma_1_dest_13                        38.36                USED      
44       F_10                                     F_11                                     29.22                USED      
59       H_Cremona_2_origin_15                    F_32                                     45.00                USED      
67       H_Pavia_10_origin_3                      F_23                                     28.04                USED      
76       F_31                                     H_Bergamo_2_dest_5                       41.54                USED      
79       F_31                                     H_Bergamo_1_dest_7                       41.41                USED      
81       F_31                                     H_Bergamo_2_origin_9                     41.54                USED      
88       F_25                                     F_18                                     41.22                USED      
92       F_25                                     F_17                                     50.42                USED      
101      F_24                                     H_Cremona_2_dest_3                       46.96                USED      
104      F_24                                     H_Cremona_2_dest_4                       46.96                USED      
108      F_24                                     F_32                                     50.36                USED      
109      F_24                                     H_Pavia_5_dest_1                         49.03                USED      
111      H_Pavia_1_origin_8                       F_10                                     44.69                USED      
127      H_Cremona_1_origin_11                    F_20                                     23.45                USED      
132      H_Milano_1_origin_5                      F_31                                     45.24                USED      
141      HUB_2                                    F_31                                     21.41                USED      
149      HUB_2                                    H_Milano_1_origin_7                      32.51                USED      
154      HUB_2                                    F_23                                     29.74                USED      
156      HUB_2                                    F_32                                     46.89                USED      
173      F_18                                     H_Piacenza_2_dest_9                      31.25                USED      
180      H_Bergamo_4_origin_1                     F_32                                     31.81                USED      
188      F_20                                     F_13                                     41.22                USED      
193      H_Pavia_1_origin_14                      H_Pavia_9_dest_14                        35.34                USED      
203      F_33                                     H_Bergamo_4_dest_6                       26.20                USED      
217      F_22                                     H_Milano_1_dest_10                       41.99                USED      
228      F_26                                     F_33                                     41.22                USED      
240      F_17                                     H_Pavia_1_dest_2                         30.74                USED      
250      HUB_1                                    H_Cremona_1_origin_11                    22.87                USED      
259      HUB_1                                    F_13                                     49.04                USED      
265      H_Milano_1_origin_7                      F_31                                     45.24                USED      
272      H_Piacenza_2_origin_13                   F_12                                     23.05                USED      
284      F_13                                     H_Parma_1_dest_11                        31.82                USED      
288      F_13                                     H_Parma_1_origin_6                       31.82                USED      
293      F_11                                     H_Parma_2_dest_8                         47.18                USED      
302      H_Pavia_9_origin_10                      F_22                                     21.42                USED      
310      H_Pavia_9_origin_12                      F_24                                     51.39                USED      
320      F_23                                     H_Pavia_10_origin_3                      28.04                USED      
322      F_23                                     F_24                                     29.00                USED      
323      F_23                                     H_Pavia_1_origin_8                       49.10                USED      
336      F_23                                     H_Pavia_5_origin_4                       42.81                USED      
337      H_Parma_1_origin_6                       F_12                                     38.36                USED      
345      F_32                                     F_25                                     41.22                USED      
346      F_32                                     F_24                                     50.36                USED      
348      F_32                                     H_Bergamo_4_dest_12                      31.81                USED      
350      F_32                                     H_Bergamo_4_origin_1                     31.81                USED      
354      F_32                                     H_Bergamo_2_dest_15                      37.11                USED      
361      H_Pavia_5_origin_4                       F_24                                     49.03                USED      
378      H_Bergamo_2_origin_9                     F_32                                     37.11                USED      
1        H_Cremona_2_origin_2                     F_19                                     42.61                NOT USED  
