NODES: 49
ARCS: 402

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_5                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_8                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_13                    45.695518       9.659230        H_ORIGIN       
H_Cremona_1_origin_14                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_10                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_11                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_3                      45.499807       9.167334        H_ORIGIN       
H_Parma_1_origin_1                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_9                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_4                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_2                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_7                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_15                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_12                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_2_origin_6                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_11                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_3                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_15                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_1                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_4                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_12                      45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_14                      45.289308       9.855996        H_DESTINATION  
H_Parma_1_dest_2                         44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_10                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_5                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_9                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_13                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_6                         45.190881       9.149624        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
7        F_16                                     F_17                                     29.11                USED      
12       F_16                                     H_Pavia_9_dest_6                         29.26                USED      
24       F_10                                     F_11                                     29.22                USED      
26       F_12                                     H_Parma_1_dest_8                         38.36                USED      
35       F_12                                     H_Parma_1_dest_2                         38.36                USED      
46       H_Pavia_8_origin_15                      F_23                                     26.99                USED      
48       F_19                                     F_12                                     41.22                USED      
49       F_19                                     H_Piacenza_2_origin_6                    35.98                USED      
70       H_Piacenza_2_origin_6                    F_17                                     48.55                USED      
75       F_31                                     H_Bergamo_1_origin_8                     41.41                USED      
79       F_31                                     H_Bergamo_1_origin_5                     41.41                USED      
82       F_31                                     F_23                                     50.36                USED      
83       F_31                                     F_32                                     28.89                USED      
92       H_Parma_2_origin_9                       F_11                                     47.18                USED      
101      F_25                                     F_17                                     50.42                USED      
125      F_24                                     H_Cremona_2_dest_12                      46.96                USED      
132      H_Bergamo_1_origin_8                     F_32                                     35.22                USED      
136      HUB_2                                    F_31                                     21.41                USED      
167      F_18                                     H_Cremona_1_dest_4                       41.43                USED      
172      H_Milano_1_origin_3                      F_30                                     16.38                USED      
177      F_20                                     H_Cremona_1_dest_1                       23.45                USED      
187      F_30                                     F_38                                     50.30                USED      
189      H_Pavia_10_origin_4                      F_16                                     28.58                USED      
201      F_26                                     F_19                                     41.22                USED      
206      F_26                                     H_Cremona_2_origin_10                    11.04                USED      
212      F_26                                     H_Cremona_2_origin_11                    11.04                USED      
214      F_17                                     F_16                                     29.11                USED      
219      F_17                                     H_Pavia_5_dest_9                         24.44                USED      
220      F_17                                     F_18                                     29.11                USED      
226      F_17                                     H_Pavia_1_dest_10                        30.74                USED      
228      H_Cremona_2_origin_10                    F_25                                     17.96                USED      
241      H_Pavia_1_origin_2                       F_10                                     44.69                USED      
261      H_Pavia_1_origin_7                       H_Pavia_10_dest_7                        34.45                USED      
267      H_Bergamo_1_origin_5                     F_31                                     41.41                USED      
276      HUB_1                                    F_19                                     33.04                USED      
278      HUB_1                                    H_Parma_2_origin_9                       51.05                USED      
284      HUB_1                                    F_26                                     46.36                USED      
291      HUB_1                                    H_Cremona_1_origin_14                    22.87                USED      
301      F_13                                     F_20                                     41.22                USED      
306      F_11                                     F_12                                     29.22                USED      
311      F_11                                     F_17                                     50.49                USED      
312      H_Bergamo_2_origin_13                    F_31                                     41.54                USED      
327      H_Cremona_1_origin_14                    H_Cremona_2_dest_14                      34.63                USED      
335      H_Parma_1_origin_1                       F_13                                     31.82                USED      
340      H_Pavia_9_origin_12                      F_24                                     51.39                USED      
353      F_38                                     H_Bergamo_3_dest_3                       24.44                USED      
359      F_23                                     H_Pavia_9_dest_13                        26.60                USED      
361      F_23                                     F_31                                     50.36                USED      
372      F_23                                     H_Pavia_1_dest_5                         49.10                USED      
381      F_32                                     F_26                                     50.36                USED      
383      F_32                                     H_Bergamo_4_dest_15                      31.81                USED      
389      F_32                                     H_Bergamo_2_dest_11                      37.11                USED      
400      H_Cremona_2_origin_11                    F_32                                     45.00                USED      
1        F_16                                     H_Pavia_9_dest_13                        29.26                NOT USED  
2        F_16                                     F_10                                     50.49                NOT USED  
3        F_16                                     H_Pavia_8_origin_15                      30.62                NOT USED  
4        F_16                                     F_24                                     50.42                NOT USED  
5        F_16                                     H_Pavia_5_dest_9                         4.89                 NOT USED  
6        F_16                                     H_Pavia_10_origin_4                      28.58                NOT USED  
8        F_16                                     H_Pavia_1_origin_2                       7.90                 NOT USED  
9        F_16                                     H_Pavia_10_dest_7                        28.58                NOT USED  
10       F_16                                     H_Pavia_1_origin_7                       7.90                 NOT USED  
11       F_16                                     H_Pavia_1_dest_5                         7.90                 NOT USED  
13       F_16                                     H_Pavia_9_origin_12                      29.26                NOT USED  
14       F_16                                     F_23                                     41.22                NOT USED  
15       F_16                                     H_Pavia_1_dest_10                        7.90                 NOT USED  
16       F_10                                     F_16                                     50.49                NOT USED  
17       F_10                                     H_Piacenza_2_origin_6                    39.97                NOT USED  
18       F_10                                     H_Pavia_5_dest_9                         46.78                NOT USED  
19       F_10                                     F_18                                     50.49                NOT USED  
20       F_10                                     F_17                                     41.22                NOT USED  
21       F_10                                     H_Pavia_1_origin_2                       44.69                NOT USED  
22       F_10                                     H_Pavia_1_origin_7                       44.69                NOT USED  
23       F_10                                     H_Pavia_1_dest_5                         44.69                NOT USED  
25       F_10                                     H_Pavia_1_dest_10                        44.69                NOT USED  
27       F_12                                     F_19                                     41.22                NOT USED  
28       F_12                                     H_Piacenza_2_origin_6                    23.05                NOT USED  
29       F_12                                     H_Parma_2_origin_9                       17.96                NOT USED  
30       F_12                                     F_18                                     50.49                NOT USED  
31       F_12                                     F_20                                     50.49                NOT USED  
32       F_12                                     F_13                                     29.22                NOT USED  
33       F_12                                     F_11                                     29.22                NOT USED  
34       F_12                                     H_Parma_1_origin_1                       38.36                NOT USED  
36       H_Pavia_8_origin_15                      F_16                                     30.62                NOT USED  
37       H_Pavia_8_origin_15                      H_Pavia_9_dest_13                        1.44                 NOT USED  
38       H_Pavia_8_origin_15                      H_Pavia_5_dest_9                         34.82                NOT USED  
39       H_Pavia_8_origin_15                      H_Pavia_10_origin_4                      2.26                 NOT USED  
40       H_Pavia_8_origin_15                      H_Pavia_1_origin_2                       36.62                NOT USED  
41       H_Pavia_8_origin_15                      H_Pavia_10_dest_7                        2.26                 NOT USED  
42       H_Pavia_8_origin_15                      H_Pavia_1_origin_7                       36.62                NOT USED  
43       H_Pavia_8_origin_15                      H_Pavia_1_dest_5                         36.62                NOT USED  
44       H_Pavia_8_origin_15                      H_Pavia_9_dest_6                         1.44                 NOT USED  
45       H_Pavia_8_origin_15                      H_Pavia_9_origin_12                      1.44                 NOT USED  
47       H_Pavia_8_origin_15                      H_Pavia_1_dest_10                        36.62                NOT USED  
50       F_19                                     H_Parma_2_origin_9                       45.01                NOT USED  
51       F_19                                     F_25                                     50.42                NOT USED  
52       F_19                                     H_Cremona_1_dest_1                       16.94                NOT USED  
53       F_19                                     F_18                                     29.11                NOT USED  
54       F_19                                     F_20                                     29.11                NOT USED  
55       F_19                                     F_26                                     41.22                NOT USED  
56       F_19                                     H_Cremona_2_origin_10                    42.61                NOT USED  
57       F_19                                     H_Cremona_2_dest_14                      42.61                NOT USED  
58       F_19                                     HUB_1                                    33.04                NOT USED  
59       F_19                                     F_13                                     50.49                NOT USED  
60       F_19                                     F_11                                     50.49                NOT USED  
61       F_19                                     H_Cremona_1_origin_14                    16.94                NOT USED  
62       F_19                                     H_Cremona_1_dest_4                       16.94                NOT USED  
63       F_19                                     H_Cremona_2_origin_11                    42.61                NOT USED  
64       F_19                                     H_Cremona_2_dest_12                      42.61                NOT USED  
65       H_Piacenza_2_origin_6                    F_10                                     39.97                NOT USED  
66       H_Piacenza_2_origin_6                    F_12                                     23.05                NOT USED  
67       H_Piacenza_2_origin_6                    F_19                                     35.98                NOT USED  
68       H_Piacenza_2_origin_6                    H_Parma_2_origin_9                       39.70                NOT USED  
69       H_Piacenza_2_origin_6                    F_18                                     31.25                NOT USED  
71       H_Piacenza_2_origin_6                    F_13                                     50.56                NOT USED  
72       H_Piacenza_2_origin_6                    F_11                                     14.55                NOT USED  
73       F_31                                     F_25                                     50.36                NOT USED  
74       F_31                                     F_24                                     41.22                NOT USED  
76       F_31                                     HUB_2                                    21.41                NOT USED  
77       F_31                                     H_Milano_1_origin_3                      45.24                NOT USED  
78       F_31                                     F_30                                     28.89                NOT USED  
80       F_31                                     H_Bergamo_2_origin_13                    41.54                NOT USED  
81       F_31                                     F_38                                     41.22                NOT USED  
84       F_31                                     H_Bergamo_2_dest_11                      41.54                NOT USED  
85       H_Parma_2_origin_9                       H_Parma_1_dest_8                         31.34                NOT USED  
86       H_Parma_2_origin_9                       F_12                                     17.96                NOT USED  
87       H_Parma_2_origin_9                       F_19                                     45.01                NOT USED  
88       H_Parma_2_origin_9                       H_Piacenza_2_origin_6                    39.70                NOT USED  
89       H_Parma_2_origin_9                       F_20                                     42.79                NOT USED  
90       H_Parma_2_origin_9                       HUB_1                                    51.05                NOT USED  
91       H_Parma_2_origin_9                       F_13                                     11.26                NOT USED  
