NODES: 47
ARCS: 349

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_12                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_15                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_3_origin_5                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Milano_1_origin_3                      45.499807       9.167334        H_ORIGIN       
H_Parma_1_origin_10                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_2                       44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_7                       44.694109       10.104399       H_ORIGIN       
H_Parma_3_origin_1                       44.717104       10.229990       H_ORIGIN       
H_Pavia_9_origin_9                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_13                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_4                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_14                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_6                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_8                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_12                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_15                      45.695518       9.659230        H_DESTINATION  
H_Cremona_1_dest_14                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_4                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_9                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_11                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_3                        45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_5                        45.471898       9.145035        H_DESTINATION  
H_Pavia_10_dest_6                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_7                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_13                        45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_10                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_2                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_1                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_16                                     H_Pavia_9_dest_2                         29.26                USED      
5        F_16                                     H_Pavia_10_dest_6                        28.58                USED      
7        F_16                                     H_Pavia_9_dest_10                        29.26                USED      
19       F_19                                     H_Cremona_1_dest_14                      16.94                USED      
20       F_19                                     H_Cremona_1_dest_4                       16.94                USED      
22       F_10                                     H_Pavia_1_dest_7                         44.69                USED      
24       F_10                                     H_Piacenza_2_origin_6                    39.97                USED      
29       F_10                                     H_Piacenza_2_origin_14                   39.97                USED      
30       F_10                                     H_Pavia_5_dest_13                        46.78                USED      
34       F_12                                     F_19                                     41.22                USED      
38       F_12                                     F_18                                     50.49                USED      
43       F_12                                     F_11                                     29.22                USED      
45       F_12                                     H_Parma_1_origin_10                      38.36                USED      
55       H_Piacenza_2_origin_8                    F_17                                     48.55                USED      
66       H_Piacenza_2_origin_6                    F_17                                     48.55                USED      
75       H_Bergamo_4_origin_11                    F_32                                     31.81                USED      
76       F_31                                     H_Milano_1_dest_11                       45.24                USED      
85       F_31                                     H_Bergamo_1_origin_15                    41.41                USED      
88       F_31                                     F_38                                     41.22                USED      
89       F_31                                     H_Bergamo_1_origin_12                    41.41                USED      
97       F_25                                     H_Cremona_1_dest_9                       47.78                USED      
104      F_24                                     F_25                                     29.00                USED      
118      H_Bergamo_3_origin_5                     F_38                                     24.44                USED      
124      HUB_2                                    F_31                                     21.41                USED      
139      HUB_2                                    F_32                                     46.89                USED      
144      H_Parma_1_origin_7                       F_12                                     38.36                USED      
159      F_18                                     F_17                                     29.11                USED      
170      H_Milano_1_origin_3                      H_Milano_3_dest_3                        6.10                 USED      
176      H_Pavia_9_origin_9                       F_24                                     51.39                USED      
181      H_Piacenza_1_origin_13                   F_10                                     47.03                USED      
198      F_30                                     H_Milano_3_dest_5                        20.38                USED      
204      H_Piacenza_1_origin_4                    F_12                                     33.32                USED      
215      F_17                                     F_16                                     29.11                USED      
226      F_17                                     F_23                                     50.42                USED      
227      H_Piacenza_2_origin_14                   F_19                                     35.98                USED      
245      F_5                                      H_Piacenza_1_dest_1                      24.56                USED      
247      HUB_3                                    F_10                                     19.37                USED      
259      HUB_3                                    F_11                                     46.43                USED      
266      F_11                                     F_10                                     29.22                USED      
267      F_11                                     F_12                                     29.22                USED      
281      H_Bergamo_1_origin_15                    H_Bergamo_2_dest_15                      2.64                 USED      
302      F_23                                     H_Milano_1_dest_8                        43.28                USED      
304      F_38                                     H_Bergamo_3_origin_5                     24.44                USED      
305      F_38                                     F_30                                     50.30                USED      
315      H_Bergamo_1_origin_12                    H_Bergamo_2_dest_12                      2.64                 USED      
319      F_32                                     H_Bergamo_4_origin_11                    31.81                USED      
320      F_32                                     F_31                                     28.89                USED      
329      H_Parma_1_origin_2                       F_12                                     38.36                USED      
337      H_Parma_1_origin_10                      F_12                                     38.36                USED      
347      H_Parma_3_origin_1                       F_5                                      42.12                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_1_dest_7                         7.90                 NOT USED  
