NODES: 47
ARCS: 332

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_2_origin_2                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_12                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_7                     45.792479       9.659418        H_ORIGIN       
H_Cremona_2_origin_14                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_5                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_3                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_9                      45.471898       9.145035        H_ORIGIN       
H_Parma_3_origin_1                       44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_11                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_10                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_13                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_4                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_15                      45.194742       9.140386        H_ORIGIN       
H_Bergamo_2_dest_1                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_15                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_6                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_8                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_7                       45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_9                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_5                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_13                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_14                       45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_10                        44.856799       10.071196       H_DESTINATION  
H_Pavia_10_dest_11                       45.183361       9.145183        H_DESTINATION  
H_Pavia_8_dest_4                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_12                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_2                      44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
8        H_Pavia_8_origin_15                      F_23                                     26.99                USED      
18       H_Milano_3_origin_9                      F_23                                     39.77                USED      
25       H_Pavia_5_origin_10                      F_17                                     24.44                USED      
35       F_31                                     H_Milano_1_dest_5                        45.24                USED      
42       F_31                                     F_38                                     41.22                USED      
44       F_31                                     F_32                                     28.89                USED      
45       F_25                                     F_31                                     50.36                USED      
48       F_25                                     F_18                                     41.22                USED      
60       F_24                                     H_Cremona_2_dest_9                       46.96                USED      
65       F_24                                     H_Cremona_2_origin_14                    46.96                USED      
69       F_24                                     F_23                                     29.00                USED      
72       F_9                                      H_Pavia_5_origin_10                      40.16                USED      
75       F_9                                      H_Pavia_5_origin_13                      40.16                USED      
84       H_Pavia_1_origin_6                       F_17                                     30.74                USED      
92       HUB_2                                    H_Milano_3_origin_9                      33.59                USED      
94       HUB_2                                    F_31                                     21.41                USED      
95       HUB_2                                    F_24                                     30.90                USED      
103      HUB_2                                    H_Milano_2_origin_3                      29.86                USED      
107      HUB_2                                    F_23                                     29.74                USED      
117      F_18                                     H_Piacenza_2_dest_2                      31.25                USED      
123      F_18                                     H_Cremona_1_dest_6                       41.43                USED      
125      F_18                                     H_Piacenza_2_dest_12                     31.25                USED      
127      F_20                                     F_26                                     50.42                USED      
131      F_20                                     H_Cremona_1_dest_8                       23.45                USED      
140      F_26                                     F_32                                     50.36                USED      
147      F_22                                     H_Pavia_9_dest_3                         21.42                USED      
159      F_17                                     F_18                                     29.11                USED      
161      F_17                                     F_11                                     50.49                USED      
173      F_39                                     F_32                                     41.22                USED      
175      H_Cremona_2_origin_14                    F_24                                     46.96                USED      
193      H_Pavia_5_origin_13                      F_23                                     42.81                USED      
196      H_Cremona_2_origin_5                     F_25                                     17.96                USED      
210      H_Milano_2_origin_3                      F_22                                     36.27                USED      
217      HUB_3                                    F_9                                      17.44                USED      
218      HUB_3                                    H_Pavia_1_origin_6                       46.64                USED      
227      HUB_3                                    H_Pavia_1_origin_11                      46.64                USED      
232      F_13                                     F_20                                     41.22                USED      
238      H_Bergamo_3_origin_7                     F_39                                     15.80                USED      
247      F_11                                     H_Parma_2_dest_10                        47.18                USED      
256      H_Bergamo_2_origin_2                     F_32                                     37.11                USED      
260      F_38                                     H_Bergamo_3_origin_7                     24.44                USED      
264      F_23                                     H_Pavia_8_origin_15                      26.99                USED      
267      F_23                                     F_31                                     50.36                USED      
268      F_23                                     F_24                                     29.00                USED      
278      F_23                                     H_Milano_3_dest_14                       39.77                USED      
280      F_23                                     H_Milano_3_dest_13                       39.77                USED      
284      H_Bergamo_3_origin_12                    F_39                                     15.80                USED      
289      F_32                                     H_Bergamo_2_dest_1                       37.11                USED      
291      F_32                                     F_25                                     41.22                USED      
298      F_32                                     H_Bergamo_4_dest_15                      31.81                USED      
299      F_32                                     H_Cremona_2_dest_7                       45.00                USED      
307      H_Pavia_1_origin_11                      H_Pavia_10_dest_11                       34.45                USED      
315      H_Parma_3_origin_8                       F_13                                     28.59                USED      
327      H_Pavia_5_origin_4                       H_Pavia_8_dest_4                         34.82                USED      
330      H_Parma_3_origin_1                       F_13                                     28.59                USED      
1        H_Pavia_8_origin_15                      H_Pavia_5_origin_10                      34.82                NOT USED  
2        H_Pavia_8_origin_15                      H_Pavia_1_origin_6                       36.62                NOT USED  
3        H_Pavia_8_origin_15                      H_Pavia_10_dest_11                       2.26                 NOT USED  
4        H_Pavia_8_origin_15                      F_22                                     20.20                NOT USED  
5        H_Pavia_8_origin_15                      H_Pavia_9_dest_3                         1.44                 NOT USED  
6        H_Pavia_8_origin_15                      H_Pavia_5_origin_13                      34.82                NOT USED  
7        H_Pavia_8_origin_15                      H_Pavia_8_dest_4                         0.00                 NOT USED  
9        H_Pavia_8_origin_15                      H_Pavia_1_origin_11                      36.62                NOT USED  
10       H_Pavia_8_origin_15                      H_Pavia_5_origin_4                       34.82                NOT USED  
11       H_Milano_3_origin_9                      F_31                                     48.65                NOT USED  
12       H_Milano_3_origin_9                      H_Milano_1_dest_5                        6.10                 NOT USED  
13       H_Milano_3_origin_9                      HUB_2                                    33.59                NOT USED  
14       H_Milano_3_origin_9                      F_22                                     36.04                NOT USED  
15       H_Milano_3_origin_9                      H_Milano_3_dest_14                       0.00                 NOT USED  
16       H_Milano_3_origin_9                      H_Milano_2_origin_3                      3.73                 NOT USED  
17       H_Milano_3_origin_9                      H_Milano_3_dest_13                       0.00                 NOT USED  
19       H_Pavia_5_origin_10                      H_Pavia_8_origin_15                      34.82                NOT USED  
20       H_Pavia_5_origin_10                      F_24                                     49.03                NOT USED  
21       H_Pavia_5_origin_10                      F_9                                      40.16                NOT USED  
22       H_Pavia_5_origin_10                      H_Pavia_1_origin_6                       8.42                 NOT USED  
23       H_Pavia_5_origin_10                      H_Pavia_10_dest_11                       32.85                NOT USED  
24       H_Pavia_5_origin_10                      H_Pavia_9_dest_3                         33.42                NOT USED  
26       H_Pavia_5_origin_10                      H_Pavia_5_origin_13                      0.00                 NOT USED  
27       H_Pavia_5_origin_10                      H_Pavia_8_dest_4                         34.82                NOT USED  
28       H_Pavia_5_origin_10                      F_23                                     42.81                NOT USED  
29       H_Pavia_5_origin_10                      H_Pavia_1_origin_11                      8.42                 NOT USED  
30       H_Pavia_5_origin_10                      H_Pavia_5_origin_4                       0.00                 NOT USED  
31       F_31                                     H_Milano_3_origin_9                      48.65                NOT USED  
32       F_31                                     H_Bergamo_2_dest_1                       41.54                NOT USED  
33       F_31                                     F_25                                     50.36                NOT USED  
34       F_31                                     F_24                                     41.22                NOT USED  
36       F_31                                     HUB_2                                    21.41                NOT USED  
37       F_31                                     F_39                                     50.30                NOT USED  
38       F_31                                     H_Milano_3_dest_14                       48.65                NOT USED  
39       F_31                                     H_Milano_2_origin_3                      45.23                NOT USED  
40       F_31                                     H_Bergamo_2_origin_2                     41.54                NOT USED  
41       F_31                                     H_Milano_3_dest_13                       48.65                NOT USED  
43       F_31                                     F_23                                     50.36                NOT USED  
