NODES: 49
ARCS: 386

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_3_origin_9                     45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_1                     45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_7                     45.145060       10.012796       H_ORIGIN       
H_Milano_1_origin_12                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_13                     45.499807       9.167334        H_ORIGIN       
H_Parma_2_origin_10                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_15                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_6                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_11                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_2                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_4                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_5                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_14                      45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_3                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_4_dest_10                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_12                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_14                      45.635359       9.872452        H_DESTINATION  
H_Cremona_2_dest_5                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_9                        45.499807       9.167334        H_DESTINATION  
H_Parma_2_dest_4                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
H_Pavia_1_dest_7                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_1                         45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_13                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_11                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_2                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_8                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_15                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_6                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_16                                     H_Pavia_9_dest_8                         29.26                USED      
4        F_16                                     H_Pavia_8_dest_11                        30.62                USED      
19       F_19                                     F_26                                     41.22                USED      
36       F_10                                     F_11                                     29.22                USED      
46       F_12                                     F_18                                     50.49                USED      
63       H_Milano_1_origin_13                     F_23                                     43.28                USED      
66       H_Milano_1_origin_12                     F_31                                     45.24                USED      
78       F_31                                     F_32                                     28.89                USED      
86       F_25                                     H_Cremona_2_dest_5                       17.96                USED      
89       H_Parma_2_origin_10                      F_19                                     45.01                USED      
104      H_Parma_3_origin_11                      F_12                                     47.65                USED      
115      H_Cremona_1_origin_1                     F_18                                     41.43                USED      
121      HUB_2                                    H_Milano_1_origin_13                     32.51                USED      
134      HUB_2                                    F_23                                     29.74                USED      
146      F_18                                     F_17                                     29.11                USED      
152      F_30                                     H_Milano_1_dest_9                        16.38                USED      
159      F_33                                     H_Bergamo_4_dest_10                      26.20                USED      
170      F_26                                     F_33                                     41.22                USED      
184      H_Parma_2_origin_15                      H_Piacenza_2_dest_15                     39.70                USED      
190      F_17                                     F_16                                     29.11                USED      
192      F_17                                     H_Pavia_1_dest_7                         30.74                USED      
193      F_17                                     F_25                                     50.42                USED      
203      F_17                                     H_Pavia_5_dest_1                         24.44                USED      
216      H_Pavia_1_origin_2                       H_Pavia_8_dest_2                         36.62                USED      
225      H_Pavia_8_origin_14                      F_23                                     26.99                USED      
231      HUB_1                                    H_Parma_2_origin_10                      51.05                USED      
235      HUB_1                                    H_Parma_2_origin_15                      51.05                USED      
239      HUB_1                                    F_13                                     49.04                USED      
244      HUB_1                                    H_Parma_2_origin_6                       51.05                USED      
245      HUB_1                                    H_Cremona_1_origin_7                     22.87                USED      
255      F_5                                      H_Parma_3_dest_3                         42.12                USED      
261      F_13                                     H_Parma_3_origin_11                      28.59                USED      
278      F_11                                     H_Parma_2_dest_4                         47.18                USED      
287      H_Bergamo_3_origin_9                     F_38                                     24.44                USED      
289      H_Pavia_1_origin_4                       F_10                                     44.69                USED      
306      H_Pavia_1_origin_5                       F_17                                     30.74                USED      
315      F_38                                     F_30                                     50.30                USED      
323      F_23                                     F_31                                     50.36                USED      
330      F_23                                     H_Pavia_5_dest_13                        42.81                USED      
331      F_23                                     H_Pavia_8_origin_14                      26.99                USED      
341      H_Piacenza_1_origin_3                    F_5                                      24.56                USED      
349      F_32                                     H_Bergamo_4_dest_12                      31.81                USED      
353      F_32                                     H_Bergamo_4_dest_14                      31.81                USED      
369      H_Parma_2_origin_6                       H_Piacenza_2_dest_6                      39.70                USED      
374      H_Cremona_1_origin_7                     F_18                                     41.43                USED      
378      H_Parma_3_origin_8                       F_12                                     47.65                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_1_dest_7                         7.90                 NOT USED  
5        F_16                                     F_17                                     29.11                NOT USED  
6        F_16                                     H_Pavia_1_origin_2                       7.90                 NOT USED  
7        F_16                                     H_Pavia_5_dest_13                        4.89                 NOT USED  
8        F_16                                     H_Pavia_8_origin_14                      30.62                NOT USED  
9        F_16                                     H_Pavia_1_origin_4                       7.90                 NOT USED  
10       F_16                                     H_Pavia_1_origin_5                       7.90                 NOT USED  
11       F_16                                     F_23                                     41.22                NOT USED  
12       F_16                                     H_Pavia_5_dest_1                         4.89                 NOT USED  
13       F_16                                     H_Pavia_8_dest_2                         30.62                NOT USED  
14       F_19                                     F_12                                     41.22                NOT USED  
15       F_19                                     F_25                                     50.42                NOT USED  
16       F_19                                     H_Parma_2_origin_10                      45.01                NOT USED  
17       F_19                                     H_Cremona_1_origin_1                     16.94                NOT USED  
18       F_19                                     F_18                                     29.11                NOT USED  
20       F_19                                     H_Parma_2_origin_15                      45.01                NOT USED  
21       F_19                                     H_Cremona_2_dest_5                       42.61                NOT USED  
22       F_19                                     H_Parma_2_dest_4                         45.01                NOT USED  
23       F_19                                     HUB_1                                    33.04                NOT USED  
24       F_19                                     F_13                                     50.49                NOT USED  
25       F_19                                     F_11                                     50.49                NOT USED  
26       F_19                                     H_Piacenza_2_dest_15                     35.98                NOT USED  
27       F_19                                     H_Piacenza_2_dest_6                      35.98                NOT USED  
28       F_19                                     H_Parma_2_origin_6                       45.01                NOT USED  
29       F_19                                     H_Cremona_1_origin_7                     16.94                NOT USED  
30       F_10                                     F_16                                     50.49                NOT USED  
31       F_10                                     H_Pavia_1_dest_7                         44.69                NOT USED  
32       F_10                                     F_18                                     50.49                NOT USED  
33       F_10                                     F_17                                     41.22                NOT USED  
34       F_10                                     H_Pavia_1_origin_2                       44.69                NOT USED  
35       F_10                                     H_Pavia_5_dest_13                        46.78                NOT USED  
37       F_10                                     H_Pavia_1_origin_4                       44.69                NOT USED  
38       F_10                                     H_Pavia_1_origin_5                       44.69                NOT USED  
39       F_10                                     H_Piacenza_2_dest_15                     39.97                NOT USED  
40       F_10                                     H_Piacenza_1_origin_3                    47.03                NOT USED  
41       F_10                                     H_Piacenza_2_dest_6                      39.97                NOT USED  
42       F_10                                     H_Pavia_5_dest_1                         46.78                NOT USED  
43       F_12                                     F_19                                     41.22                NOT USED  
44       F_12                                     H_Parma_2_origin_10                      17.96                NOT USED  
45       F_12                                     H_Parma_3_origin_11                      47.65                NOT USED  
47       F_12                                     H_Parma_2_origin_15                      17.96                NOT USED  
48       F_12                                     H_Parma_2_dest_4                         17.96                NOT USED  
49       F_12                                     F_5                                      41.22                NOT USED  
50       F_12                                     F_13                                     29.22                NOT USED  
51       F_12                                     F_11                                     29.22                NOT USED  
52       F_12                                     H_Piacenza_2_dest_15                     23.05                NOT USED  
53       F_12                                     H_Piacenza_1_origin_3                    33.32                NOT USED  
54       F_12                                     H_Parma_3_dest_3                         47.65                NOT USED  
55       F_12                                     H_Piacenza_2_dest_6                      23.05                NOT USED  
56       F_12                                     H_Parma_2_origin_6                       17.96                NOT USED  
57       F_12                                     H_Parma_3_origin_8                       47.65                NOT USED  
58       H_Milano_1_origin_13                     H_Milano_1_dest_9                        0.00                 NOT USED  
59       H_Milano_1_origin_13                     H_Milano_1_origin_12                     0.00                 NOT USED  
60       H_Milano_1_origin_13                     F_31                                     45.24                NOT USED  
61       H_Milano_1_origin_13                     HUB_2                                    32.51                NOT USED  
62       H_Milano_1_origin_13                     F_30                                     16.38                NOT USED  
64       H_Milano_1_origin_12                     H_Milano_1_dest_9                        0.00                 NOT USED  
