NODES: 47
ARCS: 365

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_4_origin_6                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_1                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Milano_3_origin_2                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_7                       44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_9                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_10                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_14                      44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_12                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_11                      45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_13                      45.194742       9.140386        H_ORIGIN       
H_Piacenza_2_origin_3                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_4                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_2_dest_10                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_13                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_9                       45.792479       9.659418        H_DESTINATION  
H_Milano_2_dest_3                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_15                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_1                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_4                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_5                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_8                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_2                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_11                       45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_12                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_14                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_7                         45.066405       9.324603        H_DESTINATION  
H_Piacenza_1_dest_6                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
4        H_Pavia_8_origin_13                      F_23                                     26.99                USED      
7        F_19                                     F_12                                     41.22                USED      
9        F_19                                     H_Piacenza_2_origin_3                    35.98                USED      
14       F_19                                     F_26                                     41.22                USED      
16       F_19                                     H_Piacenza_2_origin_4                    35.98                USED      
22       F_19                                     H_Parma_2_dest_5                         45.01                USED      
28       F_10                                     H_Pavia_1_dest_14                        44.69                USED      
31       F_10                                     H_Pavia_1_dest_12                        44.69                USED      
33       F_12                                     F_19                                     41.22                USED      
34       F_12                                     H_Parma_1_dest_1                         38.36                USED      
40       F_12                                     F_18                                     50.49                USED      
41       F_12                                     H_Parma_3_dest_2                         47.65                USED      
46       F_12                                     H_Piacenza_1_dest_6                      33.32                USED      
48       F_12                                     F_11                                     29.22                USED      
53       H_Pavia_1_origin_11                      H_Pavia_10_dest_11                       34.45                USED      
60       H_Cremona_2_origin_15                    F_24                                     46.96                USED      
73       H_Piacenza_2_origin_3                    F_17                                     48.55                USED      
81       H_Parma_1_origin_9                       F_12                                     38.36                USED      
97       F_24                                     F_18                                     50.42                USED      
100      F_24                                     F_23                                     29.00                USED      
105      H_Bergamo_4_origin_6                     F_33                                     26.20                USED      
109      H_Parma_2_origin_10                      F_19                                     45.01                USED      
127      H_Cremona_2_origin_1                     F_19                                     42.61                USED      
147      HUB_2                                    H_Milano_3_origin_2                      33.59                USED      
152      HUB_2                                    F_23                                     29.74                USED      
156      H_Parma_1_origin_7                       F_12                                     38.36                USED      
171      F_18                                     F_12                                     50.49                USED      
177      F_18                                     F_17                                     29.11                USED      
186      F_30                                     F_38                                     50.30                USED      
191      H_Milano_3_origin_2                      F_23                                     39.77                USED      
196      F_33                                     F_26                                     41.22                USED      
197      F_33                                     F_39                                     50.30                USED      
199      F_26                                     F_19                                     41.22                USED      
201      F_26                                     H_Cremona_2_origin_1                     11.04                USED      
203      F_26                                     F_33                                     41.22                USED      
206      F_26                                     F_32                                     50.36                USED      
215      F_17                                     F_23                                     50.42                USED      
217      F_17                                     H_Pavia_5_dest_7                         24.44                USED      
218      F_39                                     H_Bergamo_3_dest_9                       15.80                USED      
225      H_Parma_3_origin_12                      F_12                                     47.65                USED      
252      H_Parma_2_origin_14                      F_11                                     47.18                USED      
264      H_Piacenza_2_origin_4                    H_Parma_2_dest_4                         39.70                USED      
270      HUB_1                                    F_19                                     33.04                USED      
281      HUB_1                                    F_26                                     46.36                USED      
283      HUB_1                                    H_Parma_2_origin_14                      51.05                USED      
287      HUB_1                                    F_13                                     49.04                USED      
290      H_Cremona_1_origin_5                     F_19                                     16.94                USED      
300      F_13                                     H_Parma_1_origin_9                       31.82                USED      
302      F_13                                     H_Parma_1_origin_7                       31.82                USED      
305      F_13                                     H_Parma_3_origin_12                      28.59                USED      
311      F_13                                     H_Parma_3_origin_8                       28.59                USED      
313      F_11                                     F_10                                     29.22                USED      
325      F_23                                     H_Pavia_8_origin_13                      26.99                USED      
326      F_23                                     H_Milano_3_dest_15                       39.77                USED      
327      F_23                                     H_Pavia_1_origin_11                      49.10                USED      
328      F_23                                     F_24                                     29.00                USED      
330      F_23                                     F_30                                     41.22                USED      
336      F_23                                     H_Milano_2_dest_3                        37.28                USED      
341      F_38                                     H_Bergamo_3_dest_13                      24.44                USED      
349      F_32                                     H_Bergamo_2_dest_10                      37.11                USED      
359      H_Parma_3_origin_8                       H_Parma_2_dest_8                         34.21                USED      
1        H_Pavia_8_origin_13                      H_Pavia_1_origin_11                      36.62                NOT USED  
2        H_Pavia_8_origin_13                      H_Pavia_10_dest_11                       2.26                 NOT USED  
3        H_Pavia_8_origin_13                      H_Pavia_1_dest_14                        36.62                NOT USED  
5        H_Pavia_8_origin_13                      H_Pavia_1_dest_12                        36.62                NOT USED  
6        H_Pavia_8_origin_13                      H_Pavia_5_dest_7                         34.82                NOT USED  
8        F_19                                     H_Cremona_2_origin_15                    42.61                NOT USED  
10       F_19                                     H_Parma_2_origin_10                      45.01                NOT USED  
11       F_19                                     H_Cremona_2_origin_1                     42.61                NOT USED  
12       F_19                                     H_Parma_2_dest_8                         45.01                NOT USED  
13       F_19                                     F_18                                     29.11                NOT USED  
15       F_19                                     H_Parma_2_origin_14                      45.01                NOT USED  
17       F_19                                     H_Parma_2_dest_4                         45.01                NOT USED  
18       F_19                                     HUB_1                                    33.04                NOT USED  
19       F_19                                     H_Cremona_1_origin_5                     16.94                NOT USED  
20       F_19                                     F_13                                     50.49                NOT USED  
21       F_19                                     F_11                                     50.49                NOT USED  
23       F_10                                     H_Pavia_1_origin_11                      44.69                NOT USED  
24       F_10                                     H_Piacenza_2_origin_3                    39.97                NOT USED  
25       F_10                                     F_18                                     50.49                NOT USED  
26       F_10                                     F_17                                     41.22                NOT USED  
27       F_10                                     H_Piacenza_2_origin_4                    39.97                NOT USED  
29       F_10                                     H_Piacenza_1_dest_6                      47.03                NOT USED  
30       F_10                                     F_11                                     29.22                NOT USED  
32       F_10                                     H_Pavia_5_dest_7                         46.78                NOT USED  
35       F_12                                     H_Piacenza_2_origin_3                    23.05                NOT USED  
36       F_12                                     H_Parma_1_origin_9                       38.36                NOT USED  
37       F_12                                     H_Parma_2_origin_10                      17.96                NOT USED  
38       F_12                                     H_Parma_1_origin_7                       38.36                NOT USED  
39       F_12                                     H_Parma_2_dest_8                         17.96                NOT USED  
42       F_12                                     H_Parma_3_origin_12                      47.65                NOT USED  
43       F_12                                     H_Parma_2_origin_14                      17.96                NOT USED  
44       F_12                                     H_Piacenza_2_origin_4                    23.05                NOT USED  
45       F_12                                     H_Parma_2_dest_4                         17.96                NOT USED  
47       F_12                                     F_13                                     29.22                NOT USED  
49       F_12                                     H_Parma_2_dest_5                         17.96                NOT USED  
50       F_12                                     H_Parma_3_origin_8                       47.65                NOT USED  
51       H_Pavia_1_origin_11                      H_Pavia_8_origin_13                      36.62                NOT USED  
52       H_Pavia_1_origin_11                      F_10                                     44.69                NOT USED  
54       H_Pavia_1_origin_11                      F_17                                     30.74                NOT USED  
55       H_Pavia_1_origin_11                      H_Pavia_1_dest_14                        0.00                 NOT USED  
56       H_Pavia_1_origin_11                      F_23                                     49.10                NOT USED  
57       H_Pavia_1_origin_11                      H_Pavia_1_dest_12                        0.00                 NOT USED  
58       H_Pavia_1_origin_11                      H_Pavia_5_dest_7                         8.42                 NOT USED  
59       H_Cremona_2_origin_15                    F_19                                     42.61                NOT USED  
61       H_Cremona_2_origin_15                    H_Cremona_2_origin_1                     0.00                 NOT USED  
62       H_Cremona_2_origin_15                    F_18                                     44.92                NOT USED  
63       H_Cremona_2_origin_15                    F_33                                     42.72                NOT USED  
64       H_Cremona_2_origin_15                    F_26                                     11.04                NOT USED  
65       H_Cremona_2_origin_15                    H_Cremona_1_origin_5                     34.63                NOT USED  
66       H_Cremona_2_origin_15                    F_32                                     45.00                NOT USED  
67       H_Piacenza_2_origin_3                    F_19                                     35.98                NOT USED  
68       H_Piacenza_2_origin_3                    F_10                                     39.97                NOT USED  
69       H_Piacenza_2_origin_3                    F_12                                     23.05                NOT USED  
70       H_Piacenza_2_origin_3                    H_Parma_2_origin_10                      39.70                NOT USED  
71       H_Piacenza_2_origin_3                    H_Parma_2_dest_8                         39.70                NOT USED  
72       H_Piacenza_2_origin_3                    F_18                                     31.25                NOT USED  
74       H_Piacenza_2_origin_3                    H_Parma_2_origin_14                      39.70                NOT USED  
75       H_Piacenza_2_origin_3                    H_Piacenza_2_origin_4                    0.00                 NOT USED  
76       H_Piacenza_2_origin_3                    H_Parma_2_dest_4                         39.70                NOT USED  
77       H_Piacenza_2_origin_3                    H_Piacenza_1_dest_6                      38.10                NOT USED  
