NODES: 48
ARCS: 354

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_9                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_7                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_2                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_8                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_5                      45.499807       9.167334        H_ORIGIN       
H_Parma_3_origin_4                       44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_14                     45.183361       9.145183        H_ORIGIN       
H_Pavia_8_origin_1                       45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_10                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_13                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_3                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_12                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_6                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_5                       45.695518       9.659230        H_DESTINATION  
H_Cremona_1_dest_2                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_1                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_10                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_14                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_9                        45.499807       9.167334        H_DESTINATION  
H_Parma_1_dest_3                         44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_11                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_12                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_6                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_4                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_7                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_13                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_15                        45.190881       9.149624        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_27                                     45.289630       10.154504       FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
6        F_16                                     H_Pavia_10_dest_6                        28.58                USED      
10       F_16                                     F_17                                     29.11                USED      
11       F_16                                     H_Pavia_10_dest_12                       28.58                USED      
23       H_Cremona_2_origin_2                     H_Cremona_1_dest_2                       34.63                USED      
27       F_10                                     F_16                                     50.49                USED      
28       F_10                                     H_Pavia_1_dest_4                         44.69                USED      
31       F_10                                     H_Piacenza_1_origin_12                   47.03                USED      
36       F_12                                     H_Parma_1_dest_8                         38.36                USED      
37       F_12                                     H_Parma_1_dest_3                         38.36                USED      
46       F_12                                     F_11                                     29.22                USED      
48       H_Bergamo_2_origin_7                     F_31                                     41.54                USED      
53       F_19                                     F_12                                     41.22                USED      
64       H_Pavia_8_origin_13                      H_Pavia_9_dest_13                        1.44                 USED      
78       H_Cremona_2_origin_15                    F_24                                     46.96                USED      
87       H_Bergamo_4_origin_11                    F_33                                     26.20                USED      
91       F_31                                     H_Milano_1_dest_9                        45.24                USED      
93       F_31                                     F_24                                     41.22                USED      
97       F_31                                     H_Bergamo_2_dest_5                       41.54                USED      
109      F_24                                     H_Cremona_2_dest_1                       46.96                USED      
115      F_24                                     H_Pavia_9_dest_15                        51.39                USED      
116      F_24                                     H_Pavia_5_dest_7                         49.03                USED      
118      H_Milano_1_origin_5                      F_31                                     45.24                USED      
141      HUB_2                                    F_23                                     29.74                USED      
144      HUB_2                                    F_32                                     46.89                USED      
149      F_18                                     F_12                                     50.49                USED      
161      F_20                                     F_13                                     41.22                USED      
169      H_Pavia_10_origin_14                     F_22                                     22.43                USED      
182      F_33                                     F_27                                     50.36                USED      
190      H_Pavia_8_origin_10                      F_22                                     20.20                USED      
206      F_22                                     H_Milano_1_dest_14                       41.99                USED      
208      F_22                                     H_Milano_1_dest_10                       41.99                USED      
217      F_17                                     F_18                                     29.11                USED      
222      H_Parma_3_origin_4                       F_12                                     47.65                USED      
227      H_Piacenza_1_origin_12                   F_10                                     47.03                USED      
233      H_Piacenza_1_origin_6                    F_10                                     47.03                USED      
239      HUB_3                                    F_10                                     19.37                USED      
262      F_13                                     H_Parma_3_dest_11                        28.59                USED      
263      F_11                                     F_10                                     29.22                USED      
277      F_23                                     F_24                                     29.00                USED      
281      F_23                                     H_Pavia_10_origin_14                     28.04                USED      
282      F_23                                     H_Pavia_8_origin_10                      26.99                USED      
292      H_Pavia_9_origin_3                       F_16                                     29.26                USED      
307      H_Cremona_2_origin_8                     F_19                                     42.61                USED      
319      F_32                                     H_Bergamo_4_origin_11                    31.81                USED      
331      F_27                                     F_20                                     41.22                USED      
338      H_Bergamo_1_origin_9                     F_31                                     41.41                USED      
351      H_Pavia_8_origin_1                       F_23                                     26.99                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_8_origin_13                      30.62                NOT USED  
3        F_16                                     H_Pavia_9_dest_13                        29.26                NOT USED  
4        F_16                                     H_Pavia_1_dest_4                         7.90                 NOT USED  
5        F_16                                     F_24                                     50.42                NOT USED  
7        F_16                                     H_Pavia_10_origin_14                     28.58                NOT USED  
8        F_16                                     H_Pavia_8_origin_10                      30.62                NOT USED  
9        F_16                                     F_22                                     50.42                NOT USED  
12       F_16                                     F_23                                     41.22                NOT USED  
13       F_16                                     H_Pavia_9_origin_3                       29.26                NOT USED  
14       F_16                                     H_Pavia_9_dest_15                        29.26                NOT USED  
15       F_16                                     H_Pavia_5_dest_7                         4.89                 NOT USED  
16       F_16                                     H_Pavia_8_origin_1                       30.62                NOT USED  
17       H_Cremona_2_origin_2                     F_19                                     42.61                NOT USED  
18       H_Cremona_2_origin_2                     H_Cremona_2_origin_15                    0.00                 NOT USED  
19       H_Cremona_2_origin_2                     F_24                                     46.96                NOT USED  
20       H_Cremona_2_origin_2                     F_18                                     44.92                NOT USED  
21       H_Cremona_2_origin_2                     H_Cremona_2_dest_1                       0.00                 NOT USED  
22       H_Cremona_2_origin_2                     F_33                                     42.72                NOT USED  
24       H_Cremona_2_origin_2                     H_Cremona_2_origin_8                     0.00                 NOT USED  
25       H_Cremona_2_origin_2                     F_32                                     45.00                NOT USED  
26       H_Cremona_2_origin_2                     F_27                                     40.03                NOT USED  
29       F_10                                     F_18                                     50.49                NOT USED  
30       F_10                                     F_17                                     41.22                NOT USED  
32       F_10                                     H_Piacenza_1_origin_6                    47.03                NOT USED  
33       F_10                                     HUB_3                                    19.37                NOT USED  
34       F_10                                     F_11                                     29.22                NOT USED  
35       F_10                                     H_Pavia_5_dest_7                         46.78                NOT USED  
38       F_12                                     F_19                                     41.22                NOT USED  
39       F_12                                     F_18                                     50.49                NOT USED  
40       F_12                                     F_20                                     50.49                NOT USED  
41       F_12                                     H_Parma_3_origin_4                       47.65                NOT USED  
42       F_12                                     H_Piacenza_1_origin_12                   33.32                NOT USED  
43       F_12                                     H_Parma_3_dest_11                        47.65                NOT USED  
44       F_12                                     H_Piacenza_1_origin_6                    33.32                NOT USED  
45       F_12                                     F_13                                     29.22                NOT USED  
47       H_Bergamo_2_origin_7                     H_Bergamo_4_origin_11                    30.63                NOT USED  
49       H_Bergamo_2_origin_7                     H_Bergamo_2_dest_5                       0.00                 NOT USED  
50       H_Bergamo_2_origin_7                     F_32                                     37.11                NOT USED  
51       H_Bergamo_2_origin_7                     H_Bergamo_1_origin_9                     2.64                 NOT USED  
52       F_19                                     H_Cremona_2_origin_2                     42.61                NOT USED  
54       F_19                                     H_Cremona_2_origin_15                    42.61                NOT USED  
55       F_19                                     F_18                                     29.11                NOT USED  
56       F_19                                     F_20                                     29.11                NOT USED  
57       F_19                                     H_Cremona_2_dest_1                       42.61                NOT USED  
58       F_19                                     H_Cremona_1_dest_2                       16.94                NOT USED  
59       F_19                                     F_13                                     50.49                NOT USED  
60       F_19                                     F_11                                     50.49                NOT USED  
61       F_19                                     H_Cremona_2_origin_8                     42.61                NOT USED  
62       F_19                                     F_27                                     50.42                NOT USED  
63       H_Pavia_8_origin_13                      F_16                                     30.62                NOT USED  
65       H_Pavia_8_origin_13                      H_Pavia_1_dest_4                         36.62                NOT USED  
66       H_Pavia_8_origin_13                      H_Pavia_10_dest_6                        2.26                 NOT USED  
67       H_Pavia_8_origin_13                      H_Pavia_10_origin_14                     2.26                 NOT USED  
68       H_Pavia_8_origin_13                      H_Pavia_8_origin_10                      0.00                 NOT USED  
69       H_Pavia_8_origin_13                      F_22                                     20.20                NOT USED  
70       H_Pavia_8_origin_13                      H_Pavia_10_dest_12                       2.26                 NOT USED  
71       H_Pavia_8_origin_13                      F_23                                     26.99                NOT USED  
72       H_Pavia_8_origin_13                      H_Pavia_9_origin_3                       1.44                 NOT USED  
73       H_Pavia_8_origin_13                      H_Pavia_9_dest_15                        1.44                 NOT USED  
74       H_Pavia_8_origin_13                      H_Pavia_5_dest_7                         34.82                NOT USED  
75       H_Pavia_8_origin_13                      H_Pavia_8_origin_1                       0.00                 NOT USED  
76       H_Cremona_2_origin_15                    H_Cremona_2_origin_2                     0.00                 NOT USED  
77       H_Cremona_2_origin_15                    F_19                                     42.61                NOT USED  
79       H_Cremona_2_origin_15                    F_18                                     44.92                NOT USED  
80       H_Cremona_2_origin_15                    H_Cremona_2_dest_1                       0.00                 NOT USED  
81       H_Cremona_2_origin_15                    F_33                                     42.72                NOT USED  
