NODES: 47
ARCS: 358

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_4_origin_4                     45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_5                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_3                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_13                     45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_10                     45.466862       9.172003        H_ORIGIN       
H_Parma_1_origin_6                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_2                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_14                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_11                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_12                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_7                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_9                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_1                       45.190881       9.149624        H_ORIGIN       
H_Bergamo_1_dest_1                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_4_dest_6                       45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_10                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_12                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_15                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_7                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_3                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_9                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_11                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_13                        44.856799       10.071196       H_DESTINATION  
H_Pavia_10_dest_5                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_4                         45.032079       9.285239        H_DESTINATION  
H_Pavia_8_dest_2                         45.194742       9.140386        H_DESTINATION  
H_Piacenza_2_dest_14                     44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        H_Milano_2_origin_10                     F_31                                     45.23                USED      
19       F_19                                     F_26                                     41.22                USED      
26       F_16                                     H_Pavia_8_dest_2                         30.62                USED      
28       F_16                                     H_Pavia_1_dest_4                         7.90                 USED      
31       F_16                                     F_17                                     29.11                USED      
38       F_12                                     F_19                                     41.22                USED      
41       F_12                                     H_Piacenza_2_dest_14                     23.05                USED      
42       F_12                                     F_18                                     50.49                USED      
43       F_12                                     H_Parma_2_dest_13                        17.96                USED      
52       H_Milano_1_origin_13                     F_30                                     16.38                USED      
66       H_Cremona_2_origin_15                    H_Cremona_1_dest_15                      34.63                USED      
76       H_Parma_2_origin_2                       F_11                                     47.18                USED      
81       F_31                                     F_25                                     50.36                USED      
86       F_31                                     F_23                                     50.36                USED      
87       F_31                                     H_Milano_2_dest_3                        45.23                USED      
89       F_31                                     H_Bergamo_1_dest_1                       41.41                USED      
93       F_25                                     F_31                                     50.36                USED      
94       F_25                                     H_Cremona_1_dest_10                      47.78                USED      
105      F_24                                     F_16                                     50.42                USED      
110      F_24                                     F_18                                     50.42                USED      
111      F_24                                     F_30                                     50.36                USED      
131      HUB_2                                    F_23                                     29.74                USED      
135      HUB_2                                    F_32                                     46.89                USED      
141      F_18                                     F_12                                     50.49                USED      
145      F_18                                     F_24                                     50.42                USED      
147      F_18                                     H_Cremona_1_dest_12                      41.43                USED      
153      F_18                                     H_Cremona_1_dest_7                       41.43                USED      
157      F_30                                     F_24                                     50.36                USED      
163      F_30                                     H_Milano_1_dest_8                        16.38                USED      
167      H_Bergamo_4_origin_5                     F_32                                     31.81                USED      
171      F_33                                     H_Bergamo_4_dest_6                       26.20                USED      
183      F_22                                     H_Milano_3_dest_9                        36.04                USED      
192      F_26                                     H_Cremona_2_origin_15                    11.04                USED      
197      F_26                                     F_33                                     41.22                USED      
203      F_17                                     F_16                                     29.11                USED      
208      F_17                                     F_18                                     29.11                USED      
210      F_17                                     F_11                                     50.49                USED      
213      H_Parma_3_origin_14                      F_12                                     47.65                USED      
223      H_Pavia_1_origin_7                       F_17                                     30.74                USED      
232      H_Bergamo_4_origin_4                     F_32                                     31.81                USED      
239      HUB_1                                    H_Parma_2_origin_2                       51.05                USED      
243      HUB_1                                    F_26                                     46.36                USED      
249      HUB_1                                    H_Cremona_1_origin_3                     22.87                USED      
257      H_Pavia_10_origin_11                     F_16                                     28.58                USED      
269      F_11                                     H_Parma_2_dest_11                        47.18                USED      
273      F_11                                     F_17                                     50.49                USED      
278      H_Cremona_1_origin_3                     F_25                                     47.78                USED      
289      F_23                                     F_31                                     50.36                USED      
292      F_23                                     H_Pavia_10_dest_5                        28.04                USED      
304      F_23                                     H_Pavia_9_origin_1                       26.60                USED      
305      H_Parma_1_origin_6                       F_12                                     38.36                USED      
315      H_Pavia_1_origin_12                      F_17                                     30.74                USED      
322      F_32                                     F_31                                     28.89                USED      
324      F_32                                     F_24                                     50.36                USED      
327      F_32                                     H_Bergamo_4_origin_5                     31.81                USED      
330      F_32                                     H_Bergamo_4_origin_4                     31.81                USED      
336      H_Pavia_8_origin_9                       F_22                                     20.20                USED      
342      H_Parma_3_origin_8                       F_12                                     47.65                USED      
356      H_Pavia_9_origin_1                       F_23                                     26.60                USED      
1        H_Milano_2_origin_10                     H_Milano_1_origin_13                     6.31                 NOT USED  
3        H_Milano_2_origin_10                     HUB_2                                    29.86                NOT USED  
4        H_Milano_2_origin_10                     H_Milano_3_dest_9                        3.73                 NOT USED  
5        H_Milano_2_origin_10                     F_30                                     17.39                NOT USED  
6        H_Milano_2_origin_10                     F_22                                     36.27                NOT USED  
7        H_Milano_2_origin_10                     F_23                                     37.28                NOT USED  
8        H_Milano_2_origin_10                     H_Milano_2_dest_3                        0.00                 NOT USED  
9        H_Milano_2_origin_10                     H_Milano_1_dest_8                        6.31                 NOT USED  
10       F_19                                     F_12                                     41.22                NOT USED  
11       F_19                                     H_Cremona_2_origin_15                    42.61                NOT USED  
12       F_19                                     H_Parma_2_dest_11                        45.01                NOT USED  
13       F_19                                     H_Parma_2_origin_2                       45.01                NOT USED  
14       F_19                                     H_Cremona_1_dest_10                      16.94                NOT USED  
15       F_19                                     F_25                                     50.42                NOT USED  
16       F_19                                     H_Piacenza_2_dest_14                     35.98                NOT USED  
17       F_19                                     H_Cremona_1_dest_12                      16.94                NOT USED  
18       F_19                                     F_18                                     29.11                NOT USED  
20       F_19                                     H_Parma_2_dest_13                        45.01                NOT USED  
21       F_19                                     HUB_1                                    33.04                NOT USED  
22       F_19                                     F_11                                     50.49                NOT USED  
23       F_19                                     H_Cremona_1_origin_3                     16.94                NOT USED  
24       F_19                                     H_Cremona_1_dest_15                      16.94                NOT USED  
25       F_19                                     H_Cremona_1_dest_7                       16.94                NOT USED  
27       F_16                                     F_24                                     50.42                NOT USED  
