NODES: 58
ARCS: 471

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_2                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_3                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_7                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_4                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_5                     45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_6                     45.145060       10.012796       H_ORIGIN       
H_Milano_1_origin_18                     45.499807       9.167334        H_ORIGIN       
H_Milano_3_origin_15                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_8                      45.471898       9.145035        H_ORIGIN       
H_Parma_3_origin_16                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_17                      44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_14                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_13                      45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_19                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_1                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_11                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_12                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_20                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_10                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_6                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_20                      45.695518       9.659230        H_DESTINATION  
H_Cremona_1_dest_17                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_4                       45.145060       10.012796       H_DESTINATION  
H_Milano_2_dest_1                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_15                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_5                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_18                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_12                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_11                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_2                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_16                        45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_19                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_10                        45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_13                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_14                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_8                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_9                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     F_10                                     50.49                USED      
7        F_16                                     F_17                                     29.11                USED      
10       F_16                                     H_Pavia_8_dest_10                        30.62                USED      
18       F_12                                     F_18                                     50.49                USED      
36       F_10                                     H_Piacenza_1_dest_13                     47.03                USED      
38       F_10                                     H_Piacenza_1_dest_14                     47.03                USED      
56       F_31                                     H_Bergamo_2_origin_4                     41.54                USED      
57       F_31                                     H_Bergamo_1_origin_7                     41.41                USED      
61       F_31                                     F_23                                     50.36                USED      
62       F_31                                     F_38                                     41.22                USED      
67       H_Milano_3_origin_15                     H_Milano_2_dest_15                       3.73                 USED      
78       H_Pavia_1_origin_13                      F_10                                     44.69                USED      
95       F_25                                     F_32                                     41.22                USED      
98       H_Parma_3_origin_16                      F_12                                     47.65                USED      
109      H_Bergamo_3_origin_5                     F_38                                     24.44                USED      
116      H_Piacenza_2_origin_10                   F_17                                     48.55                USED      
125      HUB_2                                    F_31                                     21.41                USED      
126      HUB_2                                    H_Milano_3_origin_15                     33.59                USED      
136      HUB_2                                    H_Milano_3_origin_8                      33.59                USED      
144      HUB_2                                    H_Milano_1_origin_18                     32.51                USED      
146      HUB_2                                    F_23                                     29.74                USED      
157      F_18                                     F_25                                     41.22                USED      
160      F_18                                     F_17                                     29.11                USED      
166      F_20                                     H_Cremona_1_dest_17                      23.45                USED      
170      F_20                                     F_13                                     41.22                USED      
173      H_Pavia_10_origin_14                     F_16                                     28.58                USED      
192      F_30                                     H_Milano_2_dest_5                        17.39                USED      
197      H_Pavia_9_origin_11                      F_16                                     29.26                USED      
212      F_26                                     F_20                                     50.42                USED      
214      F_26                                     F_32                                     50.36                USED      
215      F_26                                     H_Cremona_1_dest_4                       29.32                USED      
226      F_22                                     H_Milano_2_dest_1                        36.27                USED      
235      F_17                                     F_16                                     29.11                USED      
242      F_17                                     F_11                                     50.49                USED      
245      F_17                                     H_Pavia_5_dest_16                        24.44                USED      
255      H_Milano_3_origin_8                      F_23                                     39.77                USED      
264      H_Bergamo_2_origin_4                     F_32                                     37.11                USED      
279      H_Piacenza_2_origin_9                    H_Piacenza_1_dest_9                      38.10                USED      
290      H_Piacenza_1_origin_12                   H_Parma_1_dest_12                        42.59                USED      
308      HUB_1                                    F_13                                     49.04                USED      
315      HUB_1                                    H_Cremona_1_origin_6                     22.87                USED      
322      H_Parma_3_origin_17                      F_13                                     28.59                USED      
328      F_13                                     F_20                                     41.22                USED      
329      F_13                                     H_Parma_3_dest_2                         28.59                USED      
332      F_13                                     H_Parma_3_origin_17                      28.59                USED      
336      F_11                                     H_Parma_2_dest_11                        47.18                USED      
338      F_11                                     F_18                                     41.22                USED      
344      F_11                                     H_Piacenza_1_dest_8                      28.38                USED      
348      H_Bergamo_1_origin_7                     F_31                                     41.41                USED      
366      H_Milano_1_origin_18                     H_Milano_3_dest_18                       6.10                 USED      
368      H_Bergamo_1_origin_3                     F_31                                     41.41                USED      
380      F_23                                     H_Pavia_1_origin_13                      49.10                USED      
382      F_23                                     H_Pavia_10_origin_14                     28.04                USED      
384      F_23                                     H_Pavia_9_origin_11                      26.60                USED      
385      F_23                                     H_Pavia_9_dest_3                         26.60                USED      
387      F_23                                     F_17                                     50.42                USED      
391      F_23                                     H_Pavia_10_dest_7                        28.04                USED      
396      F_23                                     H_Pavia_8_origin_19                      26.99                USED      
398      F_23                                     H_Pavia_9_origin_1                       26.60                USED      
408      H_Piacenza_1_origin_20                   F_11                                     28.38                USED      
413      F_38                                     H_Bergamo_3_origin_5                     24.44                USED      
414      F_38                                     F_30                                     50.30                USED      
428      H_Pavia_8_origin_19                      H_Pavia_5_dest_19                        34.82                USED      
433      F_32                                     H_Bergamo_2_dest_20                      37.11                USED      
437      F_32                                     F_26                                     50.36                USED      
440      F_32                                     H_Bergamo_1_dest_6                       35.22                USED      
448      H_Cremona_1_origin_6                     F_26                                     29.32                USED      
456      H_Pavia_9_origin_1                       F_22                                     21.42                USED      
471      H_Bergamo_1_origin_2                     F_32                                     35.22                USED      
2        F_16                                     H_Pavia_1_origin_13                      7.90                 NOT USED  
3        F_16                                     H_Pavia_10_origin_14                     28.58                NOT USED  
4        F_16                                     H_Pavia_9_origin_11                      29.26                NOT USED  
5        F_16                                     H_Pavia_9_dest_3                         29.26                NOT USED  
6        F_16                                     F_22                                     50.42                NOT USED  
8        F_16                                     H_Pavia_10_dest_7                        28.58                NOT USED  
9        F_16                                     H_Pavia_5_dest_19                        4.89                 NOT USED  
11       F_16                                     F_23                                     41.22                NOT USED  
12       F_16                                     H_Pavia_5_dest_16                        4.89                 NOT USED  
13       F_16                                     H_Pavia_8_origin_19                      30.62                NOT USED  
14       F_16                                     H_Pavia_9_origin_1                       29.26                NOT USED  
15       F_12                                     H_Parma_2_dest_11                        17.96                NOT USED  
