NODES: 60
ARCS: 519

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_4                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_6                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_8                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_3_origin_17                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_12                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_10                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_13                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_15                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_9                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_11                    45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_20                     45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_5                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_14                      44.694109       10.104399       H_ORIGIN       
H_Parma_3_origin_16                      44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_19                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_2                       45.066405       9.324603        H_ORIGIN       
H_Piacenza_1_origin_3                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_7                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_1                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_18                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_11                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_14                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_10                      45.792479       9.659418        H_DESTINATION  
H_Cremona_2_dest_1                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_16                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_17                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_8                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_4                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_5                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_7                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_19                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_9                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_6                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_12                        45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_3                         45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_13                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_20                        45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_18                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_2                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_19                                     F_12                                     41.22                USED      
7        F_19                                     F_26                                     41.22                USED      
16       F_19                                     H_Piacenza_2_origin_18                   35.98                USED      
18       F_10                                     H_Pavia_5_dest_3                         46.78                USED      
22       F_10                                     H_Piacenza_1_dest_2                      47.03                USED      
29       F_10                                     F_11                                     29.22                USED      
35       H_Pavia_5_origin_2                       F_10                                     46.78                USED      
47       F_12                                     F_19                                     41.22                USED      
49       F_12                                     F_18                                     50.49                USED      
52       F_12                                     H_Parma_3_dest_19                        47.65                USED      
56       F_12                                     H_Piacenza_1_origin_7                    33.32                USED      
60       F_12                                     H_Parma_1_dest_4                         38.36                USED      
66       H_Cremona_1_origin_13                    F_18                                     41.43                USED      
77       F_16                                     H_Pavia_10_dest_9                        28.58                USED      
83       F_16                                     H_Pavia_8_dest_13                        30.62                USED      
88       F_31                                     H_Milano_3_dest_8                        48.65                USED      
90       F_31                                     H_Bergamo_1_origin_8                     41.41                USED      
102      F_31                                     F_23                                     50.36                USED      
111      F_24                                     F_30                                     50.36                USED      
114      F_24                                     H_Pavia_5_dest_12                        49.03                USED      
125      H_Bergamo_4_origin_12                    F_32                                     31.81                USED      
127      H_Parma_3_origin_16                      F_12                                     47.65                USED      
134      H_Bergamo_1_origin_8                     F_31                                     41.41                USED      
147      H_Cremona_1_origin_9                     F_18                                     41.43                USED      
158      HUB_2                                    F_31                                     21.41                USED      
169      HUB_2                                    H_Milano_3_origin_5                      33.59                USED      
177      HUB_2                                    H_Milano_2_origin_20                     29.86                USED      
188      F_18                                     F_24                                     50.42                USED      
190      F_18                                     H_Cremona_2_dest_1                       44.92                USED      
192      F_18                                     F_17                                     29.11                USED      
200      F_20                                     F_12                                     50.49                USED      
214      F_30                                     H_Milano_2_dest_17                       17.39                USED      
217      F_30                                     H_Milano_1_dest_16                       16.38                USED      
230      H_Bergamo_1_origin_4                     F_32                                     35.22                USED      
232      H_Parma_1_origin_14                      F_12                                     38.36                USED      
243      F_26                                     F_19                                     41.22                USED      
252      F_26                                     F_32                                     50.36                USED      
257      F_22                                     H_Pavia_8_dest_20                        20.20                USED      
269      F_17                                     F_16                                     29.11                USED      
276      F_17                                     F_11                                     50.49                USED      
279      F_17                                     H_Pavia_1_dest_15                        30.74                USED      
282      F_39                                     H_Bergamo_3_dest_10                      15.80                USED      
299      H_Milano_3_origin_5                      F_23                                     39.77                USED      
300      H_Bergamo_1_origin_6                     F_31                                     41.41                USED      
314      H_Piacenza_2_origin_1                    F_18                                     31.25                USED      
331      H_Cremona_1_origin_10                    F_26                                     29.32                USED      
335      HUB_1                                    F_19                                     33.04                USED      
341      HUB_1                                    H_Cremona_1_origin_9                     22.87                USED      
342      HUB_1                                    F_20                                     8.30                 USED      
353      HUB_1                                    F_13                                     49.04                USED      
354      HUB_1                                    H_Cremona_1_origin_15                    22.87                USED      
365      H_Piacenza_1_origin_7                    H_Parma_2_dest_7                         46.29                USED      
374      H_Pavia_1_origin_19                      F_10                                     44.69                USED      
390      F_13                                     H_Parma_1_origin_14                      31.82                USED      
399      F_11                                     F_12                                     29.22                USED      
406      F_11                                     H_Parma_2_dest_5                         47.18                USED      
413      H_Cremona_1_origin_15                    F_18                                     41.43                USED      
425      H_Milano_2_origin_20                     F_22                                     36.27                USED      
441      F_23                                     F_17                                     50.42                USED      
447      F_23                                     H_Pavia_1_dest_6                         49.10                USED      
453      F_38                                     F_30                                     50.30                USED      
461      H_Piacenza_1_origin_3                    F_10                                     47.03                USED      
474      F_32                                     F_24                                     50.36                USED      
480      F_32                                     F_26                                     50.36                USED      
481      F_32                                     F_39                                     41.22                USED      
482      F_32                                     H_Bergamo_1_dest_11                      35.22                USED      
484      F_32                                     H_Bergamo_1_dest_14                      35.22                USED      
495      H_Bergamo_3_origin_17                    F_38                                     24.44                USED      
