NODES: 57
ARCS: 466

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_13                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_11                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_6                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_5                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_7                     45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_8                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_17                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_3                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_9                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_19                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_20                     45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_10                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_16                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_4                      45.466862       9.172003        H_ORIGIN       
H_Parma_2_origin_2                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_18                      44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_12                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_15                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_1                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_14                   44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_2                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_3                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_8                       45.792479       9.659418        H_DESTINATION  
H_Cremona_1_dest_13                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_7                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_12                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_19                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_20                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_11                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_18                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_1                         44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_14                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_16                        44.856799       10.071196       H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_17                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_4                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_9                         45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_5                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_6                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_10                     44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
7        F_16                                     F_17                                     29.11                USED      
13       F_19                                     F_12                                     41.22                USED      
16       F_19                                     F_26                                     41.22                USED      
36       H_Milano_2_origin_10                     F_23                                     37.28                USED      
43       F_12                                     H_Parma_1_dest_11                        38.36                USED      
51       H_Parma_2_origin_2                       F_19                                     45.01                USED      
76       F_31                                     F_23                                     50.36                USED      
84       F_24                                     H_Pavia_5_dest_9                         49.03                USED      
100      H_Bergamo_3_origin_5                     F_38                                     24.44                USED      
105      HUB_2                                    H_Milano_2_origin_10                     29.86                USED      
118      HUB_2                                    H_Milano_2_origin_4                      29.86                USED      
120      HUB_2                                    H_Milano_1_origin_19                     32.51                USED      
123      HUB_2                                    F_32                                     46.89                USED      
137      H_Bergamo_4_origin_7                     F_33                                     26.20                USED      
148      F_18                                     F_17                                     29.11                USED      
164      H_Bergamo_1_origin_13                    F_32                                     35.22                USED      
179      F_30                                     F_23                                     41.22                USED      
184      F_33                                     F_26                                     41.22                USED      
190      F_26                                     F_19                                     41.22                USED      
193      F_26                                     H_Cremona_1_dest_13                      29.32                USED      
197      F_26                                     F_32                                     50.36                USED      
198      F_26                                     H_Cremona_1_dest_7                       29.32                USED      
204      H_Parma_3_origin_18                      H_Parma_1_dest_18                        17.57                USED      
213      F_17                                     H_Pavia_1_dest_17                        30.74                USED      
214      F_17                                     H_Piacenza_2_dest_10                     48.55                USED      
215      F_17                                     F_11                                     50.49                USED      
224      F_39                                     H_Bergamo_3_dest_3                       15.80                USED      
233      H_Cremona_2_origin_9                     F_24                                     46.96                USED      
250      H_Milano_2_origin_4                      F_23                                     37.28                USED      
260      H_Cremona_2_origin_3                     F_32                                     45.00                USED      
285      HUB_1                                    H_Cremona_1_origin_17                    22.87                USED      
292      H_Milano_1_origin_19                     H_Milano_2_dest_19                       6.31                 USED      
308      H_Piacenza_1_origin_14                   H_Parma_2_dest_14                        46.29                USED      
315      F_11                                     H_Parma_2_dest_1                         47.18                USED      
319      F_11                                     H_Parma_2_dest_16                        47.18                USED      
324      F_38                                     F_30                                     50.30                USED      
336      F_23                                     H_Pavia_1_dest_4                         49.10                USED      
341      F_23                                     H_Pavia_8_dest_5                         26.99                USED      
342      F_23                                     H_Milano_1_dest_12                       43.28                USED      
344      F_23                                     F_17                                     50.42                USED      
347      F_23                                     H_Pavia_9_dest_6                         26.60                USED      
356      F_32                                     H_Bergamo_2_dest_2                       37.11                USED      
358      F_32                                     H_Bergamo_4_origin_7                     31.81                USED      
361      F_32                                     F_26                                     50.36                USED      
362      F_32                                     F_39                                     41.22                USED      
377      H_Pavia_1_origin_12                      F_23                                     49.10                USED      
389      H_Milano_2_origin_16                     F_23                                     37.28                USED      
391      H_Bergamo_2_origin_6                     F_31                                     41.54                USED      
404      H_Pavia_5_origin_15                      H_Pavia_1_dest_15                        8.42                 USED      
416      H_Cremona_1_origin_17                    F_18                                     41.43                USED      
432      H_Bergamo_4_origin_8                     H_Bergamo_3_dest_8                       41.24                USED      
440      H_Milano_1_origin_20                     H_Milano_3_dest_20                       6.10                 USED      
445      H_Pavia_8_origin_1                       F_16                                     30.62                USED      
463      H_Bergamo_2_origin_11                    F_32                                     37.11                USED      
1        F_16                                     H_Pavia_1_dest_15                        7.90                 NOT USED  
2        F_16                                     H_Pavia_1_dest_4                         7.90                 NOT USED  
3        F_16                                     F_24                                     50.42                NOT USED  
4        F_16                                     H_Pavia_5_dest_9                         4.89                 NOT USED  
5        F_16                                     H_Pavia_8_dest_5                         30.62                NOT USED  
6        F_16                                     H_Pavia_1_dest_17                        7.90                 NOT USED  
8        F_16                                     H_Pavia_9_dest_6                         29.26                NOT USED  
9        F_16                                     F_23                                     41.22                NOT USED  
