NODES: 60
ARCS: 528

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_10                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_3_origin_1                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_16                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_14                    45.635359       9.872452        H_ORIGIN       
H_Milano_2_origin_6                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_18                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_2                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_9                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_15                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_17                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_4                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_12                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_13                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_3                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_5                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_11                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_19                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_20                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_5                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_16                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_9                       45.635359       9.872452        H_DESTINATION  
H_Cremona_2_dest_1                       45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_14                      45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_10                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_18                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_19                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_20                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_3                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_17                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_12                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_13                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_2                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_4                         45.032079       9.285239        H_DESTINATION  
H_Pavia_8_dest_11                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_15                        45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_7                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
8        F_16                                     H_Pavia_8_dest_11                        30.62                USED      
9        F_16                                     F_17                                     29.11                USED      
22       F_19                                     F_26                                     41.22                USED      
29       F_19                                     H_Piacenza_2_origin_11                   35.98                USED      
30       F_12                                     F_19                                     41.22                USED      
31       F_12                                     H_Parma_1_dest_3                         38.36                USED      
34       F_12                                     F_18                                     50.49                USED      
42       F_12                                     H_Parma_3_dest_17                        47.65                USED      
53       F_10                                     F_11                                     29.22                USED      
62       H_Milano_3_origin_18                     H_Milano_2_dest_18                       3.73                 USED      
75       H_Bergamo_3_origin_16                    H_Bergamo_4_dest_16                      41.24                USED      
81       H_Piacenza_2_origin_19                   F_17                                     48.55                USED      
101      F_31                                     H_Bergamo_1_origin_10                    41.41                USED      
102      F_31                                     H_Milano_1_dest_10                       45.24                USED      
107      H_Parma_1_origin_9                       F_12                                     38.36                USED      
124      F_25                                     F_32                                     41.22                USED      
131      F_24                                     F_30                                     50.36                USED      
140      H_Pavia_1_origin_17                      F_10                                     44.69                USED      
162      H_Pavia_9_origin_13                      H_Pavia_10_dest_13                       1.55                 USED      
172      HUB_2                                    F_31                                     21.41                USED      
190      HUB_2                                    H_Milano_2_origin_6                      29.86                USED      
192      HUB_2                                    F_23                                     29.74                USED      
199      F_18                                     F_12                                     50.49                USED      
202      F_18                                     F_25                                     41.22                USED      
203      F_18                                     F_24                                     50.42                USED      
212      F_30                                     H_Milano_1_dest_8                        16.38                USED      
223      F_30                                     F_38                                     50.30                USED      
234      H_Milano_3_origin_2                      F_23                                     39.77                USED      
241      H_Pavia_8_origin_12                      H_Pavia_10_dest_12                       2.26                 USED      
248      F_33                                     H_Bergamo_4_dest_9                       26.20                USED      
255      F_33                                     H_Cremona_2_dest_14                      42.72                USED      
263      F_26                                     F_33                                     41.22                USED      
267      F_17                                     F_16                                     29.11                USED      
274      F_17                                     F_18                                     29.11                USED      
278      F_17                                     F_23                                     50.42                USED      
292      F_39                                     F_32                                     41.22                USED      
296      H_Bergamo_4_origin_14                    F_33                                     26.20                USED      
308      H_Piacenza_2_origin_20                   F_17                                     48.55                USED      
323      H_Piacenza_1_origin_5                    F_11                                     28.38                USED      
325      HUB_1                                    F_19                                     33.04                USED      
339      HUB_1                                    H_Parma_2_origin_7                       51.05                USED      
341      HUB_1                                    F_13                                     49.04                USED      
351      H_Bergamo_3_origin_1                     F_39                                     15.80                USED      
364      H_Parma_2_origin_7                       H_Piacenza_1_dest_7                      46.29                USED      
374      H_Bergamo_1_origin_10                    F_31                                     41.41                USED      
393      F_13                                     H_Parma_3_origin_8                       28.59                USED      
395      F_11                                     F_12                                     29.22                USED      
398      F_11                                     F_18                                     41.22                USED      
410      H_Milano_2_origin_6                      F_30                                     17.39                USED      
421      H_Piacenza_2_origin_11                   F_17                                     48.55                USED      
432      F_23                                     H_Milano_2_dest_19                       37.28                USED      
437      F_23                                     H_Pavia_9_origin_13                      26.60                USED      
442      F_23                                     H_Pavia_8_origin_12                      26.99                USED      
445      F_23                                     H_Milano_3_dest_20                       39.77                USED      
448      F_23                                     H_Pavia_10_dest_2                        28.04                USED      
452      F_23                                     H_Pavia_1_origin_15                      49.10                USED      
453      F_23                                     H_Pavia_5_origin_4                       42.81                USED      
459      F_38                                     H_Bergamo_3_dest_6                       24.44                USED      
463      H_Pavia_9_origin_3                       F_16                                     29.26                USED      
478      F_32                                     H_Bergamo_1_dest_5                       35.22                USED      
483      F_32                                     H_Cremona_2_dest_1                       45.00                USED      
495      H_Pavia_1_origin_15                      H_Pavia_8_dest_15                        36.62                USED      
507      H_Parma_3_origin_8                       F_12                                     47.65                USED      
515      H_Pavia_5_origin_4                       H_Pavia_1_dest_4                         8.42                 USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_1_dest_4                         7.90                 NOT USED  
