NODES: 58
ARCS: 491

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_15                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_10                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_7                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_20                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_9                     45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_8                     45.289308       9.855996        H_ORIGIN       
H_Milano_3_origin_13                     45.471898       9.145035        H_ORIGIN       
H_Parma_3_origin_12                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_2                       44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_5                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_17                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_1                       45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_18                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_6                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_19                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_16                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_4                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_11                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_14                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_3                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_9                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_10                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_16                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_3                       45.792479       9.659418        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_8                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_14                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_18                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_13                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_15                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_2                         44.694109       10.104399       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_1                         45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_5                         45.032079       9.285239        H_DESTINATION  
H_Pavia_8_dest_20                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_4                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_17                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_19                        45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_6                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_11                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_19                                     F_12                                     41.22                USED      
17       F_10                                     H_Piacenza_1_dest_6                      47.03                USED      
25       F_12                                     H_Parma_1_dest_15                        38.36                USED      
26       F_12                                     F_18                                     50.49                USED      
29       F_12                                     H_Parma_1_dest_13                        38.36                USED      
46       F_31                                     H_Bergamo_1_origin_15                    41.41                USED      
48       F_31                                     F_23                                     50.36                USED      
49       F_31                                     F_38                                     41.22                USED      
52       F_31                                     H_Bergamo_2_origin_10                    41.54                USED      
60       F_25                                     F_32                                     41.22                USED      
68       H_Pavia_10_origin_5                      H_Pavia_1_dest_5                         34.45                USED      
80       F_24                                     F_18                                     50.42                USED      
88       F_24                                     F_23                                     29.00                USED      
104      H_Pavia_1_origin_17                      H_Pavia_9_dest_17                        35.34                USED      
110      HUB_2                                    F_31                                     21.41                USED      
120      HUB_2                                    H_Milano_3_origin_13                     33.59                USED      
130      HUB_2                                    F_23                                     29.74                USED      
135      HUB_2                                    F_32                                     46.89                USED      
147      H_Bergamo_4_origin_20                    F_32                                     31.81                USED      
156      H_Bergamo_4_origin_9                     H_Bergamo_2_dest_9                       30.63                USED      
161      F_18                                     F_12                                     50.49                USED      
162      F_18                                     F_25                                     41.22                USED      
163      F_18                                     F_24                                     50.42                USED      
176      H_Piacenza_1_origin_11                   H_Piacenza_2_dest_11                     38.10                USED      
193      H_Pavia_5_origin_1                       H_Pavia_1_dest_1                         8.42                 USED      
203      F_30                                     F_23                                     41.22                USED      
204      F_30                                     F_38                                     50.30                USED      
212      H_Milano_3_origin_13                     F_23                                     39.77                USED      
215      F_26                                     F_19                                     41.22                USED      
220      F_26                                     H_Cremona_2_origin_8                     11.04                USED      
232      F_17                                     F_23                                     50.42                USED      
238      F_39                                     H_Bergamo_3_dest_3                       15.80                USED      
246      H_Parma_3_origin_12                      F_12                                     47.65                USED      
265      H_Pavia_5_origin_18                      F_23                                     42.81                USED      
281      H_Pavia_9_origin_16                      F_23                                     26.60                USED      
291      H_Parma_3_origin_2                       H_Parma_1_dest_2                         17.57                USED      
300      HUB_1                                    F_26                                     46.36                USED      
307      HUB_1                                    F_13                                     49.04                USED      
321      H_Piacenza_1_origin_14                   F_11                                     28.38                USED      
333      H_Bergamo_3_origin_7                     F_38                                     24.44                USED      
338      F_13                                     H_Parma_3_origin_12                      28.59                USED      
347      F_11                                     F_18                                     41.22                USED      
349      F_11                                     F_17                                     50.49                USED      
364      H_Bergamo_1_origin_15                    F_32                                     35.22                USED      
366      H_Pavia_5_origin_6                       F_10                                     46.78                USED      
385      F_23                                     H_Pavia_10_origin_5                      28.04                USED      
386      F_23                                     F_24                                     29.00                USED      
387      F_23                                     H_Pavia_1_origin_17                      49.10                USED      
388      F_23                                     H_Pavia_8_dest_20                        26.99                USED      
390      F_23                                     H_Pavia_5_origin_1                       42.81                USED      
391      F_23                                     F_30                                     41.22                USED      
392      F_23                                     H_Milano_2_dest_12                       37.28                USED      
395      F_23                                     H_Pavia_5_origin_18                      42.81                USED      
396      F_23                                     H_Pavia_10_dest_7                        28.04                USED      
397      F_23                                     H_Pavia_9_origin_16                      26.60                USED      
400      F_23                                     H_Milano_3_dest_14                       39.77                USED      
404      F_23                                     H_Pavia_9_origin_4                       26.60                USED      
405      F_23                                     H_Milano_2_dest_8                        37.28                USED      
406      F_23                                     H_Pavia_8_origin_19                      26.99                USED      
407      F_23                                     H_Milano_3_dest_18                       39.77                USED      
418      H_Pavia_9_origin_4                       H_Pavia_8_dest_4                         1.44                 USED      
427      F_38                                     F_30                                     50.30                USED      
430      F_38                                     H_Bergamo_3_dest_16                      24.44                USED      
431      F_38                                     H_Bergamo_3_origin_7                     24.44                USED      
450      H_Pavia_8_origin_19                      H_Pavia_9_dest_19                        1.44                 USED      
