NODES: 58
ARCS: 495

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_17                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_4                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_15                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_11                    45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_7                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_13                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_20                     45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_19                     45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_16                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_9                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_12                      44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_1                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_14                      44.717104       10.229990       H_ORIGIN       
H_Pavia_1_origin_10                      45.032079       9.285239        H_ORIGIN       
H_Pavia_9_origin_6                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_5                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_8                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_18                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_2                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_3                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_11                      45.687747       9.675601        H_DESTINATION  
H_Cremona_1_dest_19                      45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_15                      45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_8                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_17                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_9                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_6                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_13                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_16                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_3                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_2                         44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_4                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_12                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_14                       45.183361       9.145183        H_DESTINATION  
H_Pavia_8_dest_10                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_20                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_5                         45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_7                         45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_1                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_18                     44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
5        F_16                                     H_Pavia_8_dest_5                         30.62                USED      
8        F_16                                     H_Pavia_8_dest_7                         30.62                USED      
9        F_16                                     H_Pavia_10_dest_12                       28.58                USED      
11       F_16                                     H_Pavia_10_dest_14                       28.58                USED      
14       F_19                                     F_12                                     41.22                USED      
15       F_19                                     H_Piacenza_2_origin_3                    35.98                USED      
27       F_19                                     H_Piacenza_2_origin_18                   35.98                USED      
31       F_10                                     F_16                                     50.49                USED      
44       F_12                                     H_Parma_1_dest_3                         38.36                USED      
47       F_12                                     F_18                                     50.49                USED      
50       F_12                                     H_Parma_3_dest_2                         47.65                USED      
53       F_12                                     H_Parma_1_dest_13                        38.36                USED      
58       F_12                                     H_Parma_1_dest_16                        38.36                USED      
60       F_12                                     H_Piacenza_1_origin_8                    33.32                USED      
68       H_Milano_3_origin_9                      H_Milano_2_dest_9                        3.73                 USED      
74       F_31                                     F_25                                     50.36                USED      
76       F_31                                     H_Bergamo_2_origin_15                    41.54                USED      
79       F_31                                     H_Bergamo_1_origin_4                     41.41                USED      
80       F_31                                     H_Milano_1_dest_17                       45.24                USED      
91       H_Piacenza_2_origin_3                    F_12                                     23.05                USED      
110      F_25                                     H_Cremona_1_dest_19                      47.78                USED      
120      F_24                                     F_18                                     50.42                USED      
136      H_Pavia_1_origin_10                      H_Pavia_8_dest_10                        36.62                USED      
138      H_Parma_1_origin_12                      F_12                                     38.36                USED      
156      H_Bergamo_2_origin_15                    F_32                                     37.11                USED      
157      HUB_2                                    H_Milano_3_origin_9                      33.59                USED      
158      HUB_2                                    F_31                                     21.41                USED      
175      HUB_2                                    F_23                                     29.74                USED      
182      HUB_2                                    H_Milano_3_origin_16                     33.59                USED      
187      F_18                                     F_12                                     50.49                USED      
194      F_18                                     F_17                                     29.11                USED      
198      F_18                                     H_Cremona_2_dest_8                       44.92                USED      
203      H_Piacenza_2_origin_2                    F_12                                     23.05                USED      
216      F_20                                     F_12                                     50.49                USED      
220      F_20                                     F_13                                     41.22                USED      
228      H_Bergamo_1_origin_4                     F_32                                     35.22                USED      
231      F_22                                     H_Pavia_8_dest_20                        20.20                USED      
233      F_22                                     H_Milano_3_dest_6                        36.04                USED      
250      F_26                                     F_20                                     50.42                USED      
257      F_17                                     F_16                                     29.11                USED      
268      H_Parma_3_origin_14                      F_12                                     47.65                USED      
277      H_Piacenza_1_origin_5                    F_10                                     47.03                USED      
291      HUB_1                                    F_19                                     33.04                USED      
298      HUB_1                                    F_20                                     8.30                 USED      
304      HUB_1                                    H_Parma_2_origin_1                       51.05                USED      
312      HUB_1                                    H_Cremona_1_origin_7                     22.87                USED      
321      H_Pavia_9_origin_6                       F_22                                     21.42                USED      
346      H_Parma_2_origin_1                       H_Piacenza_1_dest_1                      46.29                USED      
349      H_Bergamo_3_origin_11                    H_Bergamo_1_dest_11                      20.08                USED      
359      F_13                                     H_Parma_3_dest_4                         28.59                USED      
370      F_11                                     F_18                                     41.22                USED      
382      F_23                                     F_24                                     29.00                USED      
383      F_23                                     H_Pavia_1_origin_10                      49.10                USED      
394      F_23                                     H_Pavia_9_origin_6                       26.60                USED      
409      H_Piacenza_1_origin_8                    F_11                                     28.38                USED      
414      H_Bergamo_1_origin_17                    F_31                                     41.41                USED      
425      F_32                                     H_Cremona_2_dest_15                      45.00                USED      
427      F_32                                     F_26                                     50.36                USED      
433      H_Milano_2_origin_19                     F_31                                     45.23                USED      
453      H_Piacenza_2_origin_18                   H_Piacenza_1_dest_18                     38.10                USED      
459      H_Cremona_1_origin_7                     F_18                                     41.43                USED      
473      H_Milano_3_origin_16                     F_23                                     39.77                USED      
476      H_Cremona_2_origin_13                    F_19                                     42.61                USED      
491      H_Milano_1_origin_20                     F_22                                     41.99                USED      
