NODES: 59
ARCS: 509

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_18                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_3_origin_5                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_3                     45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_8                     45.145060       10.012796       H_ORIGIN       
H_Milano_2_origin_16                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_2                      45.466862       9.172003        H_ORIGIN       
H_Parma_2_origin_13                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_20                      44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_1                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_10                     45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_12                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_17                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_9                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_14                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_15                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_19                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_4                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_1_dest_3                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_18                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_5                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_7                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_13                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_17                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_4                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Parma_1_dest_12                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_14                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_16                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_9                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_20                       45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_1                         45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_19                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_10                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_15                        45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_2                         45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_6                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_11                     44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
6        F_16                                     H_Pavia_8_dest_15                        30.62                USED      
11       F_16                                     F_17                                     29.11                USED      
14       F_16                                     H_Pavia_10_dest_20                       28.58                USED      
20       F_19                                     F_12                                     41.22                USED      
23       F_19                                     F_26                                     41.22                USED      
30       F_19                                     H_Cremona_1_dest_4                       16.94                USED      
31       F_10                                     F_16                                     50.49                USED      
32       F_10                                     H_Pavia_1_dest_19                        44.69                USED      
38       F_10                                     H_Piacenza_1_origin_19                   47.03                USED      
40       F_10                                     H_Piacenza_1_origin_4                    47.03                USED      
42       F_10                                     H_Piacenza_1_origin_14                   47.03                USED      
45       F_10                                     H_Piacenza_1_origin_15                   47.03                USED      
47       F_12                                     F_19                                     41.22                USED      
48       F_12                                     H_Parma_3_dest_9                         47.65                USED      
49       F_12                                     F_18                                     50.49                USED      
50       F_12                                     H_Piacenza_1_dest_11                     33.32                USED      
60       F_12                                     H_Parma_1_dest_12                        38.36                USED      
67       H_Bergamo_4_origin_11                    F_33                                     26.20                USED      
78       F_31                                     H_Bergamo_1_origin_18                    41.41                USED      
85       F_31                                     H_Milano_1_dest_8                        45.24                USED      
87       F_25                                     F_31                                     50.36                USED      
100      F_9                                      H_Pavia_5_origin_17                      40.16                USED      
117      F_24                                     F_32                                     50.36                USED      
124      H_Bergamo_3_origin_5                     H_Bergamo_2_dest_5                       18.48                USED      
129      H_Milano_2_origin_2                      F_22                                     36.27                USED      
138      H_Pavia_5_origin_17                      F_24                                     49.03                USED      
155      H_Bergamo_1_origin_18                    H_Bergamo_2_dest_18                      2.64                 USED      
172      H_Pavia_1_origin_6                       H_Pavia_9_dest_6                         35.34                USED      
182      HUB_2                                    F_31                                     21.41                USED      
201      HUB_2                                    F_23                                     29.74                USED      
202      HUB_2                                    F_32                                     46.89                USED      
203      HUB_2                                    H_Milano_2_origin_16                     29.86                USED      
209      F_18                                     F_12                                     50.49                USED      
213      F_18                                     F_17                                     29.11                USED      
228      H_Pavia_10_origin_10                     H_Pavia_5_dest_10                        32.85                USED      
233      H_Parma_3_origin_20                      F_12                                     47.65                USED      
240      H_Piacenza_1_origin_19                   F_10                                     47.03                USED      
256      F_33                                     F_26                                     41.22                USED      
257      F_33                                     F_39                                     50.30                USED      
260      F_33                                     H_Bergamo_4_dest_13                      26.20                USED      
261      F_26                                     F_19                                     41.22                USED      
264      F_26                                     F_33                                     41.22                USED      
267      F_26                                     F_32                                     50.36                USED      
270      F_22                                     H_Pavia_9_dest_2                         21.42                USED      
283      F_17                                     F_16                                     29.11                USED      
291      F_17                                     F_18                                     29.11                USED      
292      F_17                                     F_11                                     50.49                USED      
297      H_Piacenza_1_origin_4                    F_12                                     33.32                USED      
308      F_39                                     H_Bergamo_3_dest_7                       15.80                USED      
321      H_Cremona_1_origin_8                     F_25                                     47.78                USED      
338      H_Pavia_10_origin_1                      H_Pavia_1_dest_1                         34.45                USED      
341      H_Parma_2_origin_13                      F_19                                     45.01                USED      
355      HUB_3                                    F_10                                     19.37                USED      
358      HUB_3                                    F_9                                      17.44                USED      
363      HUB_3                                    H_Pavia_1_origin_6                       46.64                USED      
373      HUB_3                                    F_11                                     46.43                USED      
380      H_Parma_2_origin_7                       F_19                                     45.01                USED      
399      H_Piacenza_1_origin_14                   H_Parma_1_dest_14                        42.59                USED      
414      F_11                                     H_Parma_2_origin_13                      47.18                USED      
416      F_11                                     H_Parma_2_origin_7                       47.18                USED      
419      F_11                                     H_Parma_2_dest_16                        47.18                USED      
423      H_Cremona_1_origin_3                     F_26                                     29.32                USED      
426      H_Piacenza_1_origin_15                   F_10                                     47.03                USED      
450      F_23                                     F_17                                     50.42                USED      
459      F_23                                     H_Pavia_10_origin_12                     28.04                USED      
460      F_32                                     H_Bergamo_1_dest_3                       35.22                USED      
461      F_32                                     H_Bergamo_4_origin_11                    31.81                USED      
472      F_32                                     H_Bergamo_4_dest_17                      31.81                USED      
478      H_Milano_2_origin_16                     F_23                                     37.28                USED      
480      H_Pavia_8_origin_9                       F_16                                     30.62                USED      
495      H_Pavia_10_origin_12                     F_16                                     28.58                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
