NODES: 60
ARCS: 532

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_10                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_19                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_3                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_20                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_9                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_1                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_2                     45.635359       9.872452        H_ORIGIN       
H_Milano_1_origin_4                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_5                      45.499807       9.167334        H_ORIGIN       
H_Parma_2_origin_6                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_12                      44.717104       10.229990       H_ORIGIN       
H_Pavia_5_origin_18                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_14                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_17                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_8                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_13                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_11                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_16                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_7                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_15                   44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_6                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_8                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_13                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_4                       45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_18                      45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_3                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_2                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_11                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_7                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_20                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_9                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_17                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_19                       45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_12                        45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_14                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_15                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_16                        45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_5                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_1                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_10                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
4        F_16                                     H_Pavia_8_dest_16                        30.62                USED      
5        F_16                                     H_Pavia_8_dest_15                        30.62                USED      
24       F_19                                     F_26                                     41.22                USED      
31       F_10                                     F_16                                     50.49                USED      
34       F_10                                     H_Piacenza_1_origin_11                   47.03                USED      
40       F_10                                     H_Piacenza_1_origin_7                    47.03                USED      
42       F_10                                     H_Piacenza_2_origin_15                   39.97                USED      
49       F_12                                     F_18                                     50.49                USED      
64       H_Bergamo_1_origin_19                    F_31                                     41.41                USED      
76       F_31                                     H_Bergamo_2_dest_8                       41.54                USED      
77       F_31                                     H_Bergamo_1_origin_19                    41.41                USED      
83       F_31                                     H_Bergamo_1_origin_10                    41.41                USED      
84       F_31                                     H_Bergamo_2_origin_20                    41.54                USED      
87       F_31                                     H_Bergamo_1_origin_3                     41.41                USED      
88       F_31                                     F_23                                     50.36                USED      
89       F_31                                     H_Milano_1_dest_3                        45.24                USED      
90       F_31                                     F_32                                     28.89                USED      
91       F_31                                     H_Bergamo_2_origin_9                     41.54                USED      
92       F_31                                     H_Milano_2_dest_2                        45.23                USED      
96       F_25                                     F_18                                     41.22                USED      
113      F_24                                     F_32                                     50.36                USED      
117      F_9                                      H_Pavia_5_origin_18                      40.16                USED      
123      H_Milano_1_origin_5                      F_22                                     41.99                USED      
129      H_Pavia_9_origin_13                      F_24                                     51.39                USED      
144      HUB_2                                    F_31                                     21.41                USED      
146      HUB_2                                    H_Milano_1_origin_5                      32.51                USED      
162      HUB_2                                    H_Milano_1_origin_4                      32.51                USED      
164      HUB_2                                    F_23                                     29.74                USED      
179      H_Bergamo_4_origin_2                     F_32                                     31.81                USED      
187      F_18                                     H_Cremona_1_dest_18                      41.43                USED      
189      F_18                                     F_17                                     29.11                USED      
190      F_18                                     H_Piacenza_2_dest_10                     31.25                USED      
192      F_18                                     F_11                                     41.22                USED      
198      F_20                                     F_13                                     41.22                USED      
202      H_Piacenza_1_origin_11                   H_Parma_1_dest_11                        42.59                USED      
214      F_26                                     F_20                                     50.42                USED      
216      F_26                                     F_32                                     50.36                USED      
227      F_22                                     H_Pavia_9_dest_5                         21.42                USED      
233      F_17                                     F_16                                     29.11                USED      
238      F_17                                     F_18                                     29.11                USED      
241      F_17                                     H_Pavia_5_dest_12                        24.44                USED      
256      F_39                                     F_32                                     41.22                USED      
259      H_Parma_3_origin_12                      F_12                                     47.65                USED      
269      H_Pavia_8_origin_17                      H_Pavia_10_dest_17                       2.26                 USED      
289      H_Pavia_5_origin_18                      F_17                                     24.44                USED      
309      H_Pavia_8_origin_14                      H_Pavia_5_dest_14                        34.82                USED      
311      H_Piacenza_1_origin_16                   F_10                                     47.03                USED      
326      H_Piacenza_1_origin_7                    H_Parma_2_dest_7                         46.29                USED      
336      H_Bergamo_3_origin_1                     F_39                                     15.80                USED      
344      HUB_3                                    F_10                                     19.37                USED      
346      HUB_3                                    F_9                                      17.44                USED      
380      H_Pavia_8_origin_8                       F_23                                     26.99                USED      
391      H_Bergamo_1_origin_10                    F_32                                     35.22                USED      
399      H_Piacenza_2_origin_15                   F_17                                     48.55                USED      
410      F_13                                     H_Parma_3_dest_9                         28.59                USED      
411      F_13                                     H_Parma_3_dest_20                        28.59                USED      
432      F_11                                     H_Piacenza_1_dest_1                      28.38                USED      
443      H_Bergamo_2_origin_20                    F_32                                     37.11                USED      
446      H_Milano_1_origin_4                      F_31                                     45.24                USED      
455      H_Bergamo_1_origin_3                     F_31                                     41.41                USED      
467      F_23                                     F_31                                     50.36                USED      
473      F_23                                     H_Pavia_9_origin_13                      26.60                USED      
474      F_23                                     H_Pavia_10_dest_19                       28.04                USED      
478      F_23                                     H_Pavia_8_origin_17                      26.99                USED      
483      F_23                                     H_Pavia_8_origin_8                       26.99                USED      
490      F_32                                     F_31                                     28.89                USED      
491      F_32                                     F_25                                     41.22                USED      
