NODES: 59
ARCS: 501

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_3_origin_16                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_19                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_18                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_7                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_17                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_14                    45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_1                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_12                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_15                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_8                      45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_9                      45.471898       9.145035        H_ORIGIN       
H_Pavia_1_origin_20                      45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_10                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_11                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_2                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_13                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_6                    44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_3                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_4                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_17                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_19                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_4                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_1                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_13                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_14                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_5                       45.792479       9.659418        H_DESTINATION  
H_Cremona_2_dest_18                      45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_20                      45.289308       9.855996        H_DESTINATION  
H_Milano_2_dest_9                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_10                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_12                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_15                        44.856799       10.071196       H_DESTINATION  
H_Pavia_10_dest_2                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_6                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_16                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_7                         45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_8                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_11                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
5        F_16                                     H_Pavia_10_dest_6                        28.58                USED      
7        F_16                                     H_Pavia_9_dest_3                         29.26                USED      
17       F_10                                     F_16                                     50.49                USED      
24       F_10                                     H_Piacenza_2_origin_4                    39.97                USED      
26       F_10                                     H_Piacenza_1_origin_6                    47.03                USED      
40       F_12                                     H_Parma_1_dest_12                        38.36                USED      
41       F_12                                     H_Parma_1_dest_10                        38.36                USED      
47       H_Milano_3_origin_9                      H_Milano_2_dest_9                        3.73                 USED      
58       H_Pavia_5_origin_10                      F_17                                     24.44                USED      
77       H_Bergamo_3_origin_16                    F_38                                     24.44                USED      
83       H_Bergamo_4_origin_18                    F_33                                     26.20                USED      
92       F_31                                     H_Bergamo_2_dest_1                       41.54                USED      
95       F_31                                     F_24                                     41.22                USED      
103      F_31                                     F_23                                     50.36                USED      
113      H_Piacenza_2_origin_3                    F_17                                     48.55                USED      
124      H_Milano_3_origin_15                     F_23                                     39.77                USED      
129      F_25                                     H_Cremona_2_dest_20                      17.96                USED      
136      F_25                                     F_32                                     41.22                USED      
145      F_24                                     F_18                                     50.42                USED      
148      F_24                                     H_Cremona_2_origin_14                    46.96                USED      
150      F_24                                     H_Pavia_5_dest_16                        49.03                USED      
161      F_9                                      H_Pavia_5_origin_11                      40.16                USED      
169      HUB_2                                    F_24                                     30.90                USED      
183      HUB_2                                    H_Milano_3_origin_12                     33.59                USED      
200      H_Bergamo_4_origin_7                     F_32                                     31.81                USED      
202      F_18                                     F_12                                     50.49                USED      
204      F_18                                     F_25                                     41.22                USED      
222      H_Piacenza_1_origin_13                   F_11                                     28.38                USED      
232      F_33                                     F_39                                     50.30                USED      
237      F_33                                     H_Cremona_2_dest_18                      42.72                USED      
241      F_26                                     F_33                                     41.22                USED      
244      F_26                                     F_32                                     50.36                USED      
252      F_22                                     H_Pavia_8_dest_8                         20.20                USED      
262      F_17                                     F_16                                     29.11                USED      
266      F_17                                     F_25                                     50.42                USED      
269      F_17                                     F_18                                     29.11                USED      
272      F_17                                     F_11                                     50.49                USED      
273      F_17                                     H_Piacenza_2_dest_11                     48.55                USED      
277      F_39                                     H_Bergamo_3_dest_5                       15.80                USED      
285      F_39                                     H_Bergamo_3_dest_13                      15.80                USED      
289      F_39                                     H_Bergamo_3_dest_14                      15.80                USED      
296      H_Milano_3_origin_8                      F_22                                     36.04                USED      
308      H_Cremona_2_origin_14                    F_32                                     45.00                USED      
319      H_Pavia_8_origin_2                       H_Pavia_10_dest_2                        2.26                 USED      
327      H_Piacenza_2_origin_4                    F_18                                     31.25                USED      
337      H_Bergamo_3_origin_19                    H_Bergamo_1_dest_19                      20.08                USED      
352      H_Pavia_1_origin_20                      F_17                                     30.74                USED      
360      H_Piacenza_1_origin_6                    F_10                                     47.03                USED      
370      HUB_3                                    F_10                                     19.37                USED      
377      HUB_3                                    F_9                                      17.44                USED      
396      H_Cremona_1_origin_5                     F_26                                     29.32                USED      
403      F_11                                     H_Parma_2_dest_15                        47.18                USED      
404      F_11                                     F_18                                     41.22                USED      
416      F_23                                     F_24                                     29.00                USED      
422      F_23                                     F_17                                     50.42                USED      
425      F_23                                     H_Pavia_8_dest_7                         26.99                USED      
436      F_38                                     F_31                                     41.22                USED      
452      H_Milano_3_origin_12                     F_23                                     39.77                USED      
456      F_32                                     F_31                                     28.89                USED      
465      F_32                                     F_39                                     41.22                USED      
467      F_32                                     H_Bergamo_1_dest_4                       35.22                USED      
468      F_32                                     H_Bergamo_1_dest_17                      35.22                USED      
474      H_Cremona_1_origin_17                    F_26                                     29.32                USED      
479      H_Milano_2_origin_1                      F_31                                     45.23                USED      
495      H_Pavia_5_origin_11                      F_17                                     24.44                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_5_origin_10                      4.89                 NOT USED  
