NODES: 60
ARCS: 522

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_5                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_3_origin_10                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_11                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_4                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_18                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_15                    45.145060       10.012796       H_ORIGIN       
H_Milano_2_origin_6                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_1                      45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_16                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_20                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_13                      44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_2                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_17                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_7                       44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_19                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_9                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_14                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_3                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_8                       45.194742       9.140386        H_ORIGIN       
H_Piacenza_1_origin_12                   44.716745       9.791689        H_ORIGIN       
H_Bergamo_1_dest_1                       45.687747       9.675601        H_DESTINATION  
H_Cremona_1_dest_9                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_6                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_8                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_19                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_4                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_15                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_11                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_14                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_18                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_10                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_16                        44.717104       10.229990       H_DESTINATION  
H_Pavia_1_dest_13                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_7                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_12                        45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_5                         45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_2                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_17                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_20                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
15       F_16                                     H_Pavia_9_dest_17                        29.26                USED      
18       F_16                                     H_Pavia_8_dest_2                         30.62                USED      
24       H_Bergamo_3_origin_4                     F_38                                     24.44                USED      
28       F_19                                     H_Parma_2_dest_11                        45.01                USED      
29       F_19                                     H_Parma_2_dest_18                        45.01                USED      
40       F_10                                     H_Pavia_1_dest_7                         44.69                USED      
46       F_10                                     H_Pavia_1_dest_13                        44.69                USED      
47       F_10                                     H_Pavia_5_dest_12                        46.78                USED      
56       F_12                                     F_18                                     50.49                USED      
61       F_12                                     F_11                                     29.22                USED      
64       F_12                                     H_Parma_3_dest_16                        47.65                USED      
77       H_Parma_2_origin_2                       F_11                                     47.18                USED      
84       H_Bergamo_4_origin_18                    F_33                                     26.20                USED      
97       H_Milano_3_origin_20                     F_22                                     36.04                USED      
105      F_31                                     F_24                                     41.22                USED      
111      F_31                                     H_Bergamo_1_origin_5                     41.41                USED      
116      F_31                                     H_Bergamo_1_dest_1                       41.41                USED      
121      F_24                                     H_Pavia_5_dest_5                         49.03                USED      
123      F_24                                     F_18                                     50.42                USED      
139      H_Pavia_1_origin_9                       F_17                                     30.74                USED      
152      HUB_2                                    F_31                                     21.41                USED      
160      HUB_2                                    H_Milano_3_origin_1                      33.59                USED      
172      HUB_2                                    H_Milano_2_origin_6                      29.86                USED      
175      HUB_2                                    F_23                                     29.74                USED      
187      H_Milano_3_origin_16                     F_23                                     39.77                USED      
191      F_18                                     F_12                                     50.49                USED      
194      F_18                                     F_17                                     29.11                USED      
195      F_18                                     H_Cremona_1_dest_9                       41.43                USED      
206      F_20                                     F_13                                     41.22                USED      
217      H_Pavia_5_origin_14                      F_17                                     24.44                USED      
229      F_30                                     H_Milano_3_dest_4                        20.38                USED      
241      H_Milano_3_origin_1                      F_31                                     48.65                USED      
253      H_Parma_3_origin_7                       F_12                                     47.65                USED      
264      F_33                                     F_26                                     41.22                USED      
268      F_26                                     F_19                                     41.22                USED      
270      F_26                                     F_20                                     50.42                USED      
277      F_22                                     H_Pavia_9_dest_20                        21.42                USED      
278      F_22                                     H_Milano_2_dest_19                       36.27                USED      
291      F_22                                     H_Milano_1_dest_8                        41.99                USED      
293      F_17                                     F_16                                     29.11                USED      
299      F_17                                     F_18                                     29.11                USED      
303      F_17                                     F_11                                     50.49                USED      
309      F_39                                     F_33                                     50.30                USED      
322      H_Pavia_10_origin_19                     F_22                                     22.43                USED      
332      H_Bergamo_1_origin_5                     F_31                                     41.41                USED      
339      H_Piacenza_1_origin_12                   F_10                                     47.03                USED      
369      HUB_1                                    F_13                                     49.04                USED      
383      H_Pavia_8_origin_8                       F_22                                     20.20                USED      
393      H_Bergamo_3_origin_10                    F_39                                     15.80                USED      
400      H_Bergamo_3_origin_11                    F_39                                     15.80                USED      
406      F_13                                     H_Parma_1_dest_15                        31.82                USED      
412      F_13                                     H_Parma_3_origin_7                       28.59                USED      
414      F_13                                     H_Parma_3_origin_17                      28.59                USED      
415      F_13                                     H_Parma_1_origin_13                      31.82                USED      
418      F_13                                     H_Parma_3_dest_10                        28.59                USED      
420      F_11                                     F_10                                     29.22                USED      
426      F_11                                     F_17                                     50.49                USED      
428      F_11                                     H_Parma_2_dest_14                        47.18                USED      
431      H_Cremona_1_origin_15                    F_20                                     23.45                USED      
436      H_Parma_3_origin_17                      F_12                                     47.65                USED      
455      H_Milano_2_origin_6                      H_Milano_1_dest_6                        6.31                 USED      
459      H_Parma_1_origin_13                      F_12                                     38.36                USED      
478      H_Pavia_5_origin_3                       H_Pavia_9_dest_3                         33.42                USED      
489      F_38                                     F_30                                     50.30                USED      
503      F_23                                     F_24                                     29.00                USED      
507      F_23                                     H_Pavia_5_origin_14                      42.81                USED      
514      F_23                                     H_Pavia_10_origin_19                     28.04                USED      
