NODES: 59
ARCS: 511

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_14                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_9                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_19                    45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_18                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_7                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_16                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_8                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_5                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_11                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_12                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_13                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_6                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_17                      44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_1                      45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_4                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_15                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_2                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_20                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_10                      45.194742       9.140386        H_ORIGIN       
H_Piacenza_2_origin_3                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_5                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_8                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_3                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_11                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_13                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_4                       45.635359       9.872452        H_DESTINATION  
H_Milano_1_dest_20                       45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_16                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_17                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_9                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_19                        44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_15                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_12                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_1                         45.032079       9.285239        H_DESTINATION  
H_Pavia_8_dest_14                        45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_2                         45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_6                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_18                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
12       F_16                                     H_Pavia_9_dest_6                         29.26                USED      
15       F_16                                     H_Pavia_10_dest_12                       28.58                USED      
18       F_19                                     F_12                                     41.22                USED      
25       F_19                                     F_26                                     41.22                USED      
38       F_10                                     F_11                                     29.22                USED      
40       F_12                                     F_19                                     41.22                USED      
44       F_12                                     F_18                                     50.49                USED      
46       F_12                                     H_Parma_1_dest_19                        38.36                USED      
49       F_12                                     H_Parma_3_dest_15                        47.65                USED      
54       H_Pavia_1_origin_15                      F_10                                     44.69                USED      
68       H_Milano_2_origin_8                      F_31                                     45.23                USED      
80       F_31                                     H_Bergamo_1_dest_5                       41.41                USED      
84       F_31                                     H_Bergamo_1_dest_8                       41.41                USED      
85       F_31                                     H_Milano_3_dest_9                        48.65                USED      
91       F_31                                     H_Bergamo_1_origin_14                    41.41                USED      
92       F_31                                     F_23                                     50.36                USED      
93       F_31                                     F_32                                     28.89                USED      
102      H_Piacenza_2_origin_3                    F_18                                     31.25                USED      
116      F_25                                     F_32                                     41.22                USED      
128      F_24                                     F_23                                     29.00                USED      
130      H_Parma_1_origin_12                      F_12                                     38.36                USED      
140      HUB_2                                    F_31                                     21.41                USED      
152      HUB_2                                    H_Milano_3_origin_5                      33.59                USED      
160      HUB_2                                    F_23                                     29.74                USED      
162      HUB_2                                    F_32                                     46.89                USED      
164      HUB_2                                    H_Milano_2_origin_16                     29.86                USED      
170      H_Cremona_2_origin_7                     F_24                                     46.96                USED      
180      F_18                                     F_25                                     41.22                USED      
182      F_18                                     H_Piacenza_2_dest_18                     31.25                USED      
185      F_18                                     F_17                                     29.11                USED      
196      H_Parma_2_origin_17                      F_11                                     47.18                USED      
213      H_Pavia_10_origin_4                      F_23                                     28.04                USED      
218      H_Bergamo_4_origin_19                    F_33                                     26.20                USED      
231      F_33                                     F_26                                     41.22                USED      
232      F_33                                     F_39                                     50.30                USED      
237      F_33                                     H_Bergamo_4_dest_13                      26.20                USED      
245      F_22                                     H_Milano_3_dest_10                       36.04                USED      
262      H_Pavia_8_origin_10                      F_22                                     20.20                USED      
271      F_26                                     F_19                                     41.22                USED      
273      F_26                                     H_Cremona_2_origin_7                     11.04                USED      
275      F_26                                     F_33                                     41.22                USED      
282      F_39                                     H_Bergamo_3_dest_11                      15.80                USED      
291      F_17                                     F_16                                     29.11                USED      
302      F_17                                     F_23                                     50.42                USED      
305      H_Milano_3_origin_5                      F_31                                     48.65                USED      
318      H_Pavia_1_origin_2                       H_Pavia_9_dest_2                         35.34                USED      
344      H_Pavia_5_origin_20                      F_23                                     42.81                USED      
359      H_Pavia_10_origin_1                      H_Pavia_1_dest_1                         34.45                USED      
370      HUB_1                                    F_26                                     46.36                USED      
376      HUB_1                                    F_13                                     49.04                USED      
384      H_Bergamo_1_origin_14                    F_31                                     41.41                USED      
398      F_13                                     H_Parma_1_origin_12                      31.82                USED      
405      F_13                                     H_Parma_1_origin_6                       31.82                USED      
409      F_11                                     F_12                                     29.22                USED      
414      F_11                                     F_17                                     50.49                USED      
419      H_Cremona_2_origin_18                    F_18                                     44.92                USED      
423      H_Parma_1_origin_13                      F_12                                     38.36                USED      
435      F_23                                     F_31                                     50.36                USED      
439      F_23                                     H_Pavia_8_dest_14                        26.99                USED      
440      F_23                                     H_Pavia_10_origin_4                      28.04                USED      
447      F_23                                     H_Pavia_10_dest_7                        28.04                USED      
449      F_23                                     H_Pavia_5_origin_20                      42.81                USED      
451      F_23                                     H_Milano_3_dest_17                       39.77                USED      
455      F_23                                     H_Milano_1_dest_20                       43.28                USED      
457      H_Parma_1_origin_6                       F_12                                     38.36                USED      
472      F_32                                     H_Bergamo_4_origin_19                    31.81                USED      
474      F_32                                     H_Bergamo_2_dest_3                       37.11                USED      
