NODES: 60
ARCS: 529

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_2_origin_18                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_1                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_14                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_19                    45.792479       9.659418        H_ORIGIN       
H_Cremona_1_origin_13                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_15                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_20                     45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_11                     45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_2                      45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_4                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_3                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Pavia_8_origin_9                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_16                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_6                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_17                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_10                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_12                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_5                    44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_8                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_12                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_2                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_13                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_16                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_18                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_8                       45.635359       9.872452        H_DESTINATION  
H_Cremona_2_dest_20                      45.289308       9.855996        H_DESTINATION  
H_Milano_3_dest_9                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_14                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_19                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_17                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_10                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_5                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_1                         45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_11                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_7                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_4                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        F_16                                     H_Pavia_10_dest_10                       28.58                USED      
6        F_16                                     H_Pavia_9_dest_3                         29.26                USED      
10       F_16                                     H_Pavia_8_dest_7                         30.62                USED      
15       F_16                                     H_Pavia_10_dest_5                        28.58                USED      
17       F_19                                     H_Parma_2_dest_19                        45.01                USED      
27       F_19                                     F_26                                     41.22                USED      
31       F_19                                     H_Parma_2_dest_14                        45.01                USED      
35       F_10                                     H_Piacenza_2_origin_10                   39.97                USED      
38       F_10                                     H_Piacenza_2_origin_12                   39.97                USED      
44       F_10                                     H_Piacenza_1_origin_17                   47.03                USED      
50       F_12                                     F_18                                     50.49                USED      
66       H_Cremona_1_origin_13                    F_26                                     29.32                USED      
67       H_Piacenza_2_origin_8                    F_19                                     35.98                USED      
83       H_Cremona_2_origin_15                    F_25                                     17.96                USED      
90       F_31                                     F_25                                     50.36                USED      
91       F_31                                     F_24                                     41.22                USED      
92       F_31                                     H_Bergamo_1_dest_2                       41.41                USED      
102      F_31                                     F_38                                     41.22                USED      
106      F_31                                     H_Bergamo_2_dest_16                      41.54                USED      
108      F_25                                     H_Cremona_1_origin_13                    47.78                USED      
112      F_25                                     H_Cremona_2_dest_20                      17.96                USED      
116      F_25                                     F_17                                     50.42                USED      
117      F_25                                     F_32                                     41.22                USED      
119      F_24                                     H_Cremona_2_origin_15                    46.96                USED      
121      F_24                                     F_25                                     29.00                USED      
132      F_24                                     H_Pavia_5_dest_1                         49.03                USED      
141      H_Piacenza_2_origin_10                   F_17                                     48.55                USED      
151      HUB_2                                    F_24                                     30.90                USED      
156      HUB_2                                    H_Milano_3_origin_2                      33.59                USED      
159      HUB_2                                    H_Milano_2_origin_11                     29.86                USED      
162      HUB_2                                    H_Milano_1_origin_20                     32.51                USED      
168      HUB_2                                    F_23                                     29.74                USED      
169      HUB_2                                    H_Milano_3_origin_4                      33.59                USED      
179      F_18                                     F_25                                     41.22                USED      
186      F_18                                     F_17                                     29.11                USED      
195      H_Piacenza_2_origin_12                   F_18                                     31.25                USED      
211      H_Piacenza_2_origin_5                    F_17                                     48.55                USED      
217      H_Milano_3_origin_2                      F_31                                     48.65                USED      
230      F_33                                     F_26                                     41.22                USED      
232      F_33                                     H_Bergamo_4_dest_8                       26.20                USED      
234      F_26                                     F_19                                     41.22                USED      
240      F_26                                     F_33                                     41.22                USED      
241      F_26                                     F_32                                     50.36                USED      
245      F_22                                     H_Milano_3_dest_9                        36.04                USED      
257      F_17                                     F_16                                     29.11                USED      
260      F_17                                     H_Pavia_1_dest_15                        30.74                USED      
269      F_17                                     H_Piacenza_2_dest_4                      48.55                USED      
275      H_Bergamo_3_origin_14                    F_39                                     15.80                USED      
288      F_39                                     F_33                                     50.30                USED      
305      H_Milano_2_origin_11                     F_23                                     37.28                USED      
316      H_Pavia_9_origin_16                      F_23                                     26.60                USED      
323      H_Bergamo_2_origin_18                    H_Bergamo_3_dest_18                      18.48                USED      
334      H_Milano_1_origin_20                     F_31                                     45.24                USED      
346      H_Bergamo_3_origin_19                    F_39                                     15.80                USED      
363      H_Pavia_9_origin_6                       F_23                                     26.60                USED      
372      F_5                                      H_Parma_3_dest_17                        42.12                USED      
385      H_Bergamo_3_origin_1                     F_38                                     24.44                USED      
395      H_Parma_2_origin_7                       F_11                                     47.18                USED      
401      HUB_3                                    F_10                                     19.37                USED      
433      F_11                                     F_17                                     50.49                USED      
447      H_Piacenza_1_origin_17                   F_5                                      24.56                USED      
453      F_38                                     F_31                                     41.22                USED      
462      F_38                                     H_Bergamo_3_dest_6                       24.44                USED      
469      F_23                                     F_31                                     50.36                USED      
472      F_23                                     H_Pavia_5_dest_11                        42.81                USED      
477      F_23                                     F_17                                     50.42                USED      
479      F_23                                     H_Pavia_9_origin_16                      26.60                USED      
482      F_23                                     H_Pavia_9_origin_6                       26.60                USED      
484      F_23                                     H_Pavia_8_origin_9                       26.99                USED      
494      H_Milano_3_origin_4                      F_23                                     39.77                USED      
502      F_32                                     H_Bergamo_1_dest_12                      35.22                USED      
506      F_32                                     H_Bergamo_2_dest_13                      37.11                USED      
516      H_Pavia_8_origin_9                       F_22                                     20.20                USED      
523      H_Parma_1_origin_3                       F_12                                     38.36                USED      
1        F_16                                     F_10                                     50.49                NOT USED  
3        F_16                                     H_Pavia_1_dest_15                        7.90                 NOT USED  
4        F_16                                     F_24                                     50.42                NOT USED  
5        F_16                                     H_Pavia_5_dest_11                        4.89                 NOT USED  
7        F_16                                     F_22                                     50.42                NOT USED  
8        F_16                                     F_17                                     29.11                NOT USED  
9        F_16                                     H_Pavia_9_origin_16                      29.26                NOT USED  
11       F_16                                     H_Pavia_9_origin_6                       29.26                NOT USED  
12       F_16                                     F_23                                     41.22                NOT USED  
13       F_16                                     H_Pavia_8_origin_9                       30.62                NOT USED  
14       F_16                                     H_Pavia_5_dest_1                         4.89                 NOT USED  
16       F_19                                     F_12                                     41.22                NOT USED  
18       F_19                                     H_Cremona_1_origin_13                    16.94                NOT USED  
19       F_19                                     H_Piacenza_2_origin_8                    35.98                NOT USED  
20       F_19                                     H_Cremona_2_origin_15                    42.61                NOT USED  
21       F_19                                     F_25                                     50.42                NOT USED  
22       F_19                                     H_Cremona_2_dest_20                      42.61                NOT USED  
23       F_19                                     H_Piacenza_2_origin_10                   35.98                NOT USED  
24       F_19                                     F_18                                     29.11                NOT USED  
25       F_19                                     H_Piacenza_2_origin_12                   35.98                NOT USED  
26       F_19                                     H_Piacenza_2_origin_5                    35.98                NOT USED  
28       F_19                                     H_Parma_2_origin_7                       45.01                NOT USED  
29       F_19                                     F_11                                     50.49                NOT USED  
30       F_19                                     H_Piacenza_2_dest_4                      35.98                NOT USED  
32       F_10                                     F_16                                     50.49                NOT USED  
33       F_10                                     H_Piacenza_2_origin_8                    39.97                NOT USED  
34       F_10                                     H_Pavia_1_dest_15                        44.69                NOT USED  
36       F_10                                     F_18                                     50.49                NOT USED  
