NODES: 60
ARCS: 528

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_3_origin_15                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_16                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_8                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_18                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_13                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_17                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_2                      45.499807       9.167334        H_ORIGIN       
H_Milano_3_origin_10                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_7                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_5                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_12                      44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_11                      44.717104       10.229990       H_ORIGIN       
H_Pavia_5_origin_1                       45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_6                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_3                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_4                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_19                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_20                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_14                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_15                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_1_dest_19                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_14                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_2                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_11                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_9                       45.145060       10.012796       H_DESTINATION  
H_Milano_1_dest_1                        45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_16                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_4                        45.499807       9.167334        H_DESTINATION  
H_Milano_3_dest_3                        45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_8                        45.471898       9.145035        H_DESTINATION  
H_Parma_2_dest_18                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_20                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_12                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_17                        45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_10                        45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_13                        45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_5                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_6                      44.716745       9.791689        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_19                                     H_Parma_2_dest_18                        45.01                USED      
11       F_19                                     H_Cremona_1_dest_9                       16.94                USED      
26       F_10                                     H_Piacenza_1_dest_6                      47.03                USED      
38       F_12                                     H_Piacenza_1_origin_19                   33.32                USED      
48       F_31                                     H_Milano_3_dest_8                        48.65                USED      
57       F_31                                     H_Milano_1_dest_16                       45.24                USED      
62       F_31                                     F_38                                     41.22                USED      
72       F_25                                     F_17                                     50.42                USED      
75       F_25                                     F_32                                     41.22                USED      
78       F_24                                     H_Pavia_9_dest_13                        51.39                USED      
99       H_Parma_3_origin_11                      F_13                                     28.59                USED      
104      H_Bergamo_3_origin_15                    H_Bergamo_1_dest_15                      20.08                USED      
109      HUB_2                                    F_31                                     21.41                USED      
117      HUB_2                                    H_Milano_3_origin_7                      33.59                USED      
129      HUB_2                                    F_23                                     29.74                USED      
132      HUB_2                                    H_Milano_1_origin_2                      32.51                USED      
134      HUB_2                                    F_32                                     46.89                USED      
141      H_Pavia_8_origin_3                       F_22                                     20.20                USED      
156      H_Milano_3_origin_10                     F_23                                     39.77                USED      
163      H_Parma_1_origin_5                       H_Piacenza_1_dest_5                      42.59                USED      
174      F_18                                     F_25                                     41.22                USED      
186      F_20                                     F_12                                     50.49                USED      
188      F_20                                     F_26                                     50.42                USED      
204      H_Pavia_5_origin_1                       F_23                                     42.81                USED      
211      H_Milano_3_origin_7                      F_22                                     36.04                USED      
229      F_30                                     F_38                                     50.30                USED      
242      H_Piacenza_1_origin_19                   F_11                                     28.38                USED      
251      F_22                                     H_Pavia_10_dest_7                        22.43                USED      
253      F_22                                     H_Milano_3_dest_3                        36.04                USED      
257      F_22                                     H_Milano_1_dest_4                        41.99                USED      
263      F_26                                     F_33                                     41.22                USED      
268      F_26                                     H_Cremona_2_origin_17                    11.04                USED      
278      H_Parma_2_origin_12                      H_Parma_3_dest_12                        34.21                USED      
289      F_33                                     H_Bergamo_4_dest_11                      26.20                USED      
303      F_17                                     H_Pavia_1_dest_17                        30.74                USED      
313      H_Piacenza_2_origin_14                   F_18                                     31.25                USED      
330      H_Bergamo_4_origin_16                    F_32                                     31.81                USED      
333      H_Piacenza_2_origin_9                    F_19                                     35.98                USED      
355      HUB_1                                    F_20                                     8.30                 USED      
359      HUB_1                                    F_26                                     46.36                USED      
366      HUB_1                                    F_13                                     49.04                USED      
378      F_13                                     H_Parma_3_origin_11                      28.59                USED      
380      F_13                                     F_20                                     41.22                USED      
391      F_11                                     F_18                                     41.22                USED      
401      H_Cremona_1_origin_18                    F_19                                     16.94                USED      
411      H_Pavia_5_origin_6                       F_10                                     46.78                USED      
436      F_23                                     H_Pavia_5_dest_10                        42.81                USED      
437      F_23                                     H_Pavia_5_origin_6                       42.81                USED      
442      F_23                                     H_Milano_1_dest_1                        43.28                USED      
447      H_Pavia_9_origin_4                       F_22                                     21.42                USED      
462      H_Piacenza_1_origin_20                   H_Parma_2_dest_20                        46.29                USED      
470      H_Milano_1_origin_2                      F_30                                     16.38                USED      
479      F_38                                     H_Bergamo_3_origin_15                    24.44                USED      
484      F_38                                     H_Bergamo_3_dest_2                       24.44                USED      
485      F_32                                     F_31                                     28.89                USED      
488      F_32                                     H_Bergamo_1_dest_19                      35.22                USED      
491      F_32                                     H_Bergamo_2_dest_14                      37.11                USED      
494      F_32                                     H_Bergamo_4_origin_16                    31.81                USED      
501      H_Cremona_2_origin_17                    F_25                                     17.96                USED      
517      H_Bergamo_4_origin_8                     F_32                                     31.81                USED      
521      H_Cremona_2_origin_13                    F_24                                     46.96                USED      
1        F_19                                     F_12                                     41.22                NOT USED  
2        F_19                                     F_25                                     50.42                NOT USED  
4        F_19                                     F_18                                     29.11                NOT USED  
5        F_19                                     F_20                                     29.11                NOT USED  
6        F_19                                     F_26                                     41.22                NOT USED  
7        F_19                                     H_Parma_2_origin_12                      45.01                NOT USED  
8        F_19                                     H_Piacenza_2_origin_14                   35.98                NOT USED  
9        F_19                                     H_Piacenza_2_origin_9                    35.98                NOT USED  
10       F_19                                     H_Parma_2_dest_20                        45.01                NOT USED  
12       F_19                                     HUB_1                                    33.04                NOT USED  
13       F_19                                     F_13                                     50.49                NOT USED  
14       F_19                                     F_11                                     50.49                NOT USED  
15       F_19                                     H_Cremona_1_origin_18                    16.94                NOT USED  
16       F_19                                     H_Cremona_2_origin_17                    42.61                NOT USED  
17       F_19                                     H_Cremona_2_origin_13                    42.61                NOT USED  
18       F_10                                     F_18                                     50.49                NOT USED  
19       F_10                                     H_Piacenza_1_dest_5                      47.03                NOT USED  
20       F_10                                     H_Pavia_5_origin_1                       46.78                NOT USED  
21       F_10                                     H_Piacenza_1_origin_19                   47.03                NOT USED  
22       F_10                                     F_17                                     41.22                NOT USED  
23       F_10                                     H_Piacenza_2_origin_14                   39.97                NOT USED  
24       F_10                                     H_Pavia_1_dest_17                        44.69                NOT USED  
25       F_10                                     H_Piacenza_2_origin_9                    39.97                NOT USED  
27       F_10                                     F_11                                     29.22                NOT USED  
28       F_10                                     H_Pavia_5_dest_10                        46.78                NOT USED  
29       F_10                                     H_Pavia_5_origin_6                       46.78                NOT USED  
30       F_10                                     H_Piacenza_1_origin_20                   47.03                NOT USED  
31       F_12                                     F_19                                     41.22                NOT USED  
32       F_12                                     H_Parma_2_dest_18                        17.96                NOT USED  
33       F_12                                     H_Parma_3_origin_11                      47.65                NOT USED  
34       F_12                                     H_Parma_1_origin_5                       38.36                NOT USED  
35       F_12                                     F_18                                     50.49                NOT USED  
36       F_12                                     F_20                                     50.49                NOT USED  
37       F_12                                     H_Piacenza_1_dest_5                      33.32                NOT USED  
39       F_12                                     H_Parma_3_dest_12                        47.65                NOT USED  
40       F_12                                     H_Parma_2_origin_12                      17.96                NOT USED  
41       F_12                                     H_Piacenza_2_origin_14                   23.05                NOT USED  
42       F_12                                     H_Piacenza_2_origin_9                    23.05                NOT USED  
43       F_12                                     H_Parma_2_dest_20                        17.96                NOT USED  
44       F_12                                     H_Piacenza_1_dest_6                      33.32                NOT USED  
45       F_12                                     F_13                                     29.22                NOT USED  
46       F_12                                     F_11                                     29.22                NOT USED  
47       F_12                                     H_Piacenza_1_origin_20                   33.32                NOT USED  
49       F_31                                     F_25                                     50.36                NOT USED  
50       F_31                                     F_24                                     41.22                NOT USED  
51       F_31                                     H_Bergamo_1_dest_19                      41.41                NOT USED  
52       F_31                                     HUB_2                                    21.41                NOT USED  
53       F_31                                     H_Milano_3_origin_10                     48.65                NOT USED  
54       F_31                                     H_Milano_3_origin_7                      48.65                NOT USED  
55       F_31                                     F_30                                     28.89                NOT USED  
56       F_31                                     H_Bergamo_2_dest_14                      41.54                NOT USED  
58       F_31                                     H_Bergamo_1_dest_15                      41.41                NOT USED  
59       F_31                                     H_Milano_3_dest_3                        48.65                NOT USED  
60       F_31                                     F_23                                     50.36                NOT USED  
61       F_31                                     H_Milano_1_origin_2                      45.24                NOT USED  
63       F_31                                     H_Milano_1_dest_4                        45.24                NOT USED  
64       F_31                                     F_32                                     28.89                NOT USED  
65       F_31                                     H_Milano_1_dest_1                        45.24                NOT USED  
66       F_25                                     F_19                                     50.42                NOT USED  
67       F_25                                     F_31                                     50.36                NOT USED  
68       F_25                                     F_24                                     29.00                NOT USED  
69       F_25                                     F_18                                     41.22                NOT USED  
70       F_25                                     F_26                                     29.00                NOT USED  
71       F_25                                     F_33                                     50.36                NOT USED  
73       F_25                                     H_Cremona_1_dest_9                       47.78                NOT USED  
74       F_25                                     H_Cremona_1_origin_18                    47.78                NOT USED  
76       F_25                                     H_Cremona_2_origin_17                    17.96                NOT USED  
77       F_25                                     H_Cremona_2_origin_13                    17.96                NOT USED  
79       F_24                                     F_31                                     41.22                NOT USED  
80       F_24                                     F_25                                     29.00                NOT USED  
81       F_24                                     HUB_2                                    30.90                NOT USED  
82       F_24                                     F_18                                     50.42                NOT USED  
83       F_24                                     H_Pavia_5_origin_1                       49.03                NOT USED  
84       F_24                                     F_30                                     50.36                NOT USED  
85       F_24                                     F_17                                     41.22                NOT USED  
86       F_24                                     H_Pavia_5_dest_10                        49.03                NOT USED  
87       F_24                                     H_Pavia_5_origin_6                       49.03                NOT USED  
88       F_24                                     F_23                                     29.00                NOT USED  
89       F_24                                     H_Pavia_9_origin_4                       51.39                NOT USED  
90       F_24                                     F_32                                     50.36                NOT USED  
91       F_24                                     H_Cremona_2_origin_17                    46.96                NOT USED  
92       F_24                                     H_Cremona_2_origin_13                    46.96                NOT USED  
93       H_Parma_3_origin_11                      F_12                                     47.65                NOT USED  
94       H_Parma_3_origin_11                      H_Parma_2_dest_18                        34.21                NOT USED  
95       H_Parma_3_origin_11                      H_Parma_1_origin_5                       17.57                NOT USED  
