NODES: 57
ARCS: 457

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_10                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_12                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_18                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_5                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_20                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_3                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_13                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_4                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_17                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_19                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_16                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_2                      45.499807       9.167334        H_ORIGIN       
H_Parma_1_origin_7                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_1                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_8                       44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_14                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_8_origin_11                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_9                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_15                      45.190881       9.149624        H_ORIGIN       
H_Bergamo_1_dest_15                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_3_dest_2                       45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_11                      45.635359       9.872452        H_DESTINATION  
H_Cremona_2_dest_18                      45.289308       9.855996        H_DESTINATION  
H_Milano_2_dest_1                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_13                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_20                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_10                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_5                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_19                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_7                         44.717104       10.229990       H_DESTINATION  
H_Pavia_1_dest_3                         45.032079       9.285239        H_DESTINATION  
H_Pavia_9_dest_16                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_4                         45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_9                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_14                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_17                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_6                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_16                                     F_10                                     50.49                USED      
14       F_19                                     F_12                                     41.22                USED      
22       F_19                                     H_Parma_2_dest_5                         45.01                USED      
32       F_10                                     H_Piacenza_1_dest_14                     47.03                USED      
37       F_12                                     H_Piacenza_1_dest_17                     33.32                USED      
48       F_12                                     H_Parma_1_dest_10                        38.36                USED      
58       H_Pavia_9_origin_15                      F_23                                     26.60                USED      
62       F_31                                     H_Bergamo_2_origin_3                     41.54                USED      
66       F_31                                     H_Milano_2_dest_12                       45.23                USED      
67       F_31                                     H_Milano_3_dest_20                       48.65                USED      
70       F_31                                     H_Bergamo_1_dest_15                      41.41                USED      
71       F_31                                     H_Bergamo_2_origin_20                    41.54                USED      
73       F_31                                     H_Milano_3_dest_13                       48.65                USED      
74       F_31                                     F_23                                     50.36                USED      
77       F_31                                     H_Bergamo_1_origin_12                    41.41                USED      
78       F_31                                     F_32                                     28.89                USED      
87       F_24                                     H_Pavia_9_dest_4                         51.39                USED      
89       F_24                                     H_Pavia_9_dest_16                        51.39                USED      
93       H_Cremona_2_origin_16                    F_24                                     46.96                USED      
99       H_Bergamo_2_origin_3                     F_31                                     41.54                USED      
123      H_Bergamo_1_origin_18                    F_32                                     35.22                USED      
132      H_Pavia_1_origin_6                       F_17                                     30.74                USED      
138      HUB_2                                    F_31                                     21.41                USED      
159      HUB_2                                    F_23                                     29.74                USED      
160      HUB_2                                    H_Milano_1_origin_2                      32.51                USED      
162      HUB_2                                    F_32                                     46.89                USED      
174      H_Parma_1_origin_7                       H_Parma_3_dest_7                         17.57                USED      
182      F_20                                     F_13                                     41.22                USED      
193      H_Pavia_8_origin_11                      F_23                                     26.99                USED      
196      H_Pavia_10_origin_14                     F_16                                     28.58                USED      
215      F_30                                     F_38                                     50.30                USED      
216      F_26                                     F_19                                     41.22                USED      
230      F_17                                     F_23                                     50.42                USED      
231      F_17                                     H_Piacenza_2_dest_6                      48.55                USED      
243      H_Bergamo_1_origin_5                     F_32                                     35.22                USED      
254      H_Bergamo_4_origin_4                     F_32                                     31.81                USED      
270      HUB_1                                    H_Parma_2_origin_1                       51.05                USED      
278      HUB_1                                    H_Cremona_1_origin_17                    22.87                USED      
281      H_Bergamo_2_origin_20                    F_31                                     41.54                USED      
304      H_Parma_2_origin_1                       F_11                                     47.18                USED      
321      H_Bergamo_1_origin_10                    F_32                                     35.22                USED      
328      F_13                                     H_Parma_3_dest_19                        28.59                USED      
340      F_11                                     F_17                                     50.49                USED      
354      H_Bergamo_4_origin_13                    F_32                                     31.81                USED      
358      H_Cremona_1_origin_19                    F_20                                     23.45                USED      
366      F_23                                     F_31                                     50.36                USED      
368      F_23                                     H_Pavia_1_dest_3                         49.10                USED      
371      F_23                                     H_Pavia_8_origin_11                      26.99                USED      
377      F_23                                     H_Milano_2_dest_1                        37.28                USED      
385      H_Milano_1_origin_2                      F_30                                     16.38                USED      
401      F_38                                     H_Bergamo_3_dest_2                       24.44                USED      
402      H_Bergamo_1_origin_12                    F_31                                     41.41                USED      
415      F_32                                     F_31                                     28.89                USED      
416      F_32                                     F_24                                     50.36                USED      
421      F_32                                     H_Bergamo_4_dest_11                      31.81                USED      
422      F_32                                     F_26                                     50.36                USED      
428      F_32                                     H_Bergamo_4_origin_13                    31.81                USED      
431      F_32                                     H_Cremona_2_dest_18                      45.00                USED      
432      H_Cremona_1_origin_17                    F_19                                     16.94                USED      
440      H_Pavia_8_origin_9                       H_Pavia_9_dest_9                         1.44                 USED      
449      H_Parma_3_origin_8                       H_Parma_1_dest_8                         17.57                USED      
2        F_16                                     H_Pavia_9_dest_9                         29.26                NOT USED  
3        F_16                                     H_Pavia_9_origin_15                      29.26                NOT USED  
