NODES: 58
ARCS: 516

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_17                    45.687747       9.675601        H_ORIGIN       
H_Cremona_1_origin_16                    45.145060       10.012796       H_ORIGIN       
H_Milano_1_origin_1                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_12                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_5                      45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_13                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_3                      45.471898       9.145035        H_ORIGIN       
H_Parma_3_origin_10                      44.717104       10.229990       H_ORIGIN       
H_Parma_3_origin_15                      44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_18                     45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_4                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_14                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_8                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_11                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_7                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_9                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_2                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_20                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_19                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_6                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_19                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_14                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_17                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_18                      45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_6                       45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_7                       45.145060       10.012796       H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Milano_3_dest_9                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_8                         44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_13                        44.856799       10.071196       H_DESTINATION  
H_Parma_2_dest_5                         44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_20                        44.717104       10.229990       H_DESTINATION  
H_Parma_3_dest_4                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_2                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_1                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_15                        45.190881       9.149624        H_DESTINATION  
H_Pavia_9_dest_3                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_11                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_12                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_16                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        F_16                                     F_24                                     50.42                USED      
10       F_16                                     F_17                                     29.11                USED      
16       F_16                                     H_Pavia_9_dest_15                        29.26                USED      
24       F_19                                     F_26                                     41.22                USED      
28       F_19                                     H_Piacenza_2_dest_16                     35.98                USED      
31       F_12                                     H_Parma_1_dest_8                         38.36                USED      
32       F_12                                     F_19                                     41.22                USED      
33       F_12                                     H_Parma_3_origin_10                      47.65                USED      
34       F_12                                     H_Parma_3_dest_20                        47.65                USED      
35       F_12                                     F_18                                     50.49                USED      
36       F_12                                     H_Parma_3_dest_4                         47.65                USED      
44       F_12                                     H_Parma_3_origin_15                      47.65                USED      
46       H_Cremona_1_origin_16                    F_19                                     16.94                USED      
59       F_10                                     H_Piacenza_1_origin_6                    47.03                USED      
61       F_10                                     F_11                                     29.22                USED      
64       F_10                                     H_Piacenza_1_dest_11                     47.03                USED      
68       H_Parma_3_origin_10                      F_12                                     47.65                USED      
82       H_Milano_1_origin_1                      F_23                                     43.28                USED      
95       F_31                                     H_Bergamo_1_origin_17                    41.41                USED      
96       F_31                                     F_32                                     28.89                USED      
106      F_25                                     F_32                                     41.22                USED      
118      F_24                                     F_23                                     29.00                USED      
119      F_24                                     F_32                                     50.36                USED      
128      F_9                                      H_Pavia_5_origin_7                       40.16                USED      
131      F_9                                      H_Pavia_5_origin_11                      40.16                USED      
133      H_Pavia_1_origin_8                       F_10                                     44.69                USED      
158      H_Milano_2_origin_12                     F_23                                     37.28                USED      
170      H_Pavia_9_origin_2                       H_Pavia_10_dest_2                        1.55                 USED      
178      HUB_2                                    H_Milano_1_origin_1                      32.51                USED      
179      HUB_2                                    F_31                                     21.41                USED      
182      HUB_2                                    H_Milano_2_origin_12                     29.86                USED      
196      HUB_2                                    F_23                                     29.74                USED      
204      F_18                                     F_12                                     50.49                USED      
207      F_18                                     F_25                                     41.22                USED      
208      F_18                                     F_24                                     50.42                USED      
210      F_18                                     F_17                                     29.11                USED      
214      F_18                                     H_Cremona_1_dest_7                       41.43                USED      
223      H_Milano_3_origin_13                     F_23                                     39.77                USED      
225      H_Pavia_10_origin_4                      F_16                                     28.58                USED      
240      H_Pavia_1_origin_14                      F_16                                     7.90                 USED      
263      H_Piacenza_1_origin_19                   F_11                                     28.38                USED      
269      F_33                                     H_Bergamo_4_dest_6                       26.20                USED      
281      F_22                                     H_Milano_3_dest_9                        36.04                USED      
285      F_22                                     H_Pavia_9_dest_3                         21.42                USED      
298      F_26                                     F_33                                     41.22                USED      
301      F_17                                     F_16                                     29.11                USED      
307      F_17                                     F_18                                     29.11                USED      
310      F_17                                     F_11                                     50.49                USED      
313      F_17                                     H_Piacenza_2_dest_12                     48.55                USED      
325      H_Pavia_5_origin_7                       F_17                                     24.44                USED      
342      H_Milano_2_origin_5                      F_23                                     37.28                USED      
354      H_Pavia_10_origin_18                     F_23                                     28.04                USED      
359      H_Pavia_9_origin_20                      F_16                                     29.26                USED      
376      H_Piacenza_1_origin_6                    F_12                                     33.32                USED      
386      HUB_3                                    F_10                                     19.37                USED      
389      HUB_3                                    F_9                                      17.44                USED      
390      HUB_3                                    H_Pavia_1_origin_8                       46.64                USED      
402      HUB_3                                    F_11                                     46.43                USED      
409      F_11                                     F_12                                     29.22                USED      
411      F_11                                     F_18                                     41.22                USED      
413      F_11                                     H_Parma_2_dest_13                        47.18                USED      
417      F_11                                     H_Parma_2_dest_5                         47.18                USED      
423      F_23                                     F_31                                     50.36                USED      
431      F_23                                     H_Pavia_10_origin_4                      28.04                USED      
433      F_23                                     H_Milano_3_dest_10                       39.77                USED      
436      F_23                                     F_17                                     50.42                USED      
439      F_23                                     H_Pavia_10_origin_18                     28.04                USED      
440      F_23                                     H_Pavia_9_origin_20                      26.60                USED      
