NODES: 56
ARCS: 478

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_1_origin_10                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_19                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_7                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_9                     45.695518       9.659230        H_ORIGIN       
H_Cremona_1_origin_12                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_5                     45.145060       10.012796       H_ORIGIN       
H_Milano_3_origin_14                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_11                      44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_3                       44.856799       10.071196       H_ORIGIN       
H_Parma_3_origin_13                      44.717104       10.229990       H_ORIGIN       
H_Pavia_10_origin_1                      45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_17                      45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_4                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_20                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_16                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_2                       45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_15                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_18                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_8                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_1_dest_1                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_4_dest_11                      45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_18                      45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_4                       45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_7                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_17                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_3                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_10                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_14                        44.694109       10.104399       H_DESTINATION  
H_Parma_1_dest_19                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_16                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_8                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_20                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_5                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_9                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_6                         45.066405       9.324603        H_DESTINATION  
H_Pavia_9_dest_2                         45.190881       9.149624        H_DESTINATION  
H_Piacenza_1_dest_12                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_13                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_15                     44.916617       9.789650        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_5                                      44.640982       9.938288        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
7        F_16                                     F_17                                     29.11                USED      
17       F_16                                     H_Pavia_10_dest_5                        28.58                USED      
18       F_19                                     F_12                                     41.22                USED      
23       F_19                                     F_26                                     41.22                USED      
31       H_Bergamo_2_origin_7                     F_31                                     41.54                USED      
38       F_12                                     F_19                                     41.22                USED      
41       F_12                                     H_Piacenza_1_dest_12                     33.32                USED      
42       F_12                                     H_Parma_1_dest_19                        38.36                USED      
44       F_12                                     H_Parma_1_dest_14                        38.36                USED      
53       H_Pavia_9_origin_15                      F_16                                     29.26                USED      
75       F_31                                     H_Milano_3_dest_10                       48.65                USED      
78       F_31                                     F_23                                     50.36                USED      
79       F_31                                     H_Milano_1_dest_7                        45.24                USED      
82       F_31                                     H_Bergamo_1_dest_1                       41.41                USED      
83       F_31                                     H_Bergamo_2_origin_9                     41.54                USED      
89       F_25                                     H_Cremona_1_dest_18                      47.78                USED      
93       F_25                                     H_Cremona_2_dest_4                       17.96                USED      
100      F_24                                     F_25                                     29.00                USED      
102      F_24                                     F_18                                     50.42                USED      
114      H_Milano_3_origin_14                     F_23                                     39.77                USED      
129      H_Pavia_1_origin_17                      F_23                                     49.10                USED      
140      H_Pavia_1_origin_6                       H_Pavia_5_dest_6                         8.42                 USED      
151      HUB_2                                    F_31                                     21.41                USED      
153      HUB_2                                    H_Milano_3_origin_14                     33.59                USED      
168      HUB_2                                    F_23                                     29.74                USED      
177      H_Cremona_1_origin_12                    F_19                                     16.94                USED      
186      F_18                                     F_12                                     50.49                USED      
192      F_18                                     F_17                                     29.11                USED      
201      H_Bergamo_2_origin_19                    F_32                                     37.11                USED      
205      F_33                                     H_Bergamo_4_dest_11                      26.20                USED      
211      F_26                                     F_19                                     41.22                USED      
216      F_26                                     F_33                                     41.22                USED      
221      F_17                                     F_16                                     29.11                USED      
222      F_17                                     F_25                                     50.42                USED      
229      F_17                                     F_11                                     50.49                USED      
230      F_17                                     F_23                                     50.42                USED      
231      F_17                                     H_Piacenza_2_dest_15                     48.55                USED      
234      H_Pavia_8_origin_2                       H_Pavia_9_dest_2                         1.44                 USED      
251      H_Parma_3_origin_13                      F_5                                      42.12                USED      
267      H_Pavia_5_origin_20                      H_Pavia_10_dest_20                       32.85                USED      
284      H_Pavia_10_origin_1                      F_23                                     28.04                USED      
294      HUB_1                                    H_Cremona_1_origin_12                    22.87                USED      
302      HUB_1                                    H_Cremona_1_origin_5                     22.87                USED      
313      F_5                                      H_Piacenza_1_dest_13                     24.56                USED      
320      F_5                                      H_Parma_3_dest_8                         42.12                USED      
327      H_Cremona_1_origin_5                     F_18                                     41.43                USED      
333      H_Bergamo_1_origin_10                    F_31                                     41.41                USED      
344      F_11                                     F_17                                     50.49                USED      
350      F_11                                     H_Parma_2_dest_16                        47.18                USED      
360      H_Parma_2_origin_3                       F_11                                     47.18                USED      
370      H_Pavia_9_origin_18                      F_24                                     51.39                USED      
385      F_23                                     H_Pavia_10_dest_9                        28.04                USED      
386      F_23                                     F_31                                     50.36                USED      
387      F_23                                     F_24                                     29.00                USED      
389      F_23                                     H_Pavia_1_origin_17                      49.10                USED      
393      F_23                                     H_Milano_2_dest_17                       37.28                USED      
397      F_23                                     H_Pavia_5_origin_20                      42.81                USED      
402      F_23                                     H_Milano_2_dest_3                        37.28                USED      
411      H_Piacenza_1_origin_8                    F_5                                      24.56                USED      
417      H_Parma_1_origin_11                      F_12                                     38.36                USED      
436      F_32                                     F_26                                     50.36                USED      
441      H_Pavia_8_origin_16                      F_16                                     30.62                USED      
462      H_Pavia_1_origin_4                       F_17                                     30.74                USED      
473      H_Bergamo_2_origin_9                     F_31                                     41.54                USED      
