NODES: 60
ARCS: 612

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_16                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_17                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_1_origin_18                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_1                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_9                     45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_7                     45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_8                     45.289308       9.855996        H_ORIGIN       
H_Milano_3_origin_14                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_5                       44.694109       10.104399       H_ORIGIN       
H_Pavia_10_origin_11                     45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_12                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_3                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_4                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_6                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_13                      45.066405       9.324603        H_ORIGIN       
H_Pavia_5_origin_15                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_2                       45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_20                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_10                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_19                      45.190881       9.149624        H_ORIGIN       
H_Bergamo_3_dest_14                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_4_dest_6                       45.635359       9.872452        H_DESTINATION  
H_Bergamo_4_dest_7                       45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_10                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_12                      45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_1                       45.289308       9.855996        H_DESTINATION  
H_Milano_3_dest_8                        45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_19                        44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_17                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_16                       45.183361       9.145183        H_DESTINATION  
H_Pavia_1_dest_13                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_15                        45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_2                         45.032079       9.285239        H_DESTINATION  
H_Pavia_1_dest_5                         45.032079       9.285239        H_DESTINATION  
H_Pavia_5_dest_4                         45.066405       9.324603        H_DESTINATION  
H_Pavia_5_dest_9                         45.066405       9.324603        H_DESTINATION  
H_Piacenza_1_dest_18                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_3                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_11                     44.916617       9.789650        H_DESTINATION  
H_Piacenza_2_dest_20                     44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
3        F_16                                     F_24                                     50.42                USED      
12       F_16                                     F_17                                     29.11                USED      
33       H_Bergamo_2_origin_1                     F_32                                     37.11                USED      
43       F_10                                     H_Piacenza_1_dest_3                      47.03                USED      
45       F_10                                     H_Pavia_1_dest_5                         44.69                USED      
58       F_12                                     H_Parma_1_dest_19                        38.36                USED      
61       F_12                                     F_11                                     29.22                USED      
67       H_Pavia_1_origin_3                       F_10                                     44.69                USED      
90       H_Bergamo_1_origin_16                    F_31                                     41.41                USED      
101      F_31                                     H_Bergamo_1_origin_16                    41.41                USED      
109      F_31                                     F_23                                     50.36                USED      
111      F_31                                     H_Bergamo_1_origin_17                    41.41                USED      
113      F_25                                     H_Cremona_1_dest_10                      47.78                USED      
116      F_25                                     F_18                                     41.22                USED      
124      F_25                                     H_Cremona_1_origin_7                     47.78                USED      
127      F_24                                     F_25                                     29.00                USED      
128      F_24                                     H_Pavia_5_dest_9                         49.03                USED      
138      F_24                                     F_23                                     29.00                USED      
139      F_24                                     F_32                                     50.36                USED      
140      F_24                                     H_Cremona_2_origin_8                     46.96                USED      
154      F_9                                      H_Pavia_5_origin_15                      40.16                USED      
157      H_Pavia_10_origin_12                     F_16                                     28.58                USED      
179      H_Milano_3_origin_14                     F_30                                     20.38                USED      
191      H_Bergamo_1_origin_18                    F_32                                     35.22                USED      
196      HUB_2                                    F_31                                     21.41                USED      
197      HUB_2                                    F_24                                     30.90                USED      
199      HUB_2                                    H_Milano_3_origin_14                     33.59                USED      
211      HUB_2                                    F_23                                     29.74                USED      
226      H_Bergamo_4_origin_9                     F_32                                     31.81                USED      
227      H_Pavia_1_origin_6                       F_16                                     7.90                 USED      
251      F_18                                     F_12                                     50.49                USED      
255      F_18                                     H_Cremona_1_dest_12                      41.43                USED      
259      F_18                                     F_11                                     41.22                USED      
264      H_Parma_1_origin_5                       F_12                                     38.36                USED      
274      F_20                                     F_13                                     41.22                USED      
276      H_Pavia_9_origin_19                      F_16                                     29.26                USED      
302      F_30                                     F_38                                     50.30                USED      
308      F_33                                     H_Bergamo_4_dest_7                       26.20                USED      
318      F_26                                     F_20                                     50.42                USED      
320      F_26                                     F_33                                     41.22                USED      
333      F_17                                     F_18                                     29.11                USED      
339      F_17                                     H_Piacenza_2_dest_11                     48.55                USED      
344      F_17                                     H_Piacenza_2_dest_20                     48.55                USED      
359      H_Pavia_8_origin_2                       H_Pavia_1_dest_2                         36.62                USED      
375      H_Pavia_5_origin_13                      H_Pavia_1_dest_13                        8.42                 USED      
387      H_Pavia_8_origin_20                      F_16                                     30.62                USED      
406      H_Pavia_10_origin_11                     F_16                                     28.58                USED      
427      HUB_3                                    H_Pavia_1_origin_3                       46.64                USED      
429      HUB_3                                    F_9                                      17.44                USED      
434      HUB_3                                    H_Pavia_1_origin_6                       46.64                USED      
451      HUB_3                                    H_Pavia_1_origin_4                       46.64                USED      
457      F_13                                     H_Parma_3_dest_17                        28.59                USED      
459      F_11                                     F_10                                     29.22                USED      
466      F_11                                     H_Piacenza_1_dest_18                     28.38                USED      
470      H_Pavia_9_origin_10                      F_24                                     51.39                USED      
490      F_23                                     H_Milano_3_dest_8                        39.77                USED      
493      F_23                                     H_Pavia_10_origin_12                     28.04                USED      
499      F_23                                     H_Pavia_9_origin_19                      26.60                USED      
500      F_23                                     H_Pavia_10_dest_16                       28.04                USED      
504      F_23                                     H_Pavia_8_origin_2                       26.99                USED      
519      F_38                                     H_Bergamo_3_dest_14                      24.44                USED      
532      H_Bergamo_1_origin_17                    F_32                                     35.22                USED      
536      F_32                                     F_25                                     41.22                USED      
537      F_32                                     F_24                                     50.36                USED      
538      F_32                                     H_Bergamo_4_dest_6                       31.81                USED      
543      F_32                                     H_Cremona_2_dest_1                       45.00                USED      
545      F_32                                     F_26                                     50.36                USED      
551      H_Cremona_2_origin_8                     F_24                                     46.96                USED      
580      H_Pavia_5_origin_15                      H_Pavia_1_dest_15                        8.42                 USED      
588      H_Cremona_1_origin_7                     F_26                                     29.32                USED      
596      H_Pavia_1_origin_4                       H_Pavia_5_dest_4                         8.42                 USED      
1        F_16                                     F_10                                     50.49                NOT USED  
2        F_16                                     H_Pavia_1_origin_3                       7.90                 NOT USED  
4        F_16                                     F_9                                      41.22                NOT USED  
5        F_16                                     H_Pavia_10_origin_12                     28.58                NOT USED  
6        F_16                                     H_Pavia_5_dest_9                         4.89                 NOT USED  
7        F_16                                     H_Pavia_5_dest_4                         4.89                 NOT USED  
8        F_16                                     H_Pavia_1_origin_6                       7.90                 NOT USED  
9        F_16                                     H_Pavia_9_origin_19                      29.26                NOT USED  
10       F_16                                     H_Pavia_10_dest_16                       28.58                NOT USED  
11       F_16                                     H_Pavia_1_dest_13                        7.90                 NOT USED  
13       F_16                                     H_Pavia_8_origin_2                       30.62                NOT USED  
14       F_16                                     H_Pavia_5_origin_13                      4.89                 NOT USED  
15       F_16                                     H_Pavia_8_origin_20                      30.62                NOT USED  
16       F_16                                     H_Pavia_1_dest_5                         7.90                 NOT USED  
17       F_16                                     H_Pavia_10_origin_11                     28.58                NOT USED  
18       F_16                                     H_Pavia_9_origin_10                      29.26                NOT USED  
19       F_16                                     H_Pavia_1_dest_2                         7.90                 NOT USED  
20       F_16                                     F_23                                     41.22                NOT USED  
21       F_16                                     H_Pavia_5_origin_15                      4.89                 NOT USED  
22       F_16                                     H_Pavia_1_dest_15                        7.90                 NOT USED  
23       F_16                                     H_Pavia_1_origin_4                       7.90                 NOT USED  
24       H_Bergamo_2_origin_1                     H_Bergamo_1_origin_16                    2.64                 NOT USED  
25       H_Bergamo_2_origin_1                     F_31                                     41.54                NOT USED  
26       H_Bergamo_2_origin_1                     H_Bergamo_4_dest_6                       30.63                NOT USED  
27       H_Bergamo_2_origin_1                     H_Bergamo_1_origin_18                    2.64                 NOT USED  
28       H_Bergamo_2_origin_1                     H_Bergamo_4_origin_9                     30.63                NOT USED  
29       H_Bergamo_2_origin_1                     H_Bergamo_4_dest_7                       30.63                NOT USED  
30       H_Bergamo_2_origin_1                     H_Bergamo_3_dest_14                      18.48                NOT USED  
31       H_Bergamo_2_origin_1                     F_38                                     21.03                NOT USED  
32       H_Bergamo_2_origin_1                     H_Bergamo_1_origin_17                    2.64                 NOT USED  
34       F_10                                     F_16                                     50.49                NOT USED  
35       F_10                                     H_Pavia_1_origin_3                       44.69                NOT USED  
36       F_10                                     F_9                                      29.22                NOT USED  
