NODES: 56
ARCS: 458

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_2                                    45.429270       9.388738        HUB            
H_Bergamo_3_origin_11                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_18                    45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_10                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_13                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_20                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_1                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_3                      45.499807       9.167334        H_ORIGIN       
H_Milano_3_origin_16                     45.471898       9.145035        H_ORIGIN       
H_Parma_2_origin_17                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_7                       44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_15                     45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_19                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_5                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_8                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_14                      45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_12                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_6                       45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_9                       45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_2                    44.716745       9.791689        H_ORIGIN       
H_Bergamo_1_dest_3                       45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_10                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_2_dest_11                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_4_dest_2                       45.635359       9.872452        H_DESTINATION  
H_Cremona_1_dest_18                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_8                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_15                      45.289308       9.855996        H_DESTINATION  
H_Milano_1_dest_19                       45.499807       9.167334        H_DESTINATION  
H_Milano_1_dest_6                        45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_1                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_16                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_4                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_5                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_7                        45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_13                        44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_14                        44.717104       10.229990       H_DESTINATION  
H_Pavia_1_dest_9                         45.032079       9.285239        H_DESTINATION  
H_Piacenza_1_dest_17                     44.716745       9.791689        H_DESTINATION  
H_Piacenza_1_dest_20                     44.716745       9.791689        H_DESTINATION  
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_20                                     45.073414       10.154504       FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_33                                     45.505846       9.938288        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
1        F_19                                     F_12                                     41.22                USED      
8        F_19                                     F_26                                     41.22                USED      
16       F_12                                     H_Parma_3_dest_14                        47.65                USED      
17       F_12                                     F_19                                     41.22                USED      
22       F_12                                     H_Parma_1_dest_13                        38.36                USED      
23       F_12                                     H_Piacenza_1_origin_2                    33.32                USED      
34       H_Milano_1_origin_1                      H_Milano_2_dest_1                        6.31                 USED      
43       H_Bergamo_4_origin_18                    F_33                                     26.20                USED      
48       F_31                                     H_Bergamo_1_dest_3                       41.41                USED      
63       F_31                                     F_38                                     41.22                USED      
69       F_24                                     H_Cremona_2_dest_15                      46.96                USED      
78       F_24                                     F_23                                     29.00                USED      
84       H_Pavia_1_origin_8                       F_17                                     30.74                USED      
93       HUB_2                                    F_31                                     21.41                USED      
99       HUB_2                                    H_Milano_1_origin_3                      32.51                USED      
118      HUB_2                                    F_23                                     29.74                USED      
125      F_18                                     F_12                                     50.49                USED      
133      F_18                                     F_11                                     41.22                USED      
135      F_18                                     H_Cremona_1_dest_8                       41.43                USED      
144      H_Pavia_9_origin_9                       H_Pavia_1_dest_9                         35.34                USED      
149      H_Milano_1_origin_3                      F_31                                     45.24                USED      
163      F_20                                     F_12                                     50.49                USED      
174      H_Pavia_5_origin_14                      F_17                                     24.44                USED      
184      H_Cremona_2_origin_20                    F_18                                     44.92                USED      
196      H_Parma_2_origin_17                      H_Piacenza_1_dest_17                     46.29                USED      
207      H_Pavia_8_origin_12                      F_22                                     20.20                USED      
218      F_33                                     F_26                                     41.22                USED      
221      F_33                                     H_Bergamo_4_dest_2                       26.20                USED      
230      F_22                                     H_Milano_2_dest_12                       36.27                USED      
236      F_22                                     H_Milano_1_dest_19                       41.99                USED      
237      F_22                                     H_Milano_1_dest_6                        41.99                USED      
246      F_26                                     H_Cremona_2_origin_20                    11.04                USED      
247      F_26                                     H_Cremona_1_dest_18                      29.32                USED      
248      F_26                                     F_33                                     41.22                USED      
254      F_26                                     H_Cremona_2_origin_13                    11.04                USED      
257      F_17                                     F_18                                     29.11                USED      
261      F_17                                     F_23                                     50.42                USED      
272      H_Cremona_2_origin_10                    F_32                                     45.00                USED      
279      H_Pavia_10_origin_19                     F_22                                     22.43                USED      
291      HUB_1                                    F_20                                     8.30                 USED      
297      HUB_1                                    F_26                                     46.36                USED      
302      HUB_1                                    H_Parma_2_origin_7                       51.05                USED      
310      H_Piacenza_1_origin_2                    F_12                                     33.32                USED      
322      H_Pavia_9_origin_6                       F_22                                     21.42                USED      
338      H_Parma_2_origin_7                       F_11                                     47.18                USED      
344      H_Bergamo_3_origin_11                    H_Bergamo_2_dest_11                      18.48                USED      
350      F_11                                     F_17                                     50.49                USED      
352      F_11                                     H_Piacenza_1_dest_20                     28.38                USED      
355      H_Cremona_2_origin_4                     F_24                                     46.96                USED      
369      F_23                                     F_24                                     29.00                USED      
370      F_23                                     H_Milano_2_dest_4                        37.28                USED      
375      F_23                                     H_Pavia_5_origin_14                      42.81                USED      
381      F_23                                     H_Milano_2_dest_5                        37.28                USED      
382      F_23                                     H_Milano_2_dest_7                        37.28                USED      
383      F_23                                     H_Pavia_10_origin_19                     28.04                USED      
388      F_23                                     H_Pavia_1_origin_5                       49.10                USED      
389      F_23                                     H_Pavia_10_origin_15                     28.04                USED      
399      H_Pavia_1_origin_5                       F_23                                     49.10                USED      
404      F_38                                     H_Bergamo_3_origin_11                    24.44                USED      
414      F_32                                     H_Bergamo_2_dest_10                      37.11                USED      
431      H_Pavia_10_origin_15                     F_23                                     28.04                USED      
435      H_Milano_3_origin_16                     H_Milano_2_dest_16                       3.73                 USED      
447      H_Cremona_2_origin_13                    F_19                                     42.61                USED      
2        F_19                                     H_Cremona_2_dest_15                      42.61                NOT USED  
3        F_19                                     F_18                                     29.11                NOT USED  
4        F_19                                     F_20                                     29.11                NOT USED  
5        F_19                                     H_Cremona_2_origin_20                    42.61                NOT USED  
6        F_19                                     H_Parma_2_origin_17                      45.01                NOT USED  
7        F_19                                     H_Cremona_1_dest_18                      16.94                NOT USED  
9        F_19                                     H_Cremona_2_origin_10                    42.61                NOT USED  
10       F_19                                     HUB_1                                    33.04                NOT USED  
11       F_19                                     H_Parma_2_origin_7                       45.01                NOT USED  
12       F_19                                     F_11                                     50.49                NOT USED  
13       F_19                                     H_Cremona_2_origin_4                     42.61                NOT USED  
14       F_19                                     H_Cremona_1_dest_8                       16.94                NOT USED  
15       F_19                                     H_Cremona_2_origin_13                    42.61                NOT USED  
18       F_12                                     H_Piacenza_1_dest_17                     33.32                NOT USED  
19       F_12                                     F_18                                     50.49                NOT USED  
20       F_12                                     F_20                                     50.49                NOT USED  
21       F_12                                     H_Parma_2_origin_17                      17.96                NOT USED  
24       F_12                                     H_Piacenza_1_dest_20                     33.32                NOT USED  
25       F_12                                     H_Parma_2_origin_7                       17.96                NOT USED  
26       F_12                                     F_11                                     29.22                NOT USED  
27       H_Milano_1_origin_1                      F_31                                     45.24                NOT USED  
28       H_Milano_1_origin_1                      H_Milano_2_dest_16                       6.31                 NOT USED  
29       H_Milano_1_origin_1                      H_Milano_2_dest_4                        6.31                 NOT USED  
30       H_Milano_1_origin_1                      HUB_2                                    32.51                NOT USED  
31       H_Milano_1_origin_1                      H_Milano_1_origin_3                      0.00                 NOT USED  
32       H_Milano_1_origin_1                      H_Milano_2_dest_12                       6.31                 NOT USED  
33       H_Milano_1_origin_1                      F_22                                     41.99                NOT USED  
35       H_Milano_1_origin_1                      H_Milano_2_dest_5                        6.31                 NOT USED  
36       H_Milano_1_origin_1                      H_Milano_2_dest_7                        6.31                 NOT USED  
37       H_Milano_1_origin_1                      H_Milano_1_dest_19                       0.00                 NOT USED  
38       H_Milano_1_origin_1                      H_Milano_1_dest_6                        0.00                 NOT USED  
39       H_Milano_1_origin_1                      F_23                                     43.28                NOT USED  
40       H_Milano_1_origin_1                      H_Milano_3_origin_16                     6.10                 NOT USED  
41       H_Bergamo_4_origin_18                    H_Bergamo_1_dest_3                       28.06                NOT USED  
42       H_Bergamo_4_origin_18                    H_Bergamo_2_dest_10                      30.63                NOT USED  
44       H_Bergamo_4_origin_18                    H_Bergamo_3_origin_11                    41.24                NOT USED  
45       H_Bergamo_4_origin_18                    H_Bergamo_4_dest_2                       0.00                 NOT USED  
46       H_Bergamo_4_origin_18                    F_32                                     31.81                NOT USED  
47       H_Bergamo_4_origin_18                    H_Bergamo_2_dest_11                      30.63                NOT USED  
49       F_31                                     H_Milano_1_origin_1                      45.24                NOT USED  
50       F_31                                     H_Milano_2_dest_16                       45.23                NOT USED  
51       F_31                                     F_24                                     41.22                NOT USED  
52       F_31                                     H_Milano_2_dest_4                        45.23                NOT USED  
53       F_31                                     HUB_2                                    21.41                NOT USED  
54       F_31                                     H_Milano_1_origin_3                      45.24                NOT USED  
55       F_31                                     H_Milano_2_dest_12                       45.23                NOT USED  
56       F_31                                     H_Bergamo_2_dest_10                      41.54                NOT USED  
57       F_31                                     H_Milano_2_dest_1                        45.23                NOT USED  
58       F_31                                     H_Milano_2_dest_5                        45.23                NOT USED  
59       F_31                                     H_Milano_2_dest_7                        45.23                NOT USED  
60       F_31                                     H_Milano_1_dest_19                       45.24                NOT USED  
61       F_31                                     H_Milano_1_dest_6                        45.24                NOT USED  
62       F_31                                     F_23                                     50.36                NOT USED  
64       F_31                                     F_32                                     28.89                NOT USED  
65       F_31                                     H_Milano_3_origin_16                     48.65                NOT USED  
66       F_31                                     H_Bergamo_2_dest_11                      41.54                NOT USED  
67       F_24                                     F_31                                     41.22                NOT USED  
68       F_24                                     HUB_2                                    30.90                NOT USED  
70       F_24                                     F_18                                     50.42                NOT USED  
71       F_24                                     H_Pavia_9_origin_9                       51.39                NOT USED  
72       F_24                                     H_Pavia_5_origin_14                      49.03                NOT USED  
73       F_24                                     H_Cremona_2_origin_20                    46.96                NOT USED  
74       F_24                                     F_17                                     41.22                NOT USED  
75       F_24                                     H_Cremona_2_origin_10                    46.96                NOT USED  
76       F_24                                     H_Pavia_9_origin_6                       51.39                NOT USED  
77       F_24                                     H_Cremona_2_origin_4                     46.96                NOT USED  
79       F_24                                     F_32                                     50.36                NOT USED  
80       F_24                                     H_Cremona_2_origin_13                    46.96                NOT USED  
81       H_Pavia_1_origin_8                       H_Pavia_9_origin_9                       35.34                NOT USED  
82       H_Pavia_1_origin_8                       H_Pavia_5_origin_14                      8.42                 NOT USED  
83       H_Pavia_1_origin_8                       H_Pavia_8_origin_12                      36.62                NOT USED  
85       H_Pavia_1_origin_8                       H_Pavia_10_origin_19                     34.45                NOT USED  
86       H_Pavia_1_origin_8                       H_Pavia_9_origin_6                       35.34                NOT USED  
87       H_Pavia_1_origin_8                       H_Pavia_1_dest_9                         0.00                 NOT USED  
88       H_Pavia_1_origin_8                       F_23                                     49.10                NOT USED  
89       H_Pavia_1_origin_8                       H_Pavia_1_origin_5                       0.00                 NOT USED  
90       H_Pavia_1_origin_8                       H_Pavia_10_origin_15                     34.45                NOT USED  
91       HUB_2                                    H_Milano_1_origin_1                      32.51                NOT USED  
92       HUB_2                                    H_Bergamo_4_origin_18                    75.60                NOT USED  
94       HUB_2                                    H_Milano_2_dest_16                       29.86                NOT USED  
95       HUB_2                                    F_24                                     30.90                NOT USED  
96       HUB_2                                    H_Milano_2_dest_4                        29.86                NOT USED  
97       HUB_2                                    H_Pavia_1_origin_8                       76.98                NOT USED  
98       HUB_2                                    H_Pavia_9_origin_9                       55.61                NOT USED  
100      HUB_2                                    H_Pavia_5_origin_14                      69.70                NOT USED  
101      HUB_2                                    H_Cremona_2_origin_20                    68.03                NOT USED  
102      HUB_2                                    H_Parma_2_origin_17                      142.57               NOT USED  
103      HUB_2                                    H_Milano_2_dest_12                       29.86                NOT USED  
104      HUB_2                                    H_Pavia_8_origin_12                      55.74                NOT USED  
105      HUB_2                                    F_22                                     49.92                NOT USED  
106      HUB_2                                    H_Cremona_2_origin_10                    68.03                NOT USED  
107      HUB_2                                    H_Milano_2_dest_1                        29.86                NOT USED  
108      HUB_2                                    H_Milano_2_dest_5                        29.86                NOT USED  
109      HUB_2                                    H_Milano_2_dest_7                        29.86                NOT USED  
110      HUB_2                                    H_Pavia_10_origin_19                     57.13                NOT USED  
111      HUB_2                                    H_Milano_1_dest_19                       32.51                NOT USED  
112      HUB_2                                    H_Milano_1_dest_6                        32.51                NOT USED  
113      HUB_2                                    H_Piacenza_1_origin_2                    146.25               NOT USED  
114      HUB_2                                    H_Pavia_9_origin_6                       55.61                NOT USED  
115      HUB_2                                    H_Parma_2_origin_7                       142.57               NOT USED  
116      HUB_2                                    H_Bergamo_3_origin_11                    78.08                NOT USED  
117      HUB_2                                    H_Cremona_2_origin_4                     68.03                NOT USED  
119      HUB_2                                    H_Pavia_1_origin_5                       76.98                NOT USED  
120      HUB_2                                    F_32                                     46.89                NOT USED  
121      HUB_2                                    H_Pavia_10_origin_15                     57.13                NOT USED  
122      HUB_2                                    H_Milano_3_origin_16                     33.59                NOT USED  
123      HUB_2                                    H_Cremona_2_origin_13                    68.03                NOT USED  
124      F_18                                     F_19                                     29.11                NOT USED  
126      F_18                                     F_24                                     50.42                NOT USED  
127      F_18                                     H_Cremona_2_dest_15                      44.92                NOT USED  
128      F_18                                     H_Cremona_2_origin_20                    44.92                NOT USED  
129      F_18                                     H_Cremona_1_dest_18                      41.43                NOT USED  
130      F_18                                     F_26                                     50.42                NOT USED  
131      F_18                                     F_17                                     29.11                NOT USED  
132      F_18                                     H_Cremona_2_origin_10                    44.92                NOT USED  
134      F_18                                     H_Cremona_2_origin_4                     44.92                NOT USED  
136      F_18                                     H_Cremona_2_origin_13                    44.92                NOT USED  
137      H_Pavia_9_origin_9                       F_24                                     51.39                NOT USED  
138      H_Pavia_9_origin_9                       H_Pavia_1_origin_8                       35.34                NOT USED  
