NODES: 60
ARCS: 528

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_3                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_19                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_7                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_1                     45.792479       9.659418        H_ORIGIN       
H_Bergamo_3_origin_2                     45.792479       9.659418        H_ORIGIN       
H_Cremona_2_origin_4                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_5                     45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_18                     45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_10                     45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_11                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_6                      45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_14                      44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_16                      44.856799       10.071196       H_ORIGIN       
H_Pavia_10_origin_12                     45.183361       9.145183        H_ORIGIN       
H_Pavia_10_origin_15                     45.183361       9.145183        H_ORIGIN       
H_Pavia_1_origin_8                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_9                       45.066405       9.324603        H_ORIGIN       
H_Pavia_9_origin_13                      45.190881       9.149624        H_ORIGIN       
H_Pavia_9_origin_20                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_17                   44.716745       9.791689        H_ORIGIN       
H_Bergamo_2_dest_1                       45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_11                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_17                      45.792479       9.659418        H_DESTINATION  
H_Cremona_1_dest_16                      45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_2                       45.145060       10.012796       H_DESTINATION  
H_Cremona_1_dest_7                       45.145060       10.012796       H_DESTINATION  
H_Cremona_2_dest_20                      45.289308       9.855996        H_DESTINATION  
H_Cremona_2_dest_8                       45.289308       9.855996        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_14                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_18                       45.466862       9.172003        H_DESTINATION  
H_Parma_1_dest_19                        44.694109       10.104399       H_DESTINATION  
H_Parma_2_dest_15                        44.856799       10.071196       H_DESTINATION  
H_Parma_3_dest_13                        44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_4                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_6                        45.183361       9.145183        H_DESTINATION  
H_Pavia_8_dest_10                        45.194742       9.140386        H_DESTINATION  
H_Pavia_8_dest_3                         45.194742       9.140386        H_DESTINATION  
H_Piacenza_1_dest_9                      44.716745       9.791689        H_DESTINATION  
H_Piacenza_2_dest_5                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_30                                     45.505846       9.289639        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       
F_9                                      44.857198       9.289639        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
7        H_Milano_2_origin_10                     F_22                                     36.27                USED      
22       F_16                                     F_17                                     29.11                USED      
28       F_19                                     F_12                                     41.22                USED      
40       F_19                                     H_Cremona_1_dest_16                      16.94                USED      
53       H_Bergamo_2_origin_7                     F_32                                     37.11                USED      
62       F_10                                     H_Piacenza_1_origin_17                   47.03                USED      
64       F_10                                     H_Piacenza_1_dest_9                      47.03                USED      
67       F_12                                     H_Parma_3_dest_13                        47.65                USED      
69       F_12                                     F_18                                     50.49                USED      
70       F_12                                     H_Parma_1_origin_14                      38.36                USED      
71       F_12                                     H_Parma_1_dest_19                        38.36                USED      
84       F_31                                     H_Bergamo_2_origin_19                    41.54                USED      
89       F_31                                     F_23                                     50.36                USED      
91       F_31                                     F_38                                     41.22                USED      
92       F_31                                     H_Bergamo_1_origin_3                     41.41                USED      
106      F_25                                     F_32                                     41.22                USED      
108      F_25                                     H_Cremona_2_dest_8                       17.96                USED      
112      F_24                                     H_Cremona_2_dest_20                      46.96                USED      
120      F_24                                     F_23                                     29.00                USED      
130      F_9                                      H_Pavia_5_origin_9                       40.16                USED      
137      H_Pavia_10_origin_12                     F_22                                     22.43                USED      
151      H_Pavia_1_origin_8                       F_17                                     30.74                USED      
158      H_Parma_2_origin_16                      F_19                                     45.01                USED      
168      H_Pavia_9_origin_13                      F_16                                     29.26                USED      
183      HUB_2                                    F_31                                     21.41                USED      
202      HUB_2                                    F_23                                     29.74                USED      
205      HUB_2                                    H_Milano_3_origin_11                     33.59                USED      
212      F_18                                     F_12                                     50.49                USED      
213      F_18                                     F_25                                     41.22                USED      
214      F_18                                     F_24                                     50.42                USED      
219      F_18                                     H_Piacenza_2_dest_5                      31.25                USED      
237      F_30                                     F_38                                     50.30                USED      
249      H_Bergamo_2_origin_19                    F_32                                     37.11                USED      
250      H_Parma_1_origin_14                      F_12                                     38.36                USED      
262      F_22                                     H_Pavia_10_dest_6                        22.43                USED      
268      F_22                                     H_Milano_2_dest_12                       36.27                USED      
269      F_22                                     H_Pavia_8_dest_10                        20.20                USED      
276      F_26                                     F_19                                     41.22                USED      
280      F_26                                     H_Cremona_1_dest_2                       29.32                USED      
285      F_26                                     H_Cremona_1_dest_7                       29.32                USED      
289      F_17                                     F_25                                     50.42                USED      
293      F_17                                     F_18                                     29.11                USED      
295      F_17                                     F_11                                     50.49                USED      
301      F_39                                     H_Bergamo_3_dest_17                      15.80                USED      
308      F_39                                     F_32                                     41.22                USED      
314      H_Bergamo_3_origin_2                     F_39                                     15.80                USED      
322      H_Cremona_2_origin_5                     F_18                                     44.92                USED      
331      H_Bergamo_3_origin_1                     H_Bergamo_2_dest_1                       18.48                USED      
341      HUB_3                                    F_10                                     19.37                USED      
342      HUB_3                                    F_9                                      17.44                USED      
344      HUB_3                                    H_Pavia_1_origin_8                       46.64                USED      
352      HUB_3                                    F_11                                     46.43                USED      
364      F_11                                     F_12                                     29.22                USED      
365      F_11                                     H_Parma_2_dest_15                        47.18                USED      
367      F_11                                     F_18                                     41.22                USED      
375      H_Cremona_2_origin_4                     F_24                                     46.96                USED      
392      H_Piacenza_1_origin_17                   F_11                                     28.38                USED      
399      H_Milano_1_origin_18                     H_Milano_2_dest_18                       6.31                 USED      
409      F_23                                     H_Pavia_10_origin_12                     28.04                USED      
410      F_23                                     H_Pavia_10_dest_4                        28.04                USED      
412      F_23                                     H_Pavia_9_origin_13                      26.60                USED      
415      F_23                                     H_Milano_2_dest_14                       37.28                USED      
416      F_23                                     H_Pavia_8_dest_3                         26.99                USED      
436      H_Milano_3_origin_6                      F_22                                     36.04                USED      
446      F_38                                     H_Bergamo_3_dest_11                      24.44                USED      
449      F_38                                     H_Bergamo_3_origin_1                     24.44                USED      
454      H_Bergamo_1_origin_3                     F_31                                     41.41                USED      
