NODES: 59
ARCS: 543

NODE
Idn                                      x               y               Type           
HUB_2                                    45.429270       9.388738        HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_2                     45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_7                     45.695518       9.659230        H_ORIGIN       
H_Bergamo_3_origin_11                    45.792479       9.659418        H_ORIGIN       
H_Bergamo_4_origin_18                    45.635359       9.872452        H_ORIGIN       
H_Cremona_2_origin_3                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_5                     45.289308       9.855996        H_ORIGIN       
H_Milano_2_origin_15                     45.466862       9.172003        H_ORIGIN       
H_Parma_2_origin_17                      44.856799       10.071196       H_ORIGIN       
H_Parma_2_origin_8                       44.856799       10.071196       H_ORIGIN       
H_Pavia_1_origin_1                       45.032079       9.285239        H_ORIGIN       
H_Pavia_1_origin_4                       45.032079       9.285239        H_ORIGIN       
H_Pavia_5_origin_6                       45.066405       9.324603        H_ORIGIN       
H_Pavia_8_origin_13                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_16                      45.194742       9.140386        H_ORIGIN       
H_Pavia_8_origin_20                      45.194742       9.140386        H_ORIGIN       
H_Pavia_9_origin_10                      45.190881       9.149624        H_ORIGIN       
H_Piacenza_1_origin_12                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_1_origin_19                   44.716745       9.791689        H_ORIGIN       
H_Piacenza_2_origin_14                   44.916617       9.789650        H_ORIGIN       
H_Piacenza_2_origin_9                    44.916617       9.789650        H_ORIGIN       
H_Bergamo_1_dest_11                      45.687747       9.675601        H_DESTINATION  
H_Bergamo_2_dest_15                      45.695518       9.659230        H_DESTINATION  
H_Bergamo_3_dest_19                      45.792479       9.659418        H_DESTINATION  
H_Bergamo_3_dest_6                       45.792479       9.659418        H_DESTINATION  
H_Milano_1_dest_13                       45.499807       9.167334        H_DESTINATION  
H_Milano_2_dest_1                        45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_10                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_12                       45.466862       9.172003        H_DESTINATION  
H_Milano_2_dest_9                        45.466862       9.172003        H_DESTINATION  
H_Milano_3_dest_14                       45.471898       9.145035        H_DESTINATION  
H_Parma_1_dest_2                         44.694109       10.104399       H_DESTINATION  
H_Parma_3_dest_3                         44.717104       10.229990       H_DESTINATION  
H_Pavia_10_dest_17                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_20                       45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_5                        45.183361       9.145183        H_DESTINATION  
H_Pavia_10_dest_7                        45.183361       9.145183        H_DESTINATION  
H_Pavia_5_dest_18                        45.066405       9.324603        H_DESTINATION  
H_Pavia_8_dest_4                         45.194742       9.140386        H_DESTINATION  
H_Pavia_9_dest_16                        45.190881       9.149624        H_DESTINATION  
H_Piacenza_2_dest_8                      44.916617       9.789650        H_DESTINATION  
F_10                                     44.857198       9.505855        FACILITY       
F_11                                     44.857198       9.722071        FACILITY       
F_12                                     44.857198       9.938288        FACILITY       
F_13                                     44.857198       10.154504       FACILITY       
F_16                                     45.073414       9.289639        FACILITY       
F_17                                     45.073414       9.505855        FACILITY       
F_18                                     45.073414       9.722071        FACILITY       
F_19                                     45.073414       9.938288        FACILITY       
F_22                                     45.289630       9.073423        FACILITY       
F_23                                     45.289630       9.289639        FACILITY       
F_24                                     45.289630       9.505855        FACILITY       
F_25                                     45.289630       9.722071        FACILITY       
F_26                                     45.289630       9.938288        FACILITY       
F_31                                     45.505846       9.505855        FACILITY       
F_32                                     45.505846       9.722071        FACILITY       
F_38                                     45.722063       9.505855        FACILITY       
F_39                                     45.722063       9.722071        FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
4        H_Pavia_8_origin_13                      F_22                                     20.20                USED      
20       F_16                                     H_Pavia_10_dest_17                       28.58                USED      
36       F_19                                     F_12                                     41.22                USED      
47       F_19                                     F_13                                     50.49                USED      
56       F_10                                     H_Piacenza_2_origin_9                    39.97                USED      
57       F_10                                     H_Piacenza_1_origin_12                   47.03                USED      
74       F_12                                     H_Parma_1_dest_2                         38.36                USED      
77       H_Bergamo_2_origin_7                     F_31                                     41.54                USED      
87       H_Milano_2_origin_15                     F_31                                     45.23                USED      
103      H_Bergamo_4_origin_18                    F_32                                     31.81                USED      
106      F_31                                     H_Bergamo_2_origin_7                     41.54                USED      
115      F_31                                     H_Bergamo_2_dest_15                      41.54                USED      
120      F_31                                     F_23                                     50.36                USED      
121      F_31                                     F_38                                     41.22                USED      
132      F_25                                     F_32                                     41.22                USED      
134      F_24                                     F_31                                     41.22                USED      
138      F_24                                     H_Pavia_5_dest_18                        49.03                USED      
141      F_24                                     H_Cremona_2_origin_3                     46.96                USED      
144      F_24                                     F_23                                     29.00                USED      
149      HUB_2                                    H_Milano_2_origin_15                     29.86                USED      
151      HUB_2                                    F_31                                     21.41                USED      
152      HUB_2                                    F_24                                     30.90                USED      
173      HUB_2                                    F_23                                     29.74                USED      
182      F_18                                     F_25                                     41.22                USED      
200      H_Parma_2_origin_17                      F_11                                     47.18                USED      
205      H_Parma_2_origin_8                       H_Piacenza_2_dest_8                      39.70                USED      
223      H_Piacenza_1_origin_19                   F_11                                     28.38                USED      
225      F_26                                     F_19                                     41.22                USED      
234      F_22                                     H_Milano_2_dest_10                       36.27                USED      
238      F_22                                     H_Milano_1_dest_13                       41.99                USED      
251      F_17                                     F_16                                     29.11                USED      
263      F_17                                     F_23                                     50.42                USED      
274      F_39                                     H_Bergamo_3_dest_19                      15.80                USED      
284      H_Piacenza_2_origin_14                   F_17                                     48.55                USED      
297      H_Piacenza_2_origin_9                    F_17                                     48.55                USED      
310      H_Pavia_8_origin_20                      H_Pavia_10_dest_20                       2.26                 USED      
320      H_Cremona_2_origin_5                     F_24                                     46.96                USED      
333      H_Piacenza_1_origin_12                   F_11                                     28.38                USED      
348      H_Pavia_1_origin_1                       F_23                                     49.10                USED      
353      H_Cremona_2_origin_3                     F_19                                     42.61                USED      
361      HUB_3                                    F_10                                     19.37                USED      
380      HUB_3                                    H_Pavia_1_origin_4                       46.64                USED      
386      H_Bergamo_3_origin_11                    H_Bergamo_1_dest_11                      20.08                USED      
399      F_13                                     H_Parma_3_dest_3                         28.59                USED      
404      F_11                                     F_18                                     41.22                USED      
408      F_11                                     F_17                                     50.49                USED      
418      H_Pavia_9_origin_10                      F_22                                     21.42                USED      
433      H_Pavia_5_origin_6                       F_24                                     49.03                USED      
448      F_23                                     H_Pavia_8_origin_13                      26.99                USED      
457      F_23                                     H_Milano_2_dest_12                       37.28                USED      
461      F_23                                     H_Milano_2_dest_1                        37.28                USED      
462      F_23                                     H_Pavia_10_dest_7                        28.04                USED      
463      F_23                                     H_Pavia_8_origin_20                      26.99                USED      
465      F_23                                     H_Milano_3_dest_14                       39.77                USED      
467      F_23                                     H_Milano_2_dest_9                        37.28                USED      
469      F_23                                     H_Pavia_9_origin_10                      26.60                USED      
474      F_23                                     H_Pavia_10_dest_5                        28.04                USED      
480      F_38                                     H_Bergamo_3_dest_6                       24.44                USED      
489      F_32                                     F_24                                     50.36                USED      
491      F_32                                     F_26                                     50.36                USED      
492      F_32                                     F_39                                     41.22                USED      
512      H_Pavia_8_origin_16                      H_Pavia_9_dest_16                        1.44                 USED      
524      H_Pavia_1_origin_4                       H_Pavia_8_dest_4                         36.62                USED      
542      H_Bergamo_1_origin_2                     F_32                                     35.22                USED      
1        H_Pavia_8_origin_13                      F_16                                     30.62                NOT USED  
2        H_Pavia_8_origin_13                      H_Pavia_10_dest_17                       2.26                 NOT USED  
3        H_Pavia_8_origin_13                      H_Pavia_5_dest_18                        34.82                NOT USED  
5        H_Pavia_8_origin_13                      H_Pavia_10_dest_7                        2.26                 NOT USED  
6        H_Pavia_8_origin_13                      H_Pavia_8_origin_20                      0.00                 NOT USED  
7        H_Pavia_8_origin_13                      H_Pavia_1_origin_1                       36.62                NOT USED  
8        H_Pavia_8_origin_13                      H_Pavia_8_dest_4                         0.00                 NOT USED  
9        H_Pavia_8_origin_13                      H_Pavia_10_dest_20                       2.26                 NOT USED  
10       H_Pavia_8_origin_13                      H_Pavia_9_origin_10                      1.44                 NOT USED  
11       H_Pavia_8_origin_13                      H_Pavia_5_origin_6                       34.82                NOT USED  
12       H_Pavia_8_origin_13                      F_23                                     26.99                NOT USED  
13       H_Pavia_8_origin_13                      H_Pavia_9_dest_16                        1.44                 NOT USED  
14       H_Pavia_8_origin_13                      H_Pavia_8_origin_16                      0.00                 NOT USED  
15       H_Pavia_8_origin_13                      H_Pavia_1_origin_4                       36.62                NOT USED  
16       H_Pavia_8_origin_13                      H_Pavia_10_dest_5                        2.26                 NOT USED  
17       F_16                                     H_Pavia_8_origin_13                      30.62                NOT USED  
18       F_16                                     F_10                                     50.49                NOT USED  
19       F_16                                     F_24                                     50.42                NOT USED  
21       F_16                                     H_Pavia_5_dest_18                        4.89                 NOT USED  
22       F_16                                     F_22                                     50.42                NOT USED  
23       F_16                                     F_17                                     29.11                NOT USED  
24       F_16                                     H_Pavia_10_dest_7                        28.58                NOT USED  
25       F_16                                     H_Pavia_8_origin_20                      30.62                NOT USED  
26       F_16                                     H_Pavia_1_origin_1                       7.90                 NOT USED  
27       F_16                                     H_Pavia_8_dest_4                         30.62                NOT USED  
28       F_16                                     H_Pavia_10_dest_20                       28.58                NOT USED  
29       F_16                                     H_Pavia_9_origin_10                      29.26                NOT USED  
30       F_16                                     H_Pavia_5_origin_6                       4.89                 NOT USED  
31       F_16                                     F_23                                     41.22                NOT USED  
32       F_16                                     H_Pavia_9_dest_16                        29.26                NOT USED  
33       F_16                                     H_Pavia_8_origin_16                      30.62                NOT USED  
34       F_16                                     H_Pavia_1_origin_4                       7.90                 NOT USED  
35       F_16                                     H_Pavia_10_dest_5                        28.58                NOT USED  
37       F_19                                     H_Piacenza_2_dest_8                      35.98                NOT USED  
38       F_19                                     F_25                                     50.42                NOT USED  
39       F_19                                     F_18                                     29.11                NOT USED  
40       F_19                                     H_Parma_2_origin_17                      45.01                NOT USED  
41       F_19                                     H_Parma_2_origin_8                       45.01                NOT USED  
42       F_19                                     F_26                                     41.22                NOT USED  
43       F_19                                     H_Piacenza_2_origin_14                   35.98                NOT USED  
44       F_19                                     H_Piacenza_2_origin_9                    35.98                NOT USED  
45       F_19                                     H_Cremona_2_origin_5                     42.61                NOT USED  
46       F_19                                     H_Cremona_2_origin_3                     42.61                NOT USED  
48       F_19                                     F_11                                     50.49                NOT USED  
49       F_10                                     F_16                                     50.49                NOT USED  
50       F_10                                     H_Piacenza_2_dest_8                      39.97                NOT USED  
51       F_10                                     F_18                                     50.49                NOT USED  
52       F_10                                     H_Pavia_5_dest_18                        46.78                NOT USED  
53       F_10                                     H_Piacenza_1_origin_19                   47.03                NOT USED  
54       F_10                                     F_17                                     41.22                NOT USED  
55       F_10                                     H_Piacenza_2_origin_14                   39.97                NOT USED  
58       F_10                                     H_Pavia_1_origin_1                       44.69                NOT USED  
59       F_10                                     HUB_3                                    19.37                NOT USED  
60       F_10                                     F_11                                     29.22                NOT USED  
61       F_10                                     H_Pavia_5_origin_6                       46.78                NOT USED  
62       F_10                                     H_Pavia_1_origin_4                       44.69                NOT USED  
63       F_12                                     F_19                                     41.22                NOT USED  
64       F_12                                     H_Piacenza_2_dest_8                      23.05                NOT USED  
65       F_12                                     F_18                                     50.49                NOT USED  
66       F_12                                     H_Parma_2_origin_17                      17.96                NOT USED  
67       F_12                                     H_Parma_2_origin_8                       17.96                NOT USED  
68       F_12                                     H_Piacenza_1_origin_19                   33.32                NOT USED  
69       F_12                                     H_Piacenza_2_origin_14                   23.05                NOT USED  
70       F_12                                     H_Piacenza_2_origin_9                    23.05                NOT USED  
71       F_12                                     H_Piacenza_1_origin_12                   33.32                NOT USED  
72       F_12                                     F_13                                     29.22                NOT USED  
73       F_12                                     F_11                                     29.22                NOT USED  
75       F_12                                     H_Parma_3_dest_3                         47.65                NOT USED  
76       H_Bergamo_2_origin_7                     H_Bergamo_4_origin_18                    30.63                NOT USED  
78       H_Bergamo_2_origin_7                     F_39                                     9.78                 NOT USED  
79       H_Bergamo_2_origin_7                     H_Bergamo_2_dest_15                      0.00                 NOT USED  
80       H_Bergamo_2_origin_7                     H_Bergamo_1_dest_11                      2.64                 NOT USED  
81       H_Bergamo_2_origin_7                     H_Bergamo_3_dest_6                       18.48                NOT USED  
82       H_Bergamo_2_origin_7                     H_Bergamo_3_origin_11                    18.48                NOT USED  
83       H_Bergamo_2_origin_7                     F_38                                     21.03                NOT USED  
84       H_Bergamo_2_origin_7                     F_32                                     37.11                NOT USED  
85       H_Bergamo_2_origin_7                     H_Bergamo_3_dest_19                      18.48                NOT USED  
86       H_Bergamo_2_origin_7                     H_Bergamo_1_origin_2                     2.64                 NOT USED  
88       H_Milano_2_origin_15                     H_Milano_2_dest_10                       0.00                 NOT USED  
89       H_Milano_2_origin_15                     HUB_2                                    29.86                NOT USED  
90       H_Milano_2_origin_15                     H_Milano_2_dest_12                       0.00                 NOT USED  
91       H_Milano_2_origin_15                     H_Milano_1_dest_13                       6.31                 NOT USED  
92       H_Milano_2_origin_15                     F_22                                     36.27                NOT USED  
93       H_Milano_2_origin_15                     H_Milano_2_dest_1                        0.00                 NOT USED  
94       H_Milano_2_origin_15                     H_Milano_3_dest_14                       3.73                 NOT USED  
95       H_Milano_2_origin_15                     H_Milano_2_dest_9                        0.00                 NOT USED  
96       H_Milano_2_origin_15                     F_23                                     37.28                NOT USED  
97       H_Bergamo_4_origin_18                    H_Bergamo_2_origin_7                     30.63                NOT USED  
98       H_Bergamo_4_origin_18                    F_39                                     25.97                NOT USED  
99       H_Bergamo_4_origin_18                    H_Bergamo_2_dest_15                      30.63                NOT USED  
100      H_Bergamo_4_origin_18                    H_Bergamo_1_dest_11                      28.06                NOT USED  
101      H_Bergamo_4_origin_18                    H_Bergamo_3_dest_6                       41.24                NOT USED  
102      H_Bergamo_4_origin_18                    H_Bergamo_3_origin_11                    41.24                NOT USED  
104      H_Bergamo_4_origin_18                    H_Bergamo_3_dest_19                      41.24                NOT USED  
105      H_Bergamo_4_origin_18                    H_Bergamo_1_origin_2                     28.06                NOT USED  
107      F_31                                     H_Milano_2_origin_15                     45.23                NOT USED  
108      F_31                                     F_25                                     50.36                NOT USED  
109      F_31                                     F_24                                     41.22                NOT USED  
110      F_31                                     H_Milano_2_dest_10                       45.23                NOT USED  
111      F_31                                     HUB_2                                    21.41                NOT USED  
112      F_31                                     H_Milano_2_dest_12                       45.23                NOT USED  
113      F_31                                     H_Milano_1_dest_13                       45.24                NOT USED  
114      F_31                                     F_39                                     50.30                NOT USED  
116      F_31                                     H_Milano_2_dest_1                        45.23                NOT USED  
117      F_31                                     H_Bergamo_1_dest_11                      41.41                NOT USED  
118      F_31                                     H_Milano_3_dest_14                       48.65                NOT USED  
119      F_31                                     H_Milano_2_dest_9                        45.23                NOT USED  
122      F_31                                     F_32                                     28.89                NOT USED  
123      F_31                                     H_Bergamo_1_origin_2                     41.41                NOT USED  
124      F_25                                     F_19                                     50.42                NOT USED  
125      F_25                                     F_31                                     50.36                NOT USED  
126      F_25                                     F_24                                     29.00                NOT USED  
127      F_25                                     F_18                                     41.22                NOT USED  
128      F_25                                     F_26                                     29.00                NOT USED  
129      F_25                                     F_17                                     50.42                NOT USED  
130      F_25                                     H_Cremona_2_origin_5                     17.96                NOT USED  
131      F_25                                     H_Cremona_2_origin_3                     17.96                NOT USED  
133      F_24                                     F_16                                     50.42                NOT USED  
135      F_24                                     F_25                                     29.00                NOT USED  
136      F_24                                     HUB_2                                    30.90                NOT USED  
137      F_24                                     F_18                                     50.42                NOT USED  
139      F_24                                     F_17                                     41.22                NOT USED  
140      F_24                                     H_Cremona_2_origin_5                     46.96                NOT USED  
142      F_24                                     H_Pavia_9_origin_10                      51.39                NOT USED  
143      F_24                                     H_Pavia_5_origin_6                       49.03                NOT USED  
